,시간(총)_only_MLP_15_15_에너지,시간(총)_only_MLP_20_20_에너지,시간(총)_only_MLP_25_25_에너지,시간(총)_only_KNN_에너지
0,31.26581573486328,32.005863189697266,98.9962158203125,35.89595420768333
1,46.43013381958008,40.172447204589844,94.33887481689453,30.926070207323324
2,62.82425308227539,48.677001953125,98.160888671875,48.00787025940251
3,40.871158599853516,43.152591705322266,42.45220947265625,36.171754608260784
4,54.15409469604492,61.30887222290039,53.23623275756836,48.21703284091335
5,81.66883850097656,81.6329116821289,66.66466522216797,74.86776730267198
6,62.119606018066406,73.87714385986328,82.90126037597656,57.4749530067772
7,39.0091667175293,53.96565628051758,88.93484497070312,48.91717817173426
8,47.595252990722656,49.31545639038086,55.53019332885742,53.3630919631346
9,89.36833190917969,90.38367462158203,90.68705749511719,89.91053318396985
average,55.53066520690918,57.44916191101074,77.19024429321288,52.37522057518712
