,시간(총)_only_MLP_15_15_에너지,시간(총)_only_MLP_20_20_에너지,시간(총)_only_MLP_25_25_에너지,시간(총)_only_KNN_에너지
0,22.688873291015625,22.18856430053711,30.031352996826172,26.246978117192988
1,15.432161331176758,18.238740921020508,18.674453735351562,18.59517916475622
2,27.215091705322266,27.784114837646484,28.153182983398438,56.1710858536796
3,11.364725112915039,11.136177062988281,14.019129753112793,30.21648801819552
4,14.385686874389648,16.276426315307617,17.530792236328125,13.593721945507545
5,16.418106079101562,15.023110389709473,13.492111206054688,20.78304415140229
6,24.021942138671875,20.33524513244629,18.293733596801758,17.81159729245364
7,16.85320281982422,21.47736358642578,24.878124237060547,17.24853634901687
8,27.2188720703125,27.217044830322266,27.288972854614258,23.718431641145703
9,18.05620002746582,18.6390380859375,18.065988540649414,17.963093527257442
average,19.36548614501953,19.83158254623413,21.042784214019775,24.234815606060785
