,시간(총)_only_MLP_15_15_에너지,시간(총)_only_MLP_20_20_에너지,시간(총)_only_MLP_25_25_에너지,시간(총)_only_KNN_에너지
0,30.585613250732422,24.77146339416504,24.36076545715332,23.657572800161823
1,23.33672523498535,22.768468856811523,24.25175666809082,18.40396477376778
2,59.36663818359375,47.49020004272461,49.93557357788086,45.228071425326156
3,26.365623474121094,27.790109634399414,75.18452453613281,36.806937611872904
4,16.964876174926758,18.548757553100586,52.47935485839844,24.572619373741446
5,19.569095611572266,20.131771087646484,39.062225341796875,34.2881593198193
6,5.356101989746094,8.044902801513672,12.748119354248047,11.529315378556948
7,23.670738220214844,23.918935775756836,24.1693115234375,27.806182023101243
8,20.70160675048828,19.97420310974121,22.04631996154785,34.52089422776731
9,37.026554107666016,39.2293815612793,77.92105865478516,30.78077339795563
average,26.294357299804688,25.266819381713866,40.21590099334717,28.75944903320705
