,시간(총)_only_MLP_15_15_에너지,시간(총)_only_MLP_20_20_에너지,시간(총)_only_MLP_25_25_에너지,시간(총)_only_KNN_에너지
0,31.96128273010254,30.39030647277832,29.80605125427246,29.459646759545716
1,36.1981201171875,32.96156692504883,35.0605583190918,60.00519980406326
2,22.873062133789062,25.79538917541504,25.9029598236084,32.51814044141636
3,27.414501190185547,27.919004440307617,28.465518951416016,21.910681883616988
4,34.89266586303711,34.4549560546875,34.19041442871094,31.858222323442376
5,26.30987548828125,33.46664047241211,36.22933578491211,71.29686562242013
6,33.18210220336914,32.49787521362305,30.90985679626465,17.16497556091115
7,12.314684867858887,16.532297134399414,15.272234916687012,41.26986765101716
8,56.147666931152344,55.61793899536133,58.51937484741211,62.744110476881
9,38.22551345825195,33.895408630371094,37.87516403198242,58.82228295251186
average,31.951947498321534,32.35313835144043,33.22314691543579,42.7049993475826
