,쉰시간포함_MLP_5_5_에너지,쉰시간포함_KNN_5_5_에너지,쉰시간제외_MLP_5_5_에너지,쉰시간제외_KNN_5_5_에너지
0,36.76863479614258,44.17310089595282,36.37181854248047,43.66398214145538
1,108.10417938232422,256.57655477905314,102.28316497802734,265.33062140228606
2,33.10305404663086,48.12761837694106,40.73405838012695,43.838788423031886
3,33.2608642578125,40.44441483720776,32.63846206665039,48.78169572245887
4,34.275245666503906,39.77003813765837,38.97798156738281,37.99210579968921
5,36.753562927246094,65.19776929388404,34.9539794921875,77.37130430024052
6,45.6436653137207,65.53962459930604,55.62947082519531,79.28448024182237
7,47.36582946777344,88.5877371821604,46.50851821899414,91.1131708728604
8,51.39530944824219,54.981630709326026,42.88683319091797,57.75949870069541
9,38.169612884521484,59.797236162165525,36.037349700927734,80.01910863788859
average,46.483995819091795,76.31957249736551,46.70216369628906,82.51547562424288
