,시간(총)_only_MLP_15_15_에너지,시간(총)_only_MLP_20_20_에너지,시간(총)_only_MLP_25_25_에너지,시간(총)_only_KNN_에너지
0,31.020536422729492,28.340801239013672,33.870155334472656,35.31136474930887
1,30.4521484375,26.45614242553711,28.29348373413086,26.09856739670498
2,54.81496047973633,53.81188201904297,90.44185638427734,45.783665004200444
3,27.478145599365234,25.195621490478516,25.6393985748291,25.687596261743433
4,29.07009506225586,39.36396026611328,29.153074264526367,27.136117601903408
5,28.07306671142578,29.578914642333984,29.062698364257812,36.98495985308037
6,18.852510452270508,26.2243709564209,19.867822647094727,28.71197756978672
7,52.03764343261719,56.61757278442383,50.78556442260742,49.31398919695622
8,42.78352355957031,42.432395935058594,43.73120880126953,46.322192374927305
9,26.1290283203125,30.41837501525879,28.78974723815918,21.267316152990904
average,34.07116584777832,35.844003677368164,37.9635009765625,34.26177461616027
