,시간(총)_only_MLP_15_15_에너지,시간(총)_only_MLP_20_20_에너지,시간(총)_only_MLP_25_25_에너지,시간(총)_only_KNN_에너지
0,64.61672973632812,73.68000030517578,78.78640747070312,87.2943993138714
1,56.396087646484375,55.75197219848633,59.8385009765625,44.003172888952435
2,124.79906463623047,140.93743896484375,129.5765380859375,142.9723095472668
3,46.84837341308594,33.453521728515625,64.7798843383789,43.037278279742466
4,45.490047454833984,53.65393829345703,50.09366989135742,38.266843723852595
5,111.6906509399414,110.71001434326172,86.92639923095703,93.95434662868622
6,48.181453704833984,49.66324996948242,48.54473876953125,37.49631366391676
7,45.066959381103516,50.585872650146484,50.791290283203125,37.444063994085184
8,83.76781463623047,75.15727233886719,71.78916931152344,79.78194054222958
9,102.25725555419922,120.41060638427734,101.20252227783203,121.1550776526243
average,72.91144371032715,76.40038871765137,74.23291206359863,72.54057462352277
