,시간(총)_only_MLP_15_15_에너지,시간(총)_only_MLP_20_20_에너지,시간(총)_only_MLP_25_25_에너지,시간(총)_only_KNN_에너지
0,15.357063293457031,14.214197158813477,16.614761352539062,26.6351738665782
1,16.025495529174805,14.162487983703613,15.492877960205078,19.88938272190237
2,19.824811935424805,19.732601165771484,60.44535827636719,22.56260288394553
3,12.580514907836914,13.777210235595703,72.22547149658203,26.515452306052744
4,13.857267379760742,17.721176147460938,14.022337913513184,13.047716983979965
5,15.960618019104004,20.439973831176758,18.964479446411133,18.83321428150397
6,24.423234939575195,20.471498489379883,24.45181655883789,32.07738754312615
7,10.272187232971191,10.296041488647461,61.726898193359375,12.980640021571618
8,9.525589942932129,13.213422775268555,12.085095405578613,22.81744087583344
9,20.566625595092773,19.54237174987793,20.742448806762695,17.649132176309305
average,15.839340877532958,16.35709810256958,31.677154541015625,21.300814366080328
