,½®½Ã°£Æ÷ÇÔ_MLP_5_5_½Ã°£(ÃÑ),½®½Ã°£Æ÷ÇÔ_KNN_5_5_½Ã°£(ÃÑ),½®½Ã°£Á¦¿Ü_MLP_5_5_½Ã°£(ÃÑ),½®½Ã°£Á¦¿Ü_KNN_5_5_½Ã°£(ÃÑ)
0,132.0215606689453,101.5116617026211,147.40789794921875,93.7487617659501
1,264.9860534667969,42.79155690960839,184.9105682373047,46.44070150778951
2,70.8966064453125,71.18912388082022,105.51237487792969,73.06339669821395
3,88.57002258300781,103.06041195558726,91.37604522705078,101.26371744675511
4,74.86924743652344,104.75378440124588,108.56887817382812,106.23399106925204
5,118.91828155517578,88.80959972807398,187.1018829345703,89.29570373872137
6,119.22534942626953,84.88387424163048,124.70930480957031,87.23621543006435
7,200.3921356201172,121.04417970132324,305.973388671875,125.37968409970257
8,47.28884506225586,24.75180844824608,67.74237823486328,26.89048926922954
9,45.387149810791016,50.99348191535448,44.99080276489258,50.907468051083605
average,116.25552520751953,79.3789482884511,136.82935218811036,80.04601290767621
