,KNN,MLP,REAL,Type,error_KNN,error_MLP,시간(총),시작온도,장입소재개수,장입중량총합,장입최대중량
0,526.2670917083041,584.7655639648438,752.8999999994412,Holding Phase,226.63290829113714,168.13446044921875,25500.0,1287.5,5,37780.0,12000
1,198.114633254453,79.91236877441406,161.89999999944118,Holding Phase,36.21463325501182,81.98762512207031,4860.0,1267.8,9,66260.0,8600
2,192.86026699767535,233.29156494140625,207.39999999944118,Holding Phase,14.539733001765825,25.891571044921875,7620.0,1273.8,6,52120.0,10000
3,1307.948089352559,1549.5693359375,1318.4000000003725,Holding Phase,10.45191064781352,231.1693115234375,41580.0,1262.5,7,38130.0,6130
4,139.23282506750473,142.40322875976562,132.79999999981374,Holding Phase,6.432825067690999,9.603225708007812,5460.0,1273.2,8,48700.0,6710
5,148.40949359720855,184.17132568359375,180.30000000074506,Holding Phase,31.890506403536506,3.8713226318359375,7440.0,1285.2,8,48580.0,8000
6,219.88133317215696,117.45610046386719,94.7000000001863,Holding Phase,125.18133317197066,22.756103515625,3720.0,1282.1,7,56330.0,8240
7,137.99699179089254,78.07850646972656,81.6000000005588,Holding Phase,56.39699179033374,3.5214920043945312,2400.0,1285.5,8,49840.0,6230
8,175.7600415010774,211.79750061035156,166.80000000074506,Holding Phase,8.960041500332352,44.99749755859375,5340.0,1263.4,3,23630.0,13930
9,457.73256288679033,1030.6468505859375,702.6000000005588,Holding Phase,244.86743711376846,328.046875,26040.0,1257.9,9,50130.0,5570
10,770.2903578431764,1892.557373046875,1865.8999999994405,Holding Phase,1095.6096421562643,26.6573486328125,55320.0,1262.2,7,91660.0,15760
11,1128.7571051238385,1681.6912841796875,1841.0,Holding Phase,712.2428948761615,159.3087158203125,45540.0,1258.9,4,32960.0,8240
12,205.15484526649695,145.18714904785156,169.39999999944118,Holding Phase,35.75484526705577,24.212844848632812,5520.0,1262.6,6,46650.0,10000
13,245.3205994517701,34.030460357666016,209.6999999992549,Holding Phase,35.620599452515194,175.66954040527344,6960.0,1269.8,7,52210.0,15760
14,159.38186077416051,44.582054138183594,218.10000000055882,Holding Phase,58.71813922639831,173.5179443359375,3480.0,1253.5,8,62880.0,8030
15,1203.4496443766257,1450.031005859375,1841.0,Holding Phase,637.5503556233743,390.968994140625,45540.0,1258.9,4,32960.0,8240
16,177.05075071412247,257.96417236328125,261.09999999962747,Holding Phase,84.049249285505,3.135833740234375,9480.0,1284.7,7,48770.0,8030
17,327.48619464225567,643.0510864257812,752.8999999994412,Holding Phase,425.41380535718554,109.84893798828125,25500.0,1287.5,5,37780.0,12000
18,155.12366814912426,109.53056335449219,112.7000000001863,Holding Phase,42.42366814893796,3.16943359375,4620.0,1266.9,8,51600.0,6450
19,384.07602958838226,627.7437744140625,552.7999999998137,Holding Phase,168.72397041143148,74.94378662109375,21240.0,1265.6,8,59690.0,9760
20,114.17786878954662,206.61041259765625,308.90000000037253,Holding Phase,194.72213121082592,102.28958129882812,11400.0,1281.7,5,43130.0,12410
21,192.8182235750039,105.30841827392578,69.8999999994412,Holding Phase,122.9182235755627,35.408416748046875,2520.0,1278.9,4,30040.0,7810
22,376.7219603420761,524.935791015625,1169.2000000001865,Holding Phase,792.4780396581104,644.26416015625,18360.0,1282.0,5,27050.0,5570
23,151.85627850738155,62.460330963134766,81.6000000005588,Holding Phase,70.25627850682275,19.139667510986328,2400.0,1285.5,8,49840.0,6230
24,297.0607179435169,363.9742736816406,340.2999999998138,Holding Phase,43.23928205629687,23.674285888671875,16860.0,1259.3,7,41960.0,15100
25,144.81921930067716,95.43404388427734,142.70000000018626,Holding Phase,2.1192193004908972,47.265953063964844,4620.0,1268.4,8,55040.0,6880
26,451.72487769378455,933.998291015625,963.5,Holding Phase,511.77512230621545,29.501708984375,31620.0,1245.3,3,29060.0,10530
27,96.53127837460667,123.47733306884766,285.6000000005588,Holding Phase,189.06872162595212,162.1226806640625,7020.0,1280.9,4,46160.0,11920
28,152.3606303427556,135.73338317871094,132.79999999981374,Holding Phase,19.560630342941863,2.933380126953125,5460.0,1273.2,8,48700.0,6710
29,715.4369021724458,1966.81787109375,1865.8999999994405,Holding Phase,1150.4630978269947,100.9178466796875,55320.0,1262.2,7,91660.0,15760
30,109.76860164078923,244.3954315185547,241.39999999944118,Holding Phase,131.63139835865195,2.9954376220703125,8340.0,1254.8,8,48400.0,6050
31,203.26325654026434,177.18838500976562,91.0,Holding Phase,112.26325654026434,86.18838500976562,4680.0,1273.3,8,62480.0,7810
32,299.73178778543866,73.1926498413086,166.80000000074506,Holding Phase,132.9317877846936,93.60735321044922,5340.0,1263.4,3,23630.0,13930
33,256.67590451621703,468.11181640625,321.59999999962747,Holding Phase,64.92409548341044,146.51181030273438,14460.0,1263.4,4,35760.0,8940
34,168.30950001309992,240.10031127929688,261.09999999962747,Holding Phase,92.79049998652755,20.99969482421875,9480.0,1284.7,7,48770.0,8030
35,316.3839290099661,67.7874526977539,69.8999999994412,Holding Phase,246.4839290105249,2.112548828125,2520.0,1278.9,4,30040.0,7810
36,118.51454292669044,127.37776184082031,180.30000000074506,Holding Phase,61.78545707405462,52.9222412109375,7440.0,1285.2,8,48580.0,8000
37,138.47096961842237,165.9355010986328,285.6000000005588,Holding Phase,147.12903038213642,119.66450500488281,7020.0,1280.9,4,46160.0,11920
38,355.14074113924033,402.5772399902344,501.79999999981385,Holding Phase,146.65925886057352,99.22274780273438,11820.0,1254.3,3,24590.0,8590
