,쉰시간제외_MLP_5_5_에너지,쉰시간제외_KNN_5_5_에너지
0,24.83412104067595,50.6508229370427
1,19.98903647713039,41.93251083319234
2,33.9024485712466,54.74351003510082
3,22.849046043727707,40.522325468538725
4,19.541916308195695,45.627295745297225
5,15.840935499771781,32.61211931287448
6,24.112717587014902,43.580869509465224
7,23.590302674666695,48.26176497648308
8,20.089898067971934,50.72839797593372
9,22.90841003086256,32.665567597902545
average,22.765883230126423,44.13251843918309
