,[1]_All_MLP_1_3_시작온도,[1]_All_KNN_시작온도,[2]_All_MLP_3_5_시작온도,[2]_All_KNN_시작온도,[3]_All_MLP_3_1_시작온도,[3]_All_KNN_시작온도,[4]_All_MLP_3_3_시작온도,[4]_All_KNN_시작온도,[5]_All_MLP_1_3_시작온도,[5]_All_KNN_시작온도,[6]_All_MLP_5_5_시작온도,[6]_All_KNN_시작온도,[13]_All_MLP_3_1_시작온도,[13]_All_KNN_시작온도,[17]_All_MLP_3_3_시작온도,[17]_All_KNN_시작온도,[18]_All_MLP_5_5_시작온도,[18]_All_KNN_시작온도,[19]_All_MLP_5_5_시작온도,[19]_All_KNN_시작온도,[20]_All_MLP_3_3_시작온도,[20]_All_KNN_시작온도
0,26.440155029296875,33.81776269912134,20.39393558502197,19.28239156025173,13.933503892686632,17.88861050393319,11.224709510803223,13.710314443219481,11.331985473632812,10.428792944381259,17.036921298865117,16.68749812828219,36.91918182373047,27.815255208952173,18.89488474527995,20.854208121506364,15.771401989216708,19.245436813156488,10.112767855326334,12.954184838979149,19.68871560388682,20.615620697164477
1,18.21502685546875,20.958805892559777,16.73295612335205,18.5467689251105,13.240913920932346,13.539942410194728,11.557554789951869,13.354734773362399,13.410988807678223,12.4482851072279,15.387463598540336,17.783384842000483,45.48387908935547,61.65172703977849,21.256886164347332,25.559207188305066,18.168223517281668,18.435976685369397,9.092940895645707,9.797312114259519,18.164678534682917,18.220189444461475
2,15.286016464233398,17.939096440100748,18.645286560058594,22.39633098932403,12.651416354709202,16.54544795037564,12.636449807030814,13.878174986508554,14.860530853271484,14.79341820091497,21.95537265141805,24.653515743768086,37.921775817871094,56.29464541682135,20.08183987935384,25.633745100991902,12.012540330692213,15.444808335988187,9.678172217475044,10.68349940735581,24.17059240535814,24.76146202308481
3,24.437028884887695,27.687317547573777,18.63931541442871,22.32046631886428,16.98235532972548,18.073891538246887,13.712149974278041,12.457342214105978,10.202013969421387,11.19890715244788,18.754248647978812,20.407013888593877,28.11850357055664,31.635666837885633,20.923505783081055,23.46540279777343,15.216370407415896,21.647550195569192,7.120877813409876,8.903929764759697,20.568635200967595,21.052325128009176
4,19.351665496826172,24.257317682658226,24.023527526855467,18.232481618712168,14.21372456020779,18.781144080162104,12.131005477905273,16.096887132675,11.432635307312012,11.398364219844341,19.467810601899117,21.436069470922696,39.42835235595703,62.71301732537338,19.264611562093098,23.841262406017773,15.166111284372757,20.856469947635816,7.542490447009051,12.430264996801087,15.634647564012177,17.375227317633144
5,15.088064193725586,21.11461999754422,17.714252090454103,20.094894218019945,13.18366919623481,15.104632866196804,14.71674976348877,17.01673915327267,10.975189208984375,12.103967056511172,16.032157435561672,19.404396627076355,68.4881820678711,80.08671881054694,16.94774881998698,18.824091741999037,13.85410600779008,18.178273468784806,10.607731925116646,16.31555232860137,18.44643238612584,21.320593845250404
6,17.565128326416016,18.413218064260366,21.622006988525392,26.150930523309547,12.332195281982422,15.562914589460416,10.740811375209264,13.970899473471285,17.558523178100586,11.575173960067158,16.446454163753625,22.599589409413888,22.548479080200195,25.525288719878404,22.627965291341145,30.894961862077203,15.153834479195732,17.57619246363263,9.615472864221644,14.691523982999065,21.265689188120316,19.64885001760262
7,16.94375228881836,25.586691571343977,12.699827480316163,17.309479300121634,12.358139461941189,13.536880692460585,10.93611079624721,14.039548375591323,12.814459800720215,11.4387360035144,18.26231546112985,15.55390721738017,41.50088882446289,52.304937160176145,23.339435577392578,28.94659779182749,13.692056461256378,16.646108781186644,12.389958699544271,12.774624951964206,12.246784151816854,17.14592043282194
8,21.19244956970215,21.176162006687257,18.285599517822266,24.024256855611153,15.320083936055502,17.360310438035377,12.435760716029575,15.369947065280293,13.150843620300293,12.651199028008559,15.11498821142948,18.285948254592768,28.344655990600586,28.540215613064525,20.222588221232098,18.394560461844765,18.52700361913564,24.899722740712257,8.635808803417065,10.965130670010002,17.04443242598553,16.274640375817974
9,15.655759811401367,24.541435184451537,24.782394790649413,22.902528322883047,14.74086464775933,19.57625626200524,13.507661029270716,15.758403852727362,15.571533203125,17.244902365305027,18.24256099354137,18.015923321277143,41.6638069152832,39.923030997616294,23.646541595458984,25.11550866724075,17.008367499526667,20.99607769932316,10.21356635623508,10.417714962654566,22.65002527042311,25.68770989626177
average,19.017504692077637,23.549242708630125,19.353910207748417,21.126052863220806,13.895686658223472,16.5970031331071,12.359896324021477,14.565299147021435,13.130870342254639,12.528174603822269,17.67002930641174,19.482724690330766,39.04177055358887,46.64905031300933,20.720600763956703,24.15295461395838,15.457001559588374,19.39266171313586,9.500978787740072,11.993373801838448,18.98806327313793,20.210253917810782
