,시간(총)_MLP_5_5_에너지,시간(총)_MLP_7_7_에너지,시간(총)_KNN_에너지
0,14.720857620239258,13.435372352600098,15.476088584151865
1,10.857924461364746,13.674352645874023,15.345311633225517
2,18.216018676757812,19.685766220092773,19.85325858513185
3,15.681020736694336,16.037067413330078,17.03877879830033
4,8.170004844665527,8.578166007995605,7.4917293928250235
5,9.951659202575684,10.824474334716797,11.966291169163535
6,14.806208610534668,14.280824661254883,16.738533437695725
7,15.645594596862793,13.633968353271484,13.043855676921993
8,14.651837348937988,14.324651718139648,12.050263914962066
9,9.274505615234375,8.948527336120605,8.645944741584906
average,13.197563171386719,13.3423171043396,13.765005593396282
