,시간(총)_MLP_5_5_에너지,시간(총)_MLP_1_3_에너지,시간(총)_KNN_에너지
0,19.648990631103516,25.020750045776367,18.540836312340964
1,46.74949264526367,56.83073425292969,74.79175060677356
2,378.1671142578125,58.75443649291992,71.3616326626476
3,29.758468627929688,46.42097091674805,48.87464371298512
4,24.82151222229004,37.38396453857422,45.69034399015271
5,19.583614349365234,25.013681411743164,18.540836312340964
6,35.81679153442383,13.816567420959473,60.18466808562921
7,60.92918014526367,40.648433685302734,60.054163270801155
8,27.592676162719727,36.80722427368164,43.90435351498863
9,43.083744049072266,36.83838653564453,43.90435351498863
average,68.61515846252442,37.75351495742798,48.58475819836485
