,시작온도_시간(총)_MLP_5_5_에너지,시작온도_시간(총)_MLP_7_7_에너지,시작온도_시간(총)_KNN_에너지
0,12.94474983215332,18.237539291381836,23.964202020443377
1,18.448623657226562,18.05508041381836,40.12181495954931
2,18.703927993774414,18.73213768005371,31.587555197420137
3,14.264520645141602,30.825838088989258,36.0313631708711
4,17.49839210510254,24.67865562438965,31.25097162362973
5,16.83981704711914,18.0755558013916,29.53689739300281
6,19.61968231201172,21.998260498046875,51.14892017107514
7,13.704573631286621,16.866472244262695,33.35869877570698
8,18.899293899536133,29.203092575073242,32.828370675039366
9,11.940433502197266,19.499773025512695,30.955431156761758
average,16.28640146255493,21.617240524291994,34.07842251434997
