,시간(총)_MLP_5_5_에너지,시간(총)_MLP_6_6_에너지,시간(총)_KNN_에너지
0,6.669174671173096,6.096240997314453,8.783701167105704
1,8.835871696472168,8.744653701782227,16.069661007269687
2,11.959677696228027,12.148594856262207,11.87969000097123
3,9.268975257873535,11.756223678588867,12.918473013904746
4,7.829097270965576,6.7915873527526855,11.804079786869346
5,7.702530860900879,6.896860599517822,11.235240533443731
6,10.30749797821045,9.827980995178223,15.75881417660814
7,10.81131362915039,10.8902006149292,20.867489692259806
8,6.645801544189453,7.103446960449219,13.717389140501101
9,12.890453338623047,12.889888763427734,19.36835232690011
average,9.292039394378662,9.314567852020264,14.240289084583361
