,Type,cycle,drop_flag,in,out,가스사용량,가스사용량(마지막),가스사용량(총),가열로 번호,가열완료 온도,가열중 마지막 문닫힌 시간,가열중 문열림 횟수,뺄시간,소재 list,시작시간,시작온도,실제 시작시간,원래시작점온도,이전 종료시간,작업일자,종료시간,종료온도,주/야간,최종 가열시작 온도,평균온도,평일/주말
0,heat,0.0,1,[],[],,6294.300000000018,6294.300000000018,6,1220.0023952599906,0,0.0,24.0,"['190819-19439-004', '190819-19439-004', '190415-15491-004']",2019-09-20 02:07:00,1210.1267294592674,2019-09-20 02:07:00,1210.1267294592674,2019-09-19 21:27:00,,2019-09-21 00:28:00,,,0.0,,
1,heat,1.0,1,[],[],,0.0,0.0,6,1222.9260636588624,0,0.0,1.0,"['190905-19172-001', '190710-19001-044', '190710-19001-045', '가열로 다이']",2019-09-21 07:05:00,1222.9260636588624,2019-09-21 07:04:00,1222.918699254835,2019-09-21 06:46:00,,2019-09-21 07:05:00,,,0.0,,
2,heat,2.0,1,[],[],,0.0,0.0,6,1253.8197385537414,0,0.0,1.0,"['190710-19001-050', '190710-19001-049', '190710-19001-047', '190710-19001-048', '190710-19001-046']",2019-09-24 05:00:00,1253.8197385537414,2019-09-24 05:00:00,1253.8197385537414,2019-09-24 04:03:00,,2019-09-24 05:00:00,,,0.0,,
3,hold,,1,[],[],6994.799999999987,,,6,,,,,,2019-09-24 05:00:00,,,,,,2019-09-25 02:52:00,,,,1254.4350646366274,
4,open,,0,[],[],8.5,,,6,,,,,,2019-09-25 02:52:00,1255.0,,,,,2019-09-25 03:06:00,831.9,,,,
5,reheat,,0,[],[],78.29999999998836,,,6,,,,0.0,,2019-09-25 03:06:00,831.9,,,,,2019-09-25 03:20:00,,,,,
6,open,,0,[],[],3.3999999999941792,,,6,,,,,,2019-09-25 03:21:00,1213.2,,,,,2019-09-25 03:29:00,840.1,,,,
7,reheat,,0,[],[],73.20000000001164,,,6,,,,1.0,,2019-09-25 03:29:00,840.1,,,,,2019-09-25 03:40:00,,,,,
8,open,,0,[],[],5.100000000005822,,,6,,,,,,2019-09-25 03:41:00,1184.2,,,,,2019-09-25 03:47:00,870.8,,,,
9,reheat,,0,[],[],103.79999999998836,,,6,,,,0.0,,2019-09-25 03:47:00,870.8,,,,,2019-09-25 04:03:00,,,,,
10,open,,0,[],[],1.6999999999825377,,,6,,,,,,2019-09-25 04:04:00,1209.3,,,,,2019-09-25 04:17:00,624.8,,,,
11,reheat,,0,[],[],64.60000000000582,,,6,,,,2.0,,2019-09-25 04:17:00,624.8,,,,,2019-09-25 04:26:00,,,,,
