,Type,cycle,drop_flag,gradient,in,out,part_types,temp diff,time diff,啊胶荤侩樊,啊胶荤侩樊(付瘤阜 备埃),啊凯肺 锅龋,啊凯肯丰 柯档,啊凯吝 付瘤阜 巩摧腮 矫埃,啊凯吝 巩凯覆 冉荐,滑矫埃,家犁 list,矫累矫埃,矫累柯档,角力 矫累矫埃,盔贰矫累痢柯档,捞傈 辆丰矫埃,累诀老磊,辆丰矫埃,辆丰柯档,林/具埃,弥辆 啊凯矫累 柯档,乞闭柯档,乞老/林富
0,open,0.0,0.0,,[],[],,,,3.399999998509884,,5,,,,,[''],2019-07-01 08:31:00,1271.0,,,,,2019-07-01 08:34:00,1055.9,,,,
1,reheat,0.0,0.0,,[],[],,,,67.80000000074506,,5,,,,1.0,[''],2019-07-01 08:34:00,1055.9,,,,,2019-07-01 08:45:00,,,,,
2,hold,0.0,0.0,,[],[],,,,5.0,,5,,,,,[''],2019-07-01 08:45:00,1286.3,,,,,2019-07-01 08:46:00,1284.4,,,1285.35,
3,open,0.0,0.0,,[],[],,,,26.699999999254945,,5,,,,,[''],2019-07-01 08:46:00,1284.4,,,,,2019-07-01 08:56:00,1049.2,,,,
4,open,0.0,0.0,,[],[],,,,0.0,,5,,,,,[''],2019-07-01 09:12:00,1270.5,,,,,2019-07-01 09:17:00,1108.6,,,,
5,reheat,0.0,0.0,,[],[],,,,0.0,,5,,,,10.0,[''],2019-07-01 09:17:00,1108.6,,,,,2019-07-01 09:27:00,,,,,
6,open,0.0,0.0,,[],[],,,,0.0,,5,,,,,[''],2019-07-01 09:28:00,1286.3,,,,,2019-07-01 09:35:00,1076.4,,,,
7,reheat,0.0,0.0,,[],[],,,,0.0,,5,,,,12.0,[''],2019-07-01 09:35:00,1076.4,,,,,2019-07-01 09:47:00,,,,,
8,hold,0.0,0.0,,[],[],,,,0.0,,5,,,,,[''],2019-07-01 09:47:00,1288.5,,,,,2019-07-01 09:52:00,1271.8,,,1280.3,
9,open,0.0,0.0,,[],[],,,,0.0,,5,,,,,[''],2019-07-01 09:52:00,1271.8,,,,,2019-07-01 09:55:00,1093.6,,,,
10,reheat,0.0,0.0,,[],[],,,,0.0,,5,,,,11.0,[''],2019-07-01 09:55:00,1093.6,,,,,2019-07-01 10:06:00,,,,,
11,open,0.0,0.0,,[],[],,,,0.0,,5,,,,,[''],2019-07-01 10:07:00,1290.4,,,,,2019-07-01 10:11:00,1041.2,,,,
12,reheat,0.0,0.0,,[],[],,,,0.0,,5,,,,11.0,[''],2019-07-01 10:11:00,1041.2,,,,,2019-07-01 10:22:00,,,,,
13,open,0.0,0.0,,[],[],,,,0.0,,5,,,,,[''],2019-07-01 10:23:00,1289.2,,,,,2019-07-01 10:39:00,662.8,,,,
14,open,0.0,0.0,,[],[],,,,0.0,,5,,,,,[''],2019-07-01 11:28:00,1252.5,,,,,2019-07-01 11:35:00,848.1,,,,
