,Type,cycle,drop_flag,in,out,가스사용량,가스사용량(마지막),가스사용량(총),가열로 번호,가열완료 온도,가열중 마지막 문닫힌 시간,가열중 문열림 횟수,뺄시간,소재 list,시작시간,시작온도,실제 시작시간,원래시작점온도,이전 종료시간,작업일자,종료시간,종료온도,주/야간,최종 가열시작 온도,평균온도,평일/주말
41,hold,,0,[],[],23.5,,,2,,,,,,2019-07-10 03:56:00,,,,,,2019-07-10 04:03:00,,,,1286.175,
42,open,,0,[],[],1.699999999254942,,,2,,,,,,2019-07-10 04:03:00,1282.0,,,,,2019-07-10 04:06:00,961.0,,,,
43,reheat,,0,[],[],58.700000001117594,,,2,,,,1.0,,2019-07-10 04:06:00,961.0,,,,,2019-07-10 04:20:00,,,,,
44,heat,2.0,1,[],[],,3344.0999999996275,3344.0999999996275,2,1274.8,0,0.0,3.0,[''],2019-07-10 23:16:00,383.2,2019-07-10 23:15:00,370.2,2019-07-10 04:32:00,,2019-07-11 05:55:00,,,0.0,,
45,hold,,0,[],[],1570.2000000011176,,,2,,,,,,2019-07-11 05:55:00,,,,,,2019-07-11 13:39:00,,,,1256.8596774193547,
46,open,,0,[],[],6.599999999627472,,,2,,,,,,2019-07-11 13:39:00,1255.8,,,,,2019-07-11 14:12:00,510.6,,,,
47,reheat,,0,[],[],368.29999999888236,,,2,,,,1.0,,2019-07-11 14:12:00,510.6,,,,,2019-07-11 15:01:00,,,,,
48,hold,,0,[],[],1451.0,,,2,,,,,,2019-07-11 15:01:00,,,,,,2019-07-11 23:07:00,,,,1274.7244353182753,
49,open,,0,[],[],5.0,,,2,,,,,,2019-07-11 23:07:00,1275.2,,,,,2019-07-11 23:10:00,1017.9,,,,
50,reheat,,0,[],[],31.5,,,2,,,,1.0,,2019-07-11 23:10:00,1017.9,,,,,2019-07-11 23:19:00,,,,,
51,hold,,0,[],[],31.60000000149012,,,2,,,,,,2019-07-11 23:19:00,,,,,,2019-07-11 23:28:00,,,,1283.14,
52,open,,0,[],[],6.699999999254942,,,2,,,,,,2019-07-11 23:28:00,1278.4,,,,,2019-07-11 23:32:00,946.6,,,,
53,reheat,,0,[],[],39.90000000037253,,,2,,,,1.0,,2019-07-11 23:32:00,946.6,,,,,2019-07-11 23:42:00,,,,,
54,hold,,0,[],[],25.0,,,2,,,,,,2019-07-11 23:42:00,,,,,,2019-07-11 23:48:00,,,,1288.5571428571427,
55,open,,0,[],[],13.299999998882413,,,2,,,,,,2019-07-11 23:48:00,1292.8,,,,,2019-07-11 23:54:00,938.3,,,,
56,reheat,,0,[],[],68.40000000037253,,,2,,,,1.0,,2019-07-11 23:54:00,938.3,,,,,2019-07-12 00:10:00,,,,,
57,hold,,0,[],[],346.5,,,2,,,,,,2019-07-12 00:10:00,,,,,,2019-07-12 02:09:00,,,,1274.925,
58,open,,0,[],[],10.099999999627473,,,2,,,,,,2019-07-12 02:09:00,1274.4,,,,,2019-07-12 02:15:00,903.5,,,,
59,reheat,,0,[],[],73.60000000149013,,,2,,,,1.0,,2019-07-12 02:15:00,903.5,,,,,2019-07-12 02:32:00,,,,,
60,hold,,0,[],[],18.5,,,2,,,,,,2019-07-12 02:32:00,,,,,,2019-07-12 02:38:00,,,,1284.357142857143,
61,open,,0,[],[],5.099999999627472,,,2,,,,,,2019-07-12 02:38:00,1283.1,,,,,2019-07-12 02:41:00,1000.0,,,,
62,reheat,,0,[],[],52.0,,,2,,,,1.0,,2019-07-12 02:41:00,1000.0,,,,,2019-07-12 02:54:00,,,,,
63,hold,,0,[],[],20.199999999254945,,,2,,,,,,2019-07-12 02:54:00,,,,,,2019-07-12 02:59:00,,,,1289.3666666666666,
64,open,,0,[],[],8.400000000372527,,,2,,,,,,2019-07-12 02:59:00,1292.7,,,,,2019-07-12 03:04:00,981.9,,,,
65,reheat,,0,[],[],52.0,,,2,,,,0.0,,2019-07-12 03:04:00,981.9,,,,,2019-07-12 03:16:00,,,,,
66,hold,,0,[],[],28.59999999962747,,,2,,,,,,2019-07-12 03:16:00,,,,,,2019-07-12 03:24:00,,,,1285.9666666666665,
67,open,,0,[],[],6.700000001117588,,,2,,,,,,2019-07-12 03:24:00,1281.1,,,,,2019-07-12 03:29:00,892.5,,,,
68,reheat,,0,[],[],72.09999999962747,,,2,,,,1.0,,2019-07-12 03:29:00,892.5,,,,,2019-07-12 03:45:00,,,,,
69,hold,,0,[],[],15.099999999627473,,,2,,,,,,2019-07-12 03:45:00,,,,,,2019-07-12 03:49:00,,,,1285.98,
70,open,,0,[],[],8.400000000372527,,,2,,,,,,2019-07-12 03:49:00,1289.5,,,,,2019-07-12 03:54:00,950.4,,,,
71,reheat,,0,[],[],67.0,,,2,,,,1.0,,2019-07-12 03:54:00,950.4,,,,,2019-07-12 04:09:00,,,,,
72,hold,,0,[],[],391.79999999888236,,,2,,,,,,2019-07-12 04:09:00,,,,,,2019-07-12 06:35:00,,,,1275.1020408163265,
73,open,,0,[],[],5.100000001490116,,,2,,,,,,2019-07-12 06:35:00,1274.4,,,,,2019-07-12 06:40:00,861.5,,,,
74,reheat,,0,[],[],41.89999999850989,,,2,,,,1.0,,2019-07-12 06:40:00,861.5,,,,,2019-07-12 06:50:00,,,,,
75,heat,3.0,1,[],[],,870.5,870.5,2,1261.5,0,0.0,1.0,[''],2019-07-12 07:11:00,767.2,2019-07-12 07:10:00,685.3,2019-07-12 06:53:00,,2019-07-12 08:47:00,,,0.0,,
76,hold,,0,[],[],2792.5,,,2,,,,,,2019-07-12 08:47:00,,,,,,2019-07-12 23:40:00,,,,1263.1137583892614,
77,open,,0,[],[],5.0,,,2,,,,,,2019-07-12 23:40:00,1274.8,,,,,2019-07-12 23:45:00,927.3,,,,
78,reheat,,0,[],[],63.099999999627464,,,2,,,,1.0,,2019-07-12 23:45:00,927.3,,,,,2019-07-13 00:01:00,,,,,
79,hold,,0,[],[],505.1999999992548,,,2,,,,,,2019-07-13 00:01:00,,,,,,2019-07-13 03:35:00,,,,1274.6860465116279,
80,open,,0,[],[],3.300000000745058,,,2,,,,,,2019-07-13 03:35:00,1273.6,,,,,2019-07-13 03:39:00,951.6,,,,
81,reheat,,0,[],[],43.5,,,2,,,,1.0,,2019-07-13 03:39:00,951.6,,,,,2019-07-13 03:50:00,,,,,
82,hold,,0,[],[],5.0,,,2,,,,,,2019-07-13 03:50:00,,,,,,2019-07-13 03:51:00,,,,1291.0,
83,open,,0,[],[],10.0,,,2,,,,,,2019-07-13 03:51:00,1292.0,,,,,2019-07-13 03:57:00,838.6,,,,
84,reheat,,0,[],[],71.79999999888241,,,2,,,,1.0,,2019-07-13 03:57:00,838.6,,,,,2019-07-13 04:12:00,,,,,
85,hold,,0,[],[],284.90000000037253,,,2,,,,,,2019-07-13 04:12:00,,,,,,2019-07-13 05:57:00,,,,1275.5603773584908,
86,open,,0,[],[],5.099999999627472,,,2,,,,,,2019-07-13 05:57:00,1276.7,,,,,2019-07-13 06:01:00,1022.0,,,,
