,Type,cycle,drop_flag,in,out,가스사용량,가스사용량(마지막 구간),가열로 번호,가열완료 온도,가열중 마지막 문닫힌 시간,가열중 문열림 횟수,뺄시간,소재 list,시작시간,시작온도,실제 시작시간,원래시작점온도,이전 종료시간,작업일자,종료시간,종료온도,주/야간,최종 가열시작 온도,평균온도,평일/주말
0,heat,5,0,,,601.0,547.5,19,1229.1,2019-09-24 19:05:00,1,6,"['190921-99010-001', '200204-19180-030', '200204-19180-029', '200204-19180-028', '200204-19180-027', '200204-19180-026', '200204-19180-025']",2019-09-24 18:55:00,855.6,2019-09-24 18:55:00,855.6,2019-09-24 18:36:00,,2019-09-24 19:49:00,1229.1,,879.1,,
1,open,,0,,,9.799999999988358,,19,,,,,,2019-09-24 20:32:00,1226.5,,,,,2019-09-24 20:41:00,1025.3,,,,
2,reheat,,0,,,193.20000000001164,,19,,,,1,,2019-09-24 20:41:00,1025.3,,,,,2019-09-24 20:57:00,,,,,
3,hold,,0,,,2314.7999999999884,,19,,,,,,2019-09-24 20:57:00,1230.1,,,,,2019-09-25 10:56:00,1226.3,,,1226.0190476190476,
4,open,,0,,,4.899999999994179,,19,,,,,,2019-09-25 10:56:00,1226.3,,,,,2019-09-25 11:01:00,1042.5,,,,
5,reheat,,0,,,83.20000000001164,,19,,,,1,,2019-09-25 11:01:00,1042.5,,,,,2019-09-25 11:11:00,,,,,
6,hold,,0,,,239.79999999998836,,19,,,,,,2019-09-25 11:11:00,1228.4,,,,,2019-09-25 12:59:00,1226.4,,,1226.4119266055045,
7,open,,0,,,6.5,,19,,,,,,2019-09-25 12:59:00,1226.4,,,,,2019-09-25 13:03:00,1099.0,,,,
8,reheat,,0,,,45.0,,19,,,,1,,2019-09-25 13:03:00,1099.0,,,,,2019-09-25 13:09:00,,,,,
9,hold,,0,,,16.10000000000582,,19,,,,,,2019-09-25 13:09:00,1228.9,,,,,2019-09-25 13:13:00,1227.4,,,1228.3600000000001,
10,open,,0,,,4.899999999994179,,19,,,,,,2019-09-25 13:13:00,1227.4,,,,,2019-09-25 13:17:00,1108.6,,,,
11,reheat,,0,,,46.20000000001164,,19,,,,0,,2019-09-25 13:17:00,1108.6,,,,,2019-09-25 13:22:00,,,,,
12,hold,,0,,,14.5,,19,,,,,,2019-09-25 13:22:00,1227.0,,,,,2019-09-25 13:26:00,1227.9,,,1227.7,
13,open,,0,,,8.10000000000582,,19,,,,,,2019-09-25 13:26:00,1227.9,,,,,2019-09-25 13:30:00,1095.8,,,,
14,reheat,,0,,,47.79999999998836,,19,,,,1,,2019-09-25 13:30:00,1095.8,,,,,2019-09-25 13:36:00,,,,,
15,hold,,0,,,12.89999999999418,,19,,,,,,2019-09-25 13:36:00,1227.3,,,,,2019-09-25 13:39:00,1227.7,,,1227.775,
16,open,,0,,,6.400000000023283,,19,,,,,,2019-09-25 13:39:00,1227.7,,,,,2019-09-25 13:43:00,1072.5,,,,
17,reheat,,0,,,60.5,,19,,,,1,,2019-09-25 13:43:00,1072.5,,,,,2019-09-25 13:50:00,,,,,
18,hold,,0,,,17.699999999982538,,19,,,,,,2019-09-25 13:50:00,1227.8,,,,,2019-09-25 13:54:00,1227.8,,,1228.06,
19,open,,0,,,8.0,,19,,,,,,2019-09-25 13:54:00,1227.8,,,,,2019-09-25 13:59:00,1063.7,,,,
20,reheat,,0,,,61.80000000001746,,19,,,,0,,2019-09-25 13:59:00,1063.7,,,,,2019-09-25 14:05:00,,,,,
21,hold,,0,,,24.0,,19,,,,,,2019-09-25 14:05:00,1226.9,,,,,2019-09-25 14:10:00,1227.9,,,1228.0166666666667,
22,open,,0,,,8.0,,19,,,,,,2019-09-25 14:10:00,1227.9,,,,,2019-09-25 14:15:00,1044.5,,,,
23,reheat,,0,,,131.29999999998836,,19,,,,15,,2019-09-25 14:15:00,1044.5,,,,,2019-09-25 14:43:00,,,,,
24,hold,,0,,,6.399999999994179,,19,,,,,,2019-09-25 14:43:00,1251.6,,,,,2019-09-25 14:44:00,1252.3,,,1251.9499999999998,
25,open,,0,,,9.5,,19,,,,,,2019-09-25 14:44:00,1252.3,,,,,2019-09-25 14:49:00,1061.3,,,,
26,reheat,,0,,,99.5,,19,,,,0,,2019-09-25 14:49:00,1061.3,,,,,2019-09-25 15:00:00,,,,,
27,hold,,0,,,304.70000000001164,,19,,,,,,2019-09-25 15:00:00,1249.7,,,,,2019-09-25 16:55:00,1246.4,,,1246.6275862068965,
28,open,,0,,,4.899999999994179,,19,,,,,,2019-09-25 16:55:00,1246.4,,,,,2019-09-25 16:59:00,1086.8,,,,
29,reheat,,0,,,71.70000000001164,,19,,,,1,,2019-09-25 16:59:00,1086.8,,,,,2019-09-25 17:08:00,,,,,
30,heat,6,0,,,971.5,971.5,19,1249.1,0,0,2,"['190826-19088-003', '190921-99010-001', '190527-19501-040', '190527-19501-039']",2019-09-25 18:38:00,847.6,2019-09-25 18:37:00,839.1,2019-09-25 18:16:00,,2019-09-25 19:52:00,1249.1,,0,,
31,open,,0,,,8.10000000000582,,19,,,,,,2019-09-25 22:36:00,1246.7,,,,,2019-09-25 22:41:00,1026.8,,,,
32,reheat,,0,,,70.5,,19,,,,2,,2019-09-25 22:41:00,1026.8,,,,,2019-09-25 22:48:00,,,,,
33,open,,0,,,12.799999999988358,,19,,,,,,2019-09-25 22:49:00,1211.2,,,,,2019-09-25 22:54:00,1000.1,,,,
34,reheat,,0,,,195.60000000000582,,19,,,,1,,2019-09-25 22:54:00,1000.1,,,,,2019-09-25 23:10:00,,,,,
35,hold,,0,,,612.3999999999942,,19,,,,,,2019-09-25 23:10:00,1254.5,,,,,2019-09-26 01:02:00,1246.5,,,1246.6663716814157,
36,open,,0,,,11.5,,19,,,,,,2019-09-26 01:02:00,1246.5,,,,,2019-09-26 01:07:00,1055.3,,,,
37,reheat,,0,,,79.30000000001746,,19,,,,0,,2019-09-26 01:07:00,1055.3,,,,,2019-09-26 01:15:00,,,,,
38,hold,,0,,,9.699999999982538,,19,,,,,,2019-09-26 01:15:00,1252.8,,,,,2019-09-26 01:16:00,1253.6,,,1253.1999999999998,
39,open,,0,,,49.0,,19,,,,,,2019-09-26 01:16:00,1253.6,,,,,2019-09-26 01:27:00,1039.3,,,,
40,reheat,,0,,,149.20000000001164,,19,,,,1,,2019-09-26 01:27:00,1039.3,,,,,2019-09-26 01:44:00,,,,,
41,hold,,0,,,1216.6000000000058,,19,,,,,,2019-09-26 01:44:00,1246.0,,,,,2019-09-26 08:33:00,1246.4,,,1246.3658536585365,
42,open,,0,,,4.899999999994179,,19,,,,,,2019-09-26 08:33:00,1246.4,,,,,2019-09-26 08:40:00,1002.8,,,,
43,reheat,,0,,,114.0,,19,,,,1,,2019-09-26 08:40:00,1002.8,,,,,2019-09-26 08:52:00,,,,,
44,hold,,0,,,238.89999999999418,,19,,,,,,2019-09-26 08:52:00,1249.9,,,,,2019-09-26 10:13:00,1246.8,,,1246.869512195122,
45,open,,0,,,3.3000000000174623,,19,,,,,,2019-09-26 10:13:00,1246.8,,,,,2019-09-26 10:19:00,1013.2,,,,
46,reheat,,0,,,190.5,,19,,,,1,,2019-09-26 10:19:00,1013.2,,,,,2019-09-26 10:41:00,,,,,
47,hold,,0,,,458.0,,19,,,,,,2019-09-26 10:41:00,1249.8,,,,,2019-09-26 13:18:00,1246.9,,,1247.1234177215188,
48,open,,0,,,4.7999999999883585,,19,,,,,,2019-09-26 13:18:00,1246.9,,,,,2019-09-26 13:22:00,1075.3,,,,
49,reheat,,0,,,84.10000000000582,,19,,,,1,,2019-09-26 13:22:00,1075.3,,,,,2019-09-26 13:32:00,,,,,
50,hold,,0,,,53.5,,19,,,,,,2019-09-26 13:32:00,1250.6,,,,,2019-09-26 13:46:00,1247.2,,,1248.0400000000002,
51,open,,0,,,5.199999999982538,,19,,,,,,2019-09-26 13:46:00,1247.2,,,,,2019-09-26 13:50:00,1079.1,,,,
52,reheat,,0,,,71.10000000000582,,19,,,,1,,2019-09-26 13:50:00,1079.1,,,,,2019-09-26 13:57:00,,,,,
53,hold,,0,,,46.5,,19,,,,,,2019-09-26 13:57:00,1247.9,,,,,2019-09-26 14:06:00,1247.6,,,1248.37,
54,open,,0,,,3.3000000000174623,,19,,,,,,2019-09-26 14:06:00,1247.6,,,,,2019-09-26 14:13:00,997.8,,,,
55,reheat,,0,,,121.89999999999418,,19,,,,1,,2019-09-26 14:13:00,997.8,,,,,2019-09-26 14:22:00,,,,,
56,heat,7,0,,,185.0,185.0,19,1247.7,0,0,1,"['190527-19501-040', '190804-72315-001', '190804-72315-001', '190527-19501-039']",2019-09-26 14:27:00,1051.9,2019-09-26 14:27:00,1051.9,2019-09-26 14:22:00,,2019-09-26 14:44:00,1247.7,,0,,
57,open,,0,,,6.399999999994179,,19,,,,,,2019-09-26 17:56:00,1246.7,,,,,2019-09-26 18:01:00,1064.0,,,,
58,reheat,,0,,,84.10000000000582,,19,,,,1,,2019-09-26 18:01:00,1064.0,,,,,2019-09-26 18:11:00,,,,,
59,hold,,0,,,424.29999999998836,,19,,,,,,2019-09-26 18:11:00,1249.0,,,,,2019-09-26 20:59:00,1246.0,,,1246.4609467455623,
60,open,,0,,,3.2000000000116415,,19,,,,,,2019-09-26 20:59:00,1246.0,,,,,2019-09-26 21:10:00,940.6,,,,
61,reheat,,0,,,628.1999999999825,,19,,,,0,,2019-09-26 21:10:00,940.6,,,,,2019-09-26 22:00:00,,,,,
62,hold,,0,,,1370.2000000000116,,19,,,,,,2019-09-26 22:00:00,1240.9,,,,,2019-09-27 03:28:00,1246.7,,,1246.7468085106384,
63,open,,0,,,4.7999999999883585,,19,,,,,,2019-09-27 03:28:00,1246.7,,,,,2019-09-27 03:32:00,1093.0,,,,
64,reheat,,0,,,80.39999999999418,,19,,,,0,,2019-09-27 03:32:00,1093.0,,,,,2019-09-27 03:41:00,,,,,
65,heat,8,0,,,115.39999999999418,115.39999999999418,19,1247.0,0,0,1,"['190804-72315-001', '190804-72315-001', '190821-19454-001', '190821-19454-002']",2019-09-27 04:10:00,1104.2,2019-09-27 04:10:00,1104.2,2019-09-27 04:04:00,,2019-09-27 04:24:00,1247.0,,0,,
66,open,,0,,,4.800000000017462,,19,,,,,,2019-09-27 05:04:00,1246.7,,,,,2019-09-27 05:10:00,1038.2,,,,
67,reheat,,0,,,118.5,,19,,,,0,,2019-09-27 05:10:00,1038.2,,,,,2019-09-27 05:21:00,,,,,
68,hold,,0,,,165.09999999997672,,19,,,,,,2019-09-27 05:21:00,1250.6,,,,,2019-09-27 06:06:00,1246.7,,,1246.7978260869563,
69,open,,0,,,4.800000000017462,,19,,,,,,2019-09-27 06:06:00,1246.7,,,,,2019-09-27 06:10:00,1107.0,,,,
70,reheat,,0,,,83.69999999998254,,19,,,,1,,2019-09-27 06:10:00,1107.0,,,,,2019-09-27 06:23:00,,,,,
71,hold,,0,,,318.30000000001746,,19,,,,,,2019-09-27 06:23:00,1225.6,,,,,2019-09-27 08:24:00,1226.4,,,1226.4057377049178,
72,open,,0,,,4.899999999994179,,19,,,,,,2019-09-27 08:24:00,1226.4,,,,,2019-09-27 08:27:00,1081.1,,,,
73,reheat,,0,,,93.5,,19,,,,1,,2019-09-27 08:27:00,1081.1,,,,,2019-09-27 08:41:00,,,,,
74,hold,,0,,,8.10000000000582,,19,,,,,,2019-09-27 08:41:00,1231.3,,,,,2019-09-27 08:42:00,1233.8,,,1232.55,
75,open,,0,,,11.39999999999418,,19,,,,,,2019-09-27 08:42:00,1233.8,,,,,2019-09-27 08:49:00,1038.3,,,,
76,reheat,,0,,,78.39999999999418,,19,,,,2,,2019-09-27 08:49:00,1038.3,,,,,2019-09-27 08:56:00,,,,,
77,open,,0,,,9.700000000011642,,19,,,,,,2019-09-27 08:56:00,1232.4,,,,,2019-09-27 08:59:00,1078.6,,,,
78,reheat,,0,,,87.79999999998836,,19,,,,1,,2019-09-27 08:59:00,1078.6,,,,,2019-09-27 09:08:00,,,,,
79,hold,,0,,,823.7000000000116,,19,,,,,,2019-09-27 09:08:00,1227.6,,,,,2019-09-27 14:20:00,1226.5,,,1226.6143769968053,
80,open,,0,,,4.7999999999883585,,19,,,,,,2019-09-27 14:20:00,1226.5,,,,,2019-09-27 14:23:00,1086.4,,,,
81,reheat,,0,,,61.70000000001164,,19,,,,1,,2019-09-27 14:23:00,1086.4,,,,,2019-09-27 14:31:00,,,,,
82,hold,,0,,,65.39999999999418,,19,,,,,,2019-09-27 14:31:00,1228.5,,,,,2019-09-27 14:55:00,1227.1,,,1227.192,
83,open,,0,,,4.7999999999883585,,19,,,,,,2019-09-27 14:55:00,1227.1,,,,,2019-09-27 14:59:00,1089.7,,,,
84,reheat,,0,,,110.0,,19,,,,1,,2019-09-27 14:59:00,1089.7,,,,,2019-09-27 15:18:00,,,,,
85,hold,,0,,,254.90000000002328,,19,,,,,,2019-09-27 15:18:00,1247.3,,,,,2019-09-27 16:56:00,1246.7,,,1246.561616161616,
86,open,,0,,,4.7999999999883585,,19,,,,,,2019-09-27 16:56:00,1246.7,,,,,2019-09-27 17:02:00,1032.2,,,,
87,reheat,,0,,,103.70000000001164,,19,,,,0,,2019-09-27 17:02:00,1032.2,,,,,2019-09-27 17:13:00,,,,,
