,Type,cycle,drop_flag,gradient,in,out,part_types,temp diff,time diff,가스사용량,가스사용량(마지막 구간),가열로 번호,가열완료 온도,가열중 마지막 문닫힌 시간,가열중 문열림 횟수,뺄시간,소재 list,시작시간,시작온도,실제 시작시간,원래시작점온도,이전 종료시간,작업일자,종료시간,종료온도,주/야간,최종 가열시작 온도,평균온도,평일/주말
39,open,,0,,,,,,,25.199999999254942,,2,,,,,,2019-07-10 03:56:00,1294.4,,,,,2019-07-10 04:06:00,961.0,,,,
40,reheat,,0,,,,,,,58.70000000111759,,2,,,,1,,2019-07-10 04:06:00,961.0,,,,,2019-07-10 04:20:00,,,,,
41,heat,2,1,134.0751879699248,,,increasing 0,891.5999999999999,6.65,3344.0999999996275,3344.0999999996275,2,1274.8,0,0,3,[],2019-07-10 23:16:00,383.2,2019-07-10 23:15:00,370.2,2019-07-10 04:28:00,,2019-07-11 05:55:00,1274.8,,0,,
42,open,,0,,,,,,,6.599999999627471,,2,,,,,,2019-07-11 13:39:00,1255.8,,,,,2019-07-11 14:12:00,510.6,,,,
43,reheat,,0,,,,,,,382.90000000037253,,2,,,,1,,2019-07-11 14:12:00,510.6,,,,,2019-07-11 15:03:00,,,,,
44,hold,,0,,,,,,,1436.3999999985099,,2,,,,,,2019-07-11 15:03:00,1276.7,,,,,2019-07-11 23:07:00,1275.2,,,1274.7109278350515,
45,open,,0,,,,,,,5.0,,2,,,,,,2019-07-11 23:07:00,1275.2,,,,,2019-07-11 23:10:00,1017.9,,,,
46,reheat,,0,,,,,,,31.5,,2,,,,1,,2019-07-11 23:10:00,1017.9,,,,,2019-07-11 23:19:00,,,,,
47,open,,0,,,,,,,15.0,,2,,,,,,2019-07-11 23:25:00,1287.7,,,,,2019-07-11 23:32:00,946.6,,,,
48,reheat,,0,,,,,,,39.90000000037253,,2,,,,1,,2019-07-11 23:32:00,946.6,,,,,2019-07-11 23:42:00,,,,,
49,open,,0,,,,,,,33.29999999888241,,2,,,,,,2019-07-11 23:43:00,1293.8,,,,,2019-07-11 23:54:00,938.3,,,,
50,reheat,,0,,,,,,,68.40000000037253,,2,,,,1,,2019-07-11 23:54:00,938.3,,,,,2019-07-12 00:10:00,,,,,
51,hold,,0,,,,,,,346.5,,2,,,,,,2019-07-12 00:10:00,1291.6,,,,,2019-07-12 02:09:00,1274.4,,,1274.925,
52,open,,0,,,,,,,10.099999999627471,,2,,,,,,2019-07-12 02:09:00,1274.4,,,,,2019-07-12 02:15:00,903.5,,,,
53,reheat,,0,,,,,,,73.60000000149012,,2,,,,1,,2019-07-12 02:15:00,903.5,,,,,2019-07-12 02:32:00,,,,,
54,open,,0,,,,,,,11.800000000745058,,2,,,,,,2019-07-12 02:35:00,1294.4,,,,,2019-07-12 02:41:00,1000.0,,,,
55,reheat,,0,,,,,,,52.0,,2,,,,1,,2019-07-12 02:41:00,1000.0,,,,,2019-07-12 02:54:00,,,,,
56,open,,0,,,,,,,8.400000000372529,,2,,,,,,2019-07-12 02:59:00,1292.7,,,,,2019-07-12 03:04:00,981.9,,,,
57,reheat,,0,,,,,,,55.40000000037253,,2,,,,0,,2019-07-12 03:04:00,981.9,,,,,2019-07-12 03:17:00,,,,,
58,hold,,0,,,,,,,15.099999999627471,,2,,,,,,2019-07-12 03:17:00,1288.6,,,,,2019-07-12 03:21:00,1293.0,,,1287.08,
59,open,,0,,,,,,,16.800000000745058,,2,,,,,,2019-07-12 03:21:00,1293.0,,,,,2019-07-12 03:29:00,892.5,,,,
60,reheat,,0,,,,,,,72.09999999962747,,2,,,,1,,2019-07-12 03:29:00,892.5,,,,,2019-07-12 03:45:00,,,,,
61,open,,0,,,,,,,23.5,,2,,,,,,2019-07-12 03:45:00,1290.8,,,,,2019-07-12 03:54:00,950.4,,,,
62,reheat,,0,,,,,,,67.0,,2,,,,1,,2019-07-12 03:54:00,950.4,,,,,2019-07-12 04:09:00,,,,,
63,hold,,0,,,,,,,381.69999999925494,,2,,,,,,2019-07-12 04:09:00,1292.1,,,,,2019-07-12 06:31:00,1277.1,,,1275.1223776223776,
64,open,,0,,,,,,,15.200000001117587,,2,,,,,,2019-07-12 06:31:00,1277.1,,,,,2019-07-12 06:40:00,861.5,,,,
65,reheat,,0,,,,,,,48.59999999962747,,2,,,,1,,2019-07-12 06:40:00,861.5,,,,,2019-07-12 06:51:00,,,,,
66,heat,3,1,308.93749999999994,,,increasing 0,494.29999999999995,1.6,870.5,870.5,2,1261.5,0,0,1,[],2019-07-12 07:11:00,767.2,2019-07-12 07:10:00,685.3,2019-07-12 06:53:00,,2019-07-12 08:47:00,1261.5,,0,,
67,open,,0,,,,,,,16.600000001490116,,2,,,,,,2019-07-12 23:35:00,1276.4,,,,,2019-07-12 23:45:00,927.3,,,,
68,reheat,,0,,,,,,,59.79999999888241,,2,,,,1,,2019-07-12 23:45:00,927.3,,,,,2019-07-13 00:00:00,,,,,
69,hold,,0,,,,,,,495.09999999962747,,2,,,,,,2019-07-13 00:00:00,1286.2,,,,,2019-07-13 03:29:00,1274.9,,,1274.7890476190473,
70,open,,0,,,,,,,16.700000001117587,,2,,,,,,2019-07-13 03:29:00,1274.9,,,,,2019-07-13 03:39:00,951.6,,,,
71,reheat,,0,,,,,,,43.5,,2,,,,1,,2019-07-13 03:39:00,951.6,,,,,2019-07-13 03:50:00,,,,,
72,open,,0,,,,,,,10.0,,2,,,,,,2019-07-13 03:51:00,1292.0,,,,,2019-07-13 03:57:00,838.6,,,,
