,Type,cycle,drop_flag,in,out,가스사용량,가스사용량(마지막 구간),가열로 번호,가열완료 온도,가열중 마지막 문닫힌 시간,가열중 문열림 횟수,뺄시간,소재 list,시작시간,시작온도,실제 시작시간,원래시작점온도,이전 종료시간,작업일자,종료시간,종료온도,주/야간,최종 가열시작 온도,평균온도,평일/주말
0,heat,0.0,1,[],[],0.0,0.0,1,1254.5,0,0.0,0.0,[''],2019-07-01 00:10:00,1254.5,2019-07-01 00:00:00,1254.4,,,2019-07-01 00:10:00,1254.5,,0.0,,
1,heat,1.0,1,[],[],15.200000000186265,15.200000000186265,1,1253.4,0,0.0,0.0,[''],2019-07-01 05:41:00,1251.1,2019-07-01 05:50:00,1253.4,2019-07-01 05:40:00,,2019-07-01 05:50:00,1253.4,,0.0,,
2,open,,0,[],[],15.200000000186265,,1,,,,,,2019-07-01 07:32:00,1273.5,,,,,2019-07-01 07:41:00,1177.1,,,,
3,reheat,,0,[],[],18.5,,1,,,,0.0,,2019-07-01 07:41:00,1177.1,,,,,2019-07-01 07:50:00,,,,,
4,hold,,0,[],[],30.39999999944121,,1,,,,,,2019-07-01 07:50:00,,,,,,2019-07-01 08:08:00,,,,1250.836842105263,
5,open,,0,[],[],13.5,,1,,,,,,2019-07-01 08:08:00,1256.5,,,,,2019-07-01 08:17:00,1190.5,,,,
6,reheat,,0,[],[],18.5,,1,,,,0.0,,2019-07-01 08:17:00,1190.5,,,,,2019-07-01 08:26:00,,,,,
7,hold,,0,[],[],37.0,,1,,,,,,2019-07-01 08:26:00,,,,,,2019-07-01 08:46:00,,,,1267.9761904761906,
8,open,,0,[],[],11.700000000186265,,1,,,,,,2019-07-01 08:46:00,1273.6,,,,,2019-07-01 08:54:00,1183.4,,,,
9,reheat,,0,[],[],23.5,,1,,,,0.0,,2019-07-01 08:54:00,1183.4,,,,,2019-07-01 09:00:00,,,,,
10,hold,,0,[],[],5.0,,1,,,,,,2019-07-01 09:00:00,,,,,,2019-07-01 09:50:00,,,,1272.7019607843138,
11,open,,0,[],[],0.0,,1,,,,,,2019-07-01 09:50:00,1273.8,,,,,2019-07-01 09:52:00,1069.8,,,,
12,reheat,,0,[],[],0.0,,1,,,,6.0,,2019-07-01 09:52:00,1069.8,,,,,2019-07-01 09:58:00,,,,,
13,hold,,0,[],[],0.0,,1,,,,,,2019-07-01 09:58:00,,,,,,2019-07-01 10:03:00,,,,1278.9499999999996,
14,open,,0,[],[],0.0,,1,,,,,,2019-07-01 10:03:00,1280.1,,,,,2019-07-01 10:08:00,1189.6,,,,
15,reheat,,0,[],[],0.0,,1,,,,10.0,,2019-07-01 10:08:00,1189.6,,,,,2019-07-01 10:18:00,,,,,
16,open,,0,[],[],0.0,,1,,,,,,2019-07-01 10:18:00,1274.6,,,,,2019-07-01 10:24:00,1122.7,,,,
17,reheat,,0,[],[],0.0,,1,,,,11.0,,2019-07-01 10:24:00,1122.7,,,,,2019-07-01 10:35:00,,,,,
18,hold,,0,[],[],254.39999999944118,,1,,,,,,2019-07-01 10:35:00,,,,,,2019-07-01 14:58:00,,,,1272.9246212121209,
19,open,,0,[],[],1.6000000005587935,,1,,,,,,2019-07-01 14:58:00,1273.0,,,,,2019-07-01 15:00:00,1164.8,,,,
20,reheat,,0,[],[],16.5,,1,,,,1.0,,2019-07-01 15:00:00,1164.8,,,,,2019-07-01 15:09:00,,,,,
21,hold,,0,[],[],36.5,,1,,,,,,2019-07-01 15:09:00,,,,,,2019-07-01 15:35:00,,,,1272.9851851851856,
22,open,,0,[],[],1.7000000001862643,,1,,,,,,2019-07-01 15:35:00,1272.5,,,,,2019-07-01 15:37:00,1183.2,,,,
23,reheat,,0,[],[],16.5,,1,,,,1.0,,2019-07-01 15:37:00,1183.2,,,,,2019-07-01 15:46:00,,,,,
24,hold,,0,[],[],15.0,,1,,,,,,2019-07-01 15:46:00,,,,,,2019-07-01 15:56:00,,,,1273.0454545454545,
25,open,,0,[],[],3.2999999998137355,,1,,,,,,2019-07-01 15:56:00,1273.4,,,,,2019-07-01 15:59:00,1189.9,,,,
26,reheat,,0,[],[],14.899999999441205,,1,,,,1.0,,2019-07-01 15:59:00,1189.9,,,,,2019-07-01 16:07:00,,,,,
27,hold,,0,[],[],15.0,,1,,,,,,2019-07-01 16:07:00,,,,,,2019-07-01 16:18:00,,,,1273.2416666666668,
28,open,,0,[],[],4.900000000372528,,1,,,,,,2019-07-01 16:18:00,1273.4,,,,,2019-07-01 16:21:00,1228.8,,,,
29,reheat,,0,[],[],15.0,,1,,,,1.0,,2019-07-01 16:21:00,1228.8,,,,,2019-07-01 16:29:00,,,,,
30,hold,,0,[],[],309.5,,1,,,,,,2019-07-01 16:29:00,,,,,,2019-07-01 20:21:00,,,,1273.0901287553647,
