,가열로번호,cycle,에너지,시작시간,종료시간,시간(총),eps,시작온도,종료온도,장입소재개수,장입중량총합,장입최대중량,강종,강종_ALLOY,강종_CARBON,강종_SUS,민감소재장입개수,민감소재중량총합,민감소재최대중량,비민감소재장입개수,비민감소재중량총합,비민감소재최대중량,민감비고,에러발생
0,5,120,967.5,2020-08-10 06:38:00,2020-08-10 14:04:00,26760,0.0361547085,1261.0,1273.0,7,56800,9940,CARBON,0,1,0,1,9940,9940,6,46860,7810,이상없음,0
1,5,134,226.3,2020-09-08 18:31:00,2020-09-08 20:15:00,6240,0.0362660256,1263.9,1271.3,4,40260,15130,CARBON,0,1,0,4,40260,15130,0,0,0,이상없음,0
2,5,61,246.1,2020-04-09 11:05:00,2020-04-09 12:57:00,6720,0.0366220238,1277.5,1281.7,8,76432,9554,ALLOY,1,0,0,0,0,0,8,76432,9554,이상없음,0
3,5,111,1698.8,2020-07-23 02:54:00,2020-07-23 15:45:00,46260,0.0367228707,1251.8,1271.4,7,54220,7810,CARBON,0,1,0,0,0,0,7,54220,7810,이상없음,0
4,5,31,825.0,2020-02-17 07:52:00,2020-02-17 14:05:00,22380,0.0368632708,1264.8,1253.2,7,65100,14500,CARBON,0,1,0,0,0,0,7,65100,14500,이상없음,0
5,5,32,841.1,2020-02-18 09:04:00,2020-02-18 15:19:00,22500,0.0373822222,1250.9,1252.0,7,56270,14150,CARBON,0,1,0,2,10000,5000,5,46270,14150,이상없음,0
6,5,62,575.4,2020-04-10 11:05:00,2020-04-10 15:21:00,15360,0.0374609375,1268.7,1275.1,9,100990,15250,CARBON,0,1,0,0,0,0,9,100990,15250,이상없음,0
7,5,68,459.2,2020-04-25 03:09:00,2020-04-25 06:33:00,12240,0.0375163399,1256.9,1256.7,5,35490,9600,CARBON,0,1,0,2,19200,9600,3,16290,5430,이상없음,0
8,5,111,117.8,2020-07-23 17:01:00,2020-07-23 17:53:00,3120,0.0377564103,1274.0,1271.7,7,54220,7810,CARBON,0,1,0,0,0,0,7,54220,7810,이상없음,0
9,5,60,972.0,2020-04-08 09:24:00,2020-04-08 16:32:00,25680,0.0378504673,1273.3,1285.2,8,104660,13480,ALLOY,1,0,0,0,0,0,8,104660,13480,초민감,0
