,가열로번호,cycle,에너지,시작시간,종료시간,시간(총),eps,시작온도,종료온도,장입소재개수,장입중량총합,장입최대중량,강종,강종_ALLOY,강종_CARBON,강종_SUS,민감소재장입개수,민감소재중량총합,민감소재최대중량,비민감소재장입개수,비민감소재중량총합,비민감소재최대중량,민감비고,에러발생
0,1,103,64.8,2020-08-28 01:59:00,2020-08-28 02:51:00,3120,0.0207692308,1274.2,1273.1,7,59890,9030,CARBON,0,1,0,1,7850,7850,6,52040,9030,이상없음,0
1,1,92,45.1,2020-07-30 09:26:00,2020-07-30 10:02:00,2160,0.0208796296,1253.7,1253.6,10,82740,8990,CARBON,0,1,0,2,17980,8990,8,64760,8130,이상없음,0
2,1,113,96.8,2020-09-16 16:55:00,2020-09-16 18:12:00,4620,0.020952381000000003,1274.3,1273.1,8,58400,7300,CARBON,0,1,0,0,0,0,8,58400,7300,이상없음,0
3,1,97,89.5,2020-08-13 16:50:00,2020-08-13 18:01:00,4260,0.021009389700000002,1273.5,1274.3,5,39290,8050,CARBON,0,1,0,0,0,0,5,39290,8050,이상없음,0
4,1,93,201.6,2020-08-09 20:30:00,2020-08-09 23:09:00,9540,0.021132075499999996,1273.6,1274.0,8,66480,8490,CARBON,0,1,0,0,0,0,8,66480,8490,이상없음,0
5,1,73,86.3,2020-06-23 23:53:00,2020-06-24 01:01:00,4080,0.0211519608,1274.8,1273.5,7,41960,15100,ALLOY,1,0,0,6,26860,4480,1,15100,15100,이상없음,0
6,1,84,155.3,2020-07-15 10:58:00,2020-07-15 12:59:00,7260,0.021391184599999998,1273.0,1273.8,5,55000,11000,ALLOY,1,0,0,0,0,0,5,55000,11000,이상없음,0
7,1,93,278.9,2020-08-09 16:42:00,2020-08-09 20:19:00,13020,0.0214208909,1262.0,1274.4,8,66480,8490,CARBON,0,1,0,0,0,0,8,66480,8490,이상없음,0
8,1,100,189.1,2020-08-25 03:43:00,2020-08-25 06:10:00,8820,0.0214399093,1272.4,1274.1,9,73350,8490,CARBON,0,1,0,0,0,0,9,73350,8490,이상없음,0
9,1,93,149.6,2020-07-31 11:05:00,2020-07-31 13:01:00,6960,0.0214942529,1274.2,1273.8,8,66480,8490,CARBON,0,1,0,0,0,0,8,66480,8490,이상없음,0
10,1,111,63.5,2020-09-11 09:45:00,2020-09-11 10:34:00,2940,0.021598639500000003,1273.0,1274.3,8,62500,9360,CARBON,0,1,0,0,0,0,8,62500,9360,이상없음,0
11,1,85,166.8,2020-07-21 03:51:00,2020-07-21 05:59:00,7680,0.02171875,1276.6,1273.6,7,44940,6420,ALLOY,1,0,0,0,0,0,7,44940,6420,이상없음,0
