,가열로번호,cycle,에너지,시작시간,종료시간,시간(총),eps,시작온도,종료온도,장입소재개수,장입중량총합,장입최대중량,강종,강종_ALLOY,강종_CARBON,강종_SUS,민감소재장입개수,민감소재중량총합,민감소재최대중량,비민감소재장입개수,비민감소재중량총합,비민감소재최대중량,민감비고,에러발생
31,18,114,781.8,2020-06-05 16:31:00,2020-06-05 21:58:00,19620,0.039847094799999996,1256.2,1249.1,5,106320,25950,CARBON,0,1,0,0,0,0,5,106320,25950,이상없음,0
32,18,94,260.6,2020-05-15 03:04:00,2020-05-15 04:53:00,6540,0.039847094799999996,1248.0,1248.4,7,146645,24100,CARBON,0,1,0,0,0,0,7,146645,24100,이상없음,0
33,18,136,768.1,2020-07-01 23:07:00,2020-07-02 04:28:00,19260,0.0398805815,1249.3,1248.7,4,143375,91370,CARBON,0,1,0,0,0,0,4,143375,91370,이상없음,0
34,18,84,588.0,2020-04-29 20:50:00,2020-04-30 00:55:00,14700,0.04,1252.7,1248.2,5,111200,61600,CARBON,0,1,0,1,61600,61600,4,49600,12400,이상없음,0
35,18,150,194.5,2020-07-15 21:41:00,2020-07-15 23:02:00,4860,0.0400205761,1248.3,1248.4,3,143200,78000,CARBON,0,1,0,2,65200,35100,1,78000,78000,이상없음,0
36,18,163,181.2,2020-07-31 11:45:00,2020-07-31 13:00:00,4500,0.0402666667,1257.0,1250.4,7,140980,48000,CARBON,0,1,0,0,0,0,7,140980,48000,이상없음,0
37,18,124,186.9,2020-06-16 19:15:00,2020-06-16 20:32:00,4620,0.0404545455,1249.2,1251.8,5,80100,31500,CARBON,0,1,0,0,0,0,5,80100,31500,이상없음,0
38,18,111,663.3,2020-06-03 13:55:00,2020-06-03 18:28:00,16380,0.0404945055,1250.0,1249.4,4,158900,55100,CARBON,0,1,0,0,0,0,4,158900,55100,이상없음,0
39,18,105,863.8,2020-05-27 21:11:00,2020-05-28 03:06:00,21300,0.0405539906,1249.3,1250.0,3,129300,66600,ALLOY,1,0,0,2,105200,66600,1,24100,24100,이상없음,0
40,18,145,551.8,2020-07-12 04:16:00,2020-07-12 08:02:00,13560,0.040693215299999995,648.5,647.5,4,146270,58500,SUS,0,0,1,3,87770,56280,1,58500,58500,이상없음,0
41,18,94,1733.8,2020-05-14 14:09:00,2020-05-15 01:59:00,42600,0.0406995305,1249.5,1247.8,7,146645,24100,CARBON,0,1,0,0,0,0,7,146645,24100,이상없음,0
42,18,162,190.7,2020-07-30 07:08:00,2020-07-30 08:26:00,4680,0.0407478632,1248.8,1250.8,3,145679,110879,CARBON,0,1,0,0,0,0,3,145679,110879,이상없음,0
43,18,88,1650.7,2020-05-07 22:30:00,2020-05-08 09:43:00,40380,0.0408791481,1251.2,1248.3,5,66555,18000,CARBON,0,1,0,0,0,0,5,66555,18000,이상없음,0
44,18,97,1067.1,2020-05-19 09:22:00,2020-05-19 16:37:00,26100,0.0408850575,1247.6,1250.4,3,71860,26000,CARBON,0,1,0,0,0,0,3,71860,26000,이상없음,0
45,18,111,606.1,2020-06-03 19:04:00,2020-06-03 23:10:00,14760,0.041063685600000004,1257.0,1249.3,4,158900,55100,CARBON,0,1,0,0,0,0,4,158900,55100,이상없음,0
46,18,97,734.5,2020-05-20 12:04:00,2020-05-20 17:02:00,17880,0.041079418300000003,1249.7,1248.7,3,71860,26000,CARBON,0,1,0,0,0,0,3,71860,26000,이상없음,0
47,18,76,1097.2,2020-04-22 20:28:00,2020-04-23 03:53:00,26700,0.041093633,1250.2,1251.0,4,148000,47600,CARBON,0,1,0,1,40600,40600,3,107400,47600,이상없음,0
48,18,73,392.6,2020-04-20 22:50:00,2020-04-21 01:29:00,9540,0.0411530398,1248.7,1249.3,7,96810,17330,CARBON,0,1,0,0,0,0,7,96810,17330,이상없음,0
49,18,109,426.9,2020-06-01 11:05:00,2020-06-01 13:57:00,10320,0.0413662791,1249.3,1248.7,3,78340,30140,CARBON,0,1,0,1,30140,30140,2,48200,24100,이상없음,0
50,18,99,502.8,2020-05-21 17:00:00,2020-05-21 20:22:00,12120,0.0414851485,1178.0,1178.8,6,155600,36600,SUS,0,0,1,2,73200,36600,4,82400,20600,이상없음,0
51,18,106,114.6,2020-05-28 12:11:00,2020-05-28 12:57:00,2760,0.0415217391,1248.5,1250.6,4,158270,66600,SUS,0,0,1,3,148800,66600,1,9470,9470,이상없음,0
52,18,72,197.0,2020-04-17 11:42:00,2020-04-17 13:01:00,4740,0.0415611814,1249.3,1249.4,5,134250,26850,CARBON,0,1,0,0,0,0,5,134250,26850,이상없음,0
53,18,120,157.4,2020-06-11 12:26:00,2020-06-11 13:29:00,3780,0.041640211600000004,1249.2,1251.4,3,91780,31500,ALLOY,1,0,0,2,60280,30140,1,31500,31500,이상없음,0
54,18,150,122.7,2020-07-15 20:28:00,2020-07-15 21:17:00,2940,0.0417346939,1248.6,1249.9,3,143200,78000,CARBON,0,1,0,2,65200,35100,1,78000,78000,이상없음,0
55,18,84,476.3,2020-04-30 02:09:00,2020-04-30 05:19:00,11400,0.0417807018,1249.3,1248.5,5,111200,61600,CARBON,0,1,0,1,61600,61600,4,49600,12400,이상없음,0
56,18,157,302.0,2020-07-24 03:30:00,2020-07-24 05:30:00,7200,0.0419444444,1257.2,1250.3,5,198040,70600,ALLOY,1,0,0,2,68240,38100,3,129800,70600,이상없음,0
57,18,82,233.5,2020-04-27 23:23:00,2020-04-28 00:55:00,5520,0.0423007246,1227.6,1228.2,4,57200,14300,SUS,0,0,1,0,0,0,4,57200,14300,이상없음,0
58,18,78,929.3,2020-04-24 21:10:00,2020-04-25 03:15:00,21900,0.04243379,1172.1,1168.3,5,94500,20600,SUS,0,0,1,0,0,0,5,94500,20600,이상없음,0
59,18,108,232.2,2020-05-29 21:28:00,2020-05-29 22:59:00,5460,0.0425274725,1249.5,1251.6,2,86420,56280,ALLOY,1,0,0,2,86420,56280,0,0,0,이상없음,0
60,18,7,922.1,2020-01-09 23:35:00,2020-01-10 05:36:00,21660,0.0425715605,1246.7,1251.6,5,125850,50445,CARBON,0,1,0,3,110780,50445,2,15070,7630,이상없음,0
61,18,33,288.8,2020-02-13 16:03:00,2020-02-13 17:56:00,6780,0.0425958702,1251.7,1248.6,6,154550,68100,CARBON,0,1,0,0,0,0,6,154550,68100,이상없음,0
62,18,194,447.8,2020-09-17 11:48:00,2020-09-17 14:42:00,10440,0.0428927203,1252.6,1249.5,6,187000,55100,CARBON,0,1,0,2,35850,20850,4,151150,55100,이상없음,0
63,18,75,1626.0,2020-04-22 06:36:00,2020-04-22 17:06:00,37800,0.043015872999999996,1249.7,1248.5,5,132300,47600,ALLOY,1,0,0,2,24900,14600,3,107400,47600,이상없음,0
64,18,143,814.0,2020-07-09 17:03:00,2020-07-09 22:17:00,18840,0.04320594480000001,1249.3,1252.0,2,97900,59300,ALLOY,1,0,0,1,38600,38600,1,59300,59300,이상없음,0
65,18,85,751.8,2020-04-30 13:33:00,2020-04-30 18:20:00,17220,0.0436585366,1250.6,1249.8,6,76720,16300,CARBON,0,1,0,0,0,0,6,76720,16300,이상없음,0
66,18,70,215.0,2020-04-15 23:32:00,2020-04-16 00:54:00,4920,0.043699187,1248.1,1251.0,4,72260,22930,ALLOY,1,0,0,0,0,0,4,72260,22930,이상없음,0
67,18,146,437.1,2020-07-14 00:03:00,2020-07-14 02:49:00,9960,0.043885542199999995,1252.6,1248.5,2,86420,56280,ALLOY,1,0,0,2,86420,56280,0,0,0,이상없음,0
68,18,75,89.7,2020-04-22 17:22:00,2020-04-22 17:56:00,2040,0.0439705882,1248.4,1248.2,5,132300,47600,ALLOY,1,0,0,2,24900,14600,3,107400,47600,이상없음,0
69,18,141,134.9,2020-07-08 20:34:00,2020-07-08 21:25:00,3060,0.04408496730000001,1250.5,1249.7,5,149550,59300,ALLOY,1,0,0,3,77050,27850,2,72500,59300,이상없음,0
70,18,96,854.4,2020-05-18 10:29:00,2020-05-18 15:52:00,19380,0.0440866873,1249.3,1248.6,2,97700,60700,CARBON,0,1,0,0,0,0,2,97700,60700,이상없음,0
71,18,122,137.8,2020-06-15 15:00:00,2020-06-15 15:52:00,3120,0.0441666667,1250.0,1248.7,4,84270,26000,SUS,0,0,1,3,66300,26000,1,17970,17970,이상없음,0
72,18,45,1454.9,2020-02-28 14:00:00,2020-02-28 23:08:00,32880,0.0442487835,1248.5,1255.1,5,89290,25950,CARBON,0,1,0,2,43820,21910,3,45470,25950,이상없음,0
73,18,197,1046.3,2020-09-21 23:46:00,2020-09-22 06:20:00,23640,0.044259729299999995,1251.7,1248.5434779999998,8,196630,35500,CARBON,0,1,0,3,105700,35500,5,90930,25200,이상없음,0
74,18,170,199.2,2020-08-18 03:42:00,2020-08-18 04:56:00,4440,0.0448648649,1250.2,1251.5,3,41658,13886,CARBON,0,1,0,0,0,0,3,41658,13886,이상없음,0
75,18,133,97.0,2020-06-29 16:07:00,2020-06-29 16:43:00,2160,0.0449074074,1248.9,1248.6,5,124769,56280,ALLOY,1,0,0,4,114969,56280,1,9800,9800,이상없음,0
76,18,107,143.0,2020-05-29 01:57:00,2020-05-29 02:50:00,3180,0.044968553499999994,1178.0,1178.0,2,76880,56280,ALLOY,1,0,0,1,56280,56280,1,20600,20600,이상없음,0
77,18,157,221.6,2020-07-23 21:46:00,2020-07-23 23:08:00,4920,0.0450406504,1249.4,1250.8,5,198040,70600,ALLOY,1,0,0,2,68240,38100,3,129800,70600,이상없음,0
78,18,93,3445.3,2020-05-12 23:07:00,2020-05-13 20:18:00,76260,0.0451783373,1248.2,1249.2,3,125300,55100,CARBON,0,1,0,2,70200,35100,1,55100,55100,이상없음,0
79,18,66,1166.1,2020-03-25 20:29:00,2020-03-26 03:39:00,25800,0.045197674400000006,1247.2,1250.0,4,174200,55100,CARBON,0,1,0,0,0,0,4,174200,55100,이상없음,0
80,18,86,1039.1,2020-05-06 15:41:00,2020-05-06 22:03:00,22920,0.0453359511,1249.9,1251.1,4,72260,22930,ALLOY,1,0,0,0,0,0,4,72260,22930,이상없음,0
81,18,160,239.7,2020-07-28 11:27:00,2020-07-28 12:55:00,5280,0.0453977273,1249.5,1250.3,2,175000,89000,CARBON,0,1,0,0,0,0,2,175000,89000,이상없음,0
82,18,68,705.9,2020-03-27 08:40:00,2020-03-27 12:57:00,15420,0.0457782101,1242.2,1250.5,5,122715,41100,CARBON,0,1,0,2,82200,41100,3,40515,13505,이상없음,0
83,18,45,369.1,2020-02-28 23:46:00,2020-02-29 02:00:00,8040,0.04590796019999999,1252.5,1249.3,5,89290,25950,CARBON,0,1,0,2,43820,21910,3,45470,25950,이상없음,0
84,18,83,2663.2,2020-04-28 08:55:00,2020-04-29 00:59:00,57840,0.04604426,1252.6,1248.5,4,98030,61600,ALLOY,1,0,0,1,61600,61600,3,36430,13200,이상없음,0
85,18,105,1557.0,2020-05-27 11:03:00,2020-05-27 20:25:00,33720,0.0461743772,1254.4,1248.8,3,129300,66600,ALLOY,1,0,0,2,105200,66600,1,24100,24100,이상없음,0
86,18,106,147.3,2020-05-28 08:39:00,2020-05-28 09:32:00,3180,0.046320754699999994,1248.6,1249.3,4,158270,66600,SUS,0,0,1,3,148800,66600,1,9470,9470,이상없음,0
87,18,104,295.5,2020-05-26 23:38:00,2020-05-27 01:24:00,6360,0.0464622642,1248.1,1249.8,8,146060,24100,CARBON,0,1,0,0,0,0,8,146060,24100,이상없음,0
88,18,97,1126.0,2020-05-20 02:47:00,2020-05-20 09:30:00,24180,0.046567411100000004,1247.7,1249.0,3,71860,26000,CARBON,0,1,0,0,0,0,3,71860,26000,이상없음,0
89,18,107,606.6,2020-05-28 22:04:00,2020-05-29 01:40:00,12960,0.04680555559999999,1179.3,1178.4,2,76880,56280,ALLOY,1,0,0,1,56280,56280,1,20600,20600,이상없음,0
90,18,122,740.6,2020-06-15 09:51:00,2020-06-15 14:14:00,15780,0.046932826399999995,1248.7,1249.0,4,84270,26000,SUS,0,0,1,3,66300,26000,1,17970,17970,이상없음,0
91,18,132,146.9,2020-06-26 19:32:00,2020-06-26 20:24:00,3120,0.0470833333,1250.2,1251.3,3,51610,26500,CARBON,0,1,0,0,0,0,3,51610,26500,이상없음,0
92,18,107,477.7,2020-05-29 12:13:00,2020-05-29 15:02:00,10140,0.047110453600000005,1248.5,1248.8,2,76880,56280,ALLOY,1,0,0,1,56280,56280,1,20600,20600,이상없음,0
93,18,4,2315.1,2020-01-06 06:41:00,2020-01-06 20:17:00,48960,0.0472855392,1234.5,1256.8,3,111050,44600,ALLOY,1,0,0,3,111050,44600,0,0,0,이상없음,0
94,18,197,232.7,2020-09-22 13:21:00,2020-09-22 14:43:00,4920,0.047296748,1253.4,1250.6,8,196630,35500,CARBON,0,1,0,3,105700,35500,5,90930,25200,이상없음,0
95,18,40,533.6,2020-02-21 09:54:00,2020-02-21 13:02:00,11280,0.047304964500000005,1230.7,1250.3,3,145695,86615,ALLOY,1,0,0,0,0,0,3,145695,86615,이상없음,0
96,18,89,2034.1,2020-05-08 22:39:00,2020-05-09 10:34:00,42900,0.0474149184,1248.9,1249.0,5,106780,25950,CARBON,0,1,0,1,24000,24000,4,82780,25950,이상없음,0
97,18,37,922.7,2020-02-19 08:48:00,2020-02-19 14:12:00,19440,0.047463991799999994,1233.9,1250.7,5,98220,48000,CARBON,0,1,0,0,0,0,5,98220,48000,이상없음,0
98,18,56,430.6,2020-03-12 06:45:00,2020-03-12 09:15:00,9000,0.047844444400000005,1252.3,1255.1,4,121550,38600,SUS,0,0,1,3,94200,38600,1,27350,27350,이상없음,0
99,18,76,149.3,2020-04-22 19:20:00,2020-04-22 20:12:00,3120,0.0478525641,1248.7,1248.4,4,148000,47600,CARBON,0,1,0,1,40600,40600,3,107400,47600,이상없음,0
100,18,67,272.9,2020-03-26 16:17:00,2020-03-26 17:52:00,5700,0.047877193,1246.5,1255.3,4,146200,41100,CARBON,0,1,0,2,82200,41100,2,64000,32000,이상없음,0
101,18,173,2775.4,2020-08-19 17:23:00,2020-08-20 09:27:00,57840,0.0479840941,1256.5,1248.3,3,142270,91370,CARBON,0,1,0,1,91370,91370,2,50900,25450,이상없음,0
102,18,55,118.1,2020-03-11 20:36:00,2020-03-11 21:17:00,2460,0.0480081301,1230.1,1256.2,5,166400,38600,CARBON,0,1,0,5,166400,38600,0,0,0,이상없음,0
103,18,120,338.4,2020-06-11 14:19:00,2020-06-11 16:16:00,7020,0.0482051282,1248.7,1249.5,3,91780,31500,ALLOY,1,0,0,2,60280,30140,1,31500,31500,이상없음,0
104,18,85,89.8,2020-04-30 21:10:00,2020-04-30 21:41:00,1860,0.0482795699,1255.5,1248.1,6,76720,16300,CARBON,0,1,0,0,0,0,6,76720,16300,이상없음,0
105,18,69,3400.9,2020-04-14 17:39:00,2020-04-15 13:12:00,70380,0.0483219665,1238.2,1248.2,4,72060,22930,CARBON,0,1,0,0,0,0,4,72060,22930,이상없음,0
106,18,86,473.1,2020-05-06 22:47:00,2020-05-07 01:30:00,9780,0.0483742331,1248.7,1249.0,4,72260,22930,ALLOY,1,0,0,0,0,0,4,72260,22930,이상없음,0
107,18,2,299.2,2020-01-03 23:56:00,2020-01-04 01:39:00,6180,0.048414239500000004,1258.8,1257.5,8,106575,14150,CARBON,0,1,0,2,22025,11045,6,84550,14150,이상없음,0
108,18,196,235.6,2020-09-18 07:06:00,2020-09-18 08:27:00,4860,0.0484773663,1226.3,1229.9,2,46950,25350,CARBON,0,1,0,1,21600,21600,1,25350,25350,이상없음,0
109,18,172,349.5,2020-08-19 10:57:00,2020-08-19 12:57:00,7200,0.0485416667,1256.0,1248.6,5,188780,66800,CARBON,0,1,0,1,66800,66800,4,121980,30495,이상없음,0
110,18,2,330.6,2020-01-04 01:55:00,2020-01-04 03:48:00,6780,0.048761061900000006,1254.3,1251.5,8,106575,14150,CARBON,0,1,0,2,22025,11045,6,84550,14150,이상없음,0
111,18,167,659.3,2020-08-13 21:20:00,2020-08-14 01:05:00,13500,0.048837037,1248.7,1248.7,4,65920,31940,CARBON,0,1,0,0,0,0,4,65920,31940,이상없음,0
112,18,66,783.4,2020-03-25 14:30:00,2020-03-25 18:57:00,16020,0.0489013733,1247.1,1256.0,4,174200,55100,CARBON,0,1,0,0,0,0,4,174200,55100,이상없음,0
113,18,160,182.4,2020-07-28 10:00:00,2020-07-28 11:02:00,3720,0.0490322581,1251.8,1249.7,2,175000,89000,CARBON,0,1,0,0,0,0,2,175000,89000,이상없음,0
