,가열로번호,cycle,에너지,시작시간,종료시간,시간(총),eps,시작온도,종료온도,장입소재개수,장입중량총합,장입최대중량,강종,강종_ALLOY,강종_CARBON,강종_SUS,민감소재장입개수,민감소재중량총합,민감소재최대중량,비민감소재장입개수,비민감소재중량총합,비민감소재최대중량,민감비고,에러발생
0,2,155,531.2,2020-09-11 18:14:00,2020-09-11 22:25:00,15060,0.0352722444,1254.9,1256.5,3,29460,9820,ALLOY,1,0,0,3,29460,9820,0,0,0,이상없음,0
1,2,155,312.0,2020-09-11 22:45:00,2020-09-12 01:07:00,8520,0.0366197183,1262.3,1256.7,3,29460,9820,ALLOY,1,0,0,3,29460,9820,0,0,0,이상없음,0
2,2,22,829.2,2020-02-06 09:02:00,2020-02-06 15:18:00,22560,0.0367553191,1268.1,1255.1,7,99230,18350,ALLOY,1,0,0,0,0,0,7,99230,18350,이상없음,0
3,2,45,123.5,2020-03-10 17:04:00,2020-03-10 18:00:00,3360,0.0367559524,1272.7,1273.2,4,36300,11000,ALLOY,1,0,0,1,3300,3300,3,33000,11000,이상없음,0
4,2,95,1473.3,2020-05-28 09:06:00,2020-05-28 20:11:00,39900,0.036924812,1271.8,1275.6,5,66300,22100,CARBON,0,1,0,3,32100,22100,2,34200,17100,이상없음,0
5,2,77,2168.7,2020-04-27 17:04:00,2020-04-28 09:22:00,58680,0.0369580777,1071.5,1054.1,6,59320,13850,CARBON,0,1,0,0,0,0,6,59320,13850,이상없음,0
6,2,28,186.1,2020-02-14 21:24:00,2020-02-14 22:47:00,4980,0.0373694779,1271.6,1273.8,12,85300,7350,CARBON,0,1,0,0,0,0,12,85300,7350,이상없음,0
7,2,6,586.9,2020-01-10 15:57:00,2020-01-10 20:18:00,15660,0.037477650099999996,1257.8,1255.7,11,81210,13730,CARBON,0,1,0,1,13730,13730,10,67480,7630,이상없음,0
8,2,48,1111.6,2020-03-13 09:46:00,2020-03-13 17:56:00,29400,0.0378095238,1283.6,1275.3,8,59400,8250,CARBON,0,1,0,0,0,0,8,59400,8250,이상없음,0
9,2,95,693.6,2020-05-28 21:24:00,2020-05-29 02:29:00,18300,0.037901639300000005,1293.0,1276.2,5,66300,22100,CARBON,0,1,0,3,32100,22100,2,34200,17100,이상없음,0
10,2,155,307.1,2020-09-11 13:40:00,2020-09-11 15:55:00,8100,0.0379135802,1263.5,1255.8,3,29460,9820,ALLOY,1,0,0,3,29460,9820,0,0,0,이상없음,0
11,2,103,378.3,2020-06-11 10:09:00,2020-06-11 12:55:00,9960,0.0379819277,1272.4,1257.8,6,87600,14600,ALLOY,1,0,0,0,0,0,6,87600,14600,이상없음,0
12,2,97,385.4,2020-06-01 11:28:00,2020-06-01 14:17:00,10140,0.0380078895,1290.1,1275.0,7,52270,10300,CARBON,0,1,0,0,0,0,7,52270,10300,이상없음,0
13,2,14,151.0,2020-01-22 23:47:00,2020-01-23 00:53:00,3960,0.0381313131,1265.6,1254.3,9,118700,19600,ALLOY,1,0,0,3,29600,19600,6,89100,14850,이상없음,0
14,2,140,212.8,2020-08-20 11:27:00,2020-08-20 13:00:00,5580,0.0381362007,1272.5,1272.5,8,88800,11100,ALLOY,1,0,0,0,0,0,8,88800,11100,이상없음,0
15,2,47,80.1,2020-03-12 17:20:00,2020-03-12 17:55:00,2100,0.0381428571,1252.7,1255.4,7,100480,19600,ALLOY,1,0,0,0,0,0,7,100480,19600,이상없음,0
16,2,94,410.7,2020-05-27 21:54:00,2020-05-28 00:53:00,10740,0.038240223500000003,1279.8,1274.5,8,97890,22100,CARBON,0,1,0,6,66370,22100,2,31520,15760,이상없음,0
17,2,6,736.8,2020-01-10 10:08:00,2020-01-10 15:28:00,19200,0.038375,1252.5,1256.6,11,81210,13730,CARBON,0,1,0,1,13730,13730,10,67480,7630,이상없음,0
18,2,72,186.8,2020-04-22 23:36:00,2020-04-23 00:57:00,4860,0.038436213999999996,1282.1,1274.9,11,59450,5430,CARBON,0,1,0,0,0,0,11,59450,5430,이상없음,0
19,2,32,840.0,2020-02-20 20:44:00,2020-02-21 02:48:00,21840,0.0384615385,1254.9,1274.2,7,89260,13480,ALLOY,1,0,0,0,0,0,7,89260,13480,이상없음,0
20,2,155,147.9,2020-09-11 16:48:00,2020-09-11 17:52:00,3840,0.038515625,1272.7,1255.5,3,29460,9820,ALLOY,1,0,0,3,29460,9820,0,0,0,이상없음,0
21,2,160,464.6,2020-09-18 11:31:00,2020-09-18 14:52:00,12060,0.038524046400000005,1292.0,1274.8,8,86400,10800,ALLOY,1,0,0,0,0,0,8,86400,10800,이상없음,0
22,2,72,303.2,2020-04-23 02:03:00,2020-04-23 04:14:00,7860,0.0385750636,1270.8,1274.3,11,59450,5430,CARBON,0,1,0,0,0,0,11,59450,5430,이상없음,0
23,2,87,628.1,2020-05-15 17:21:00,2020-05-15 21:52:00,16260,0.0386285363,1272.9,1274.3,8,33920,4240,ALLOY,1,0,0,8,33920,4240,0,0,0,이상없음,0
24,2,46,95.1,2020-03-11 17:16:00,2020-03-11 17:57:00,2460,0.0386585366,1281.5,1274.8,7,94360,13480,ALLOY,1,0,0,0,0,0,7,94360,13480,이상없음,0
25,2,95,148.5,2020-05-29 02:49:00,2020-05-29 03:53:00,3840,0.038671875,1279.9,1233.5,5,66300,22100,CARBON,0,1,0,3,32100,22100,2,34200,17100,이상없음,0
26,2,106,322.6,2020-06-16 10:42:00,2020-06-16 13:01:00,8340,0.0386810552,1291.0,1275.6,8,92870,15760,CARBON,0,1,0,3,14070,4690,5,78800,15760,이상없음,0
27,2,5,827.2,2020-01-09 14:45:00,2020-01-09 20:41:00,21360,0.0387265918,1272.6,1272.1,6,109350,20600,ALLOY,1,0,0,5,97000,20600,1,12350,12350,이상없음,0
28,2,68,478.9,2020-04-16 22:45:00,2020-04-17 02:11:00,12360,0.0387459547,1273.1,1274.2,7,60180,10300,SUS,0,0,1,1,9200,9200,6,50980,10300,이상없음,0
29,2,134,358.6,2020-08-13 03:28:00,2020-08-13 06:02:00,9240,0.0388095238,1273.4,1255.1,7,94360,13480,ALLOY,1,0,0,0,0,0,7,94360,13480,이상없음,0
30,2,121,303.6,2020-07-10 15:46:00,2020-07-10 17:56:00,7800,0.0389230769,1290.3,1276.1,7,53360,8510,CARBON,0,1,0,0,0,0,7,53360,8510,이상없음,0
31,2,25,121.8,2020-02-11 17:06:00,2020-02-11 17:58:00,3120,0.039038461499999996,1288.9,1273.7,7,55890,9410,CARBON,0,1,0,2,16000,8000,5,39890,9410,이상없음,0
32,2,46,214.0,2020-03-11 18:14:00,2020-03-11 19:45:00,5460,0.0391941392,1274.0,1275.1,7,94360,13480,ALLOY,1,0,0,0,0,0,7,94360,13480,이상없음,0
33,2,4,1366.8,2020-01-08 10:34:00,2020-01-08 20:14:00,34800,0.0392758621,1271.4,1272.6,7,90980,21600,ALLOY,1,0,0,4,33430,8960,3,57550,21600,이상없음,0
34,2,23,177.8,2020-02-07 11:39:00,2020-02-07 12:54:00,4500,0.039511111099999996,1263.9,1254.5,11,89970,9970,CARBON,0,1,0,0,0,0,11,89970,9970,이상없음,0
35,2,145,1294.5,2020-08-28 11:16:00,2020-08-28 20:22:00,32760,0.039514652000000004,1263.7,1257.7,6,38340,10000,ALLOY,1,0,0,6,38340,10000,0,0,0,이상없음,0
36,2,35,310.9,2020-02-25 15:47:00,2020-02-25 17:58:00,7860,0.0395547074,1278.0,1273.1,5,45500,13380,CARBON,0,1,0,0,0,0,5,45500,13380,이상없음,0
37,2,45,137.8,2020-03-10 15:20:00,2020-03-10 16:18:00,3480,0.0395977011,1282.6,1272.7,4,36300,11000,ALLOY,1,0,0,1,3300,3300,3,33000,11000,이상없음,0
38,2,34,152.6,2020-02-24 12:03:00,2020-02-24 13:07:00,3840,0.0397395833,1265.3,1255.3,9,78030,13380,CARBON,0,1,0,0,0,0,9,78030,13380,이상없음,0
39,2,157,310.5,2020-09-15 10:47:00,2020-09-15 12:57:00,7800,0.0398076923,1292.0,1276.3,10,69950,7230,ALLOY,1,0,0,10,69950,7230,0,0,0,이상없음,0
40,2,103,191.2,2020-06-10 11:36:00,2020-06-10 12:56:00,4800,0.0398333333,1261.5,1258.6,6,87600,14600,ALLOY,1,0,0,0,0,0,6,87600,14600,이상없음,0
41,2,150,253.5,2020-09-04 11:16:00,2020-09-04 13:02:00,6360,0.0398584906,1290.4,1277.8,7,100450,14350,ALLOY,1,0,0,0,0,0,7,100450,14350,이상없음,0
42,2,94,450.4,2020-05-27 14:44:00,2020-05-27 17:52:00,11280,0.039929078,1262.4,1256.5,8,97890,22100,CARBON,0,1,0,6,66370,22100,2,31520,15760,이상없음,0
43,2,109,352.4,2020-06-19 10:27:00,2020-06-19 12:54:00,8820,0.0399546485,1289.9,1276.8,10,94000,19350,CARBON,0,1,0,0,0,0,10,94000,19350,이상없음,0
44,2,64,81.8,2020-04-10 08:25:00,2020-04-10 08:59:00,2040,0.0400980392,1251.4,1255.3,4,33200,8600,CARBON,0,1,0,2,16000,8000,2,17200,8600,이상없음,0
45,2,118,139.7,2020-07-07 17:00:00,2020-07-07 17:58:00,3480,0.0401436782,1273.1,1275.4,5,47050,9410,CARBON,0,1,0,0,0,0,5,47050,9410,이상없음,0
46,2,83,231.7,2020-05-11 23:22:00,2020-05-12 00:58:00,5760,0.0402256944,1292.4,1274.9,7,73400,15660,CARBON,0,1,0,0,0,0,7,73400,15660,이상없음,0
47,2,123,767.6,2020-07-14 20:58:00,2020-07-15 02:16:00,19080,0.040230608,1279.2,1277.4,2,16710,10750,CARBON,0,1,0,2,16710,10750,0,0,0,이상없음,0
48,2,9,1396.7,2020-01-15 07:13:00,2020-01-15 16:51:00,34680,0.0402739331,1270.0,1273.0,7,94360,13480,ALLOY,1,0,0,0,0,0,7,94360,13480,이상없음,0
49,2,30,791.2,2020-02-18 20:55:00,2020-02-19 02:22:00,19620,0.0403261978,1288.3,1273.0,8,63760,10300,ALLOY,1,0,0,6,47700,10300,2,16060,8030,이상없음,0
