,쉰시간제외_MLP_5_5_에너지,쉰시간제외_KNN_5_5_에너지
0,38.14070129394531,64.48799655250843
1,117.6958999633789,117.14270446660606
2,73.73710632324219,77.05391521619369
3,32.04518127441406,71.4724815902328
4,29.73258399963379,58.31264412839946
5,26.526248931884766,50.462263346484285
6,31.890043258666992,62.406542680126485
7,48.42014694213867,76.48923889459647
8,52.208518981933594,71.14775438621923
9,61.828433990478516,76.83787709177102
average,51.22248649597168,72.5813418353138
