,가열로번호,에너지,가열시작시간,가열종료시간,시간(총),시작온도,종료온도,장입소재개수,장입중량총합,장입최대중량,강종,강종_ALLOY,강종_CARBON,강종_SUS,쉰시간,cycle,A_num,A_sum,A_max,C_num,C_sum,C_max,S_num,S_sum,S_max,H_A_num,H_A_sum,H_A_max,H_C_num,H_C_sum,H_C_max,H_S_num,H_S_sum,H_S_max,열괴장입소재개수,열괴장입중량총합,열괴장입최대중량,민감소재장입개수,민감소재중량총합,민감소재최대중량,비민감소재장입개수,비민감소재중량총합,비민감소재최대중량,문열림횟수,drop,시간(0제외),작업일자,주/야간,요일,겹침여부,민감비고,직전 사이클 소재 수량,겹치는 소재 수량,강종종류,주말여부,에러발생
121,2,239.2,10/31/2019 2:59,10/31/2019 3:28,1740,877.1,1270.7,7,72850,19600,CARBON,0,1,0,1800,61,0,0,0,5,33650,6730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,39200,19600,5,33650,6730,0,강종누락,1680,10/31/2019,야간,목,안겹침,이상없음,8,0,C,평일,0
122,3,1393.5,10/31/2019 7:14,10/31/2019 9:26,7920,680.8,1249.3,10,107260,13480,CARBON,0,1,0,2160,56,8,93800,13480,2,13460,6730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,93800,13480,2,13460,6730,0,누락없음,7860,10/31/2019,야간,목,안겹침,이상없음,7,0,AC,평일,0
123,4,977.7,10/30/2019 19:21,10/30/2019 20:58,5820,767.8,1255.4,6,80880,13480,ALLOY,1,0,0,1200,53,6,80880,13480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,80880,13480,0,0,0,0,누락없음,5760,10/31/2019,주간,수,안겹침,이상없음,9,0,A,평일,0
124,4,807.9,10/31/2019 19:29,10/31/2019 20:50,4860,757.4,1249.3,8,76432,9554,ALLOY,1,0,0,1320,54,8,76432,9554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,76432,9554,0,0,0,0,누락없음,4800,11/1/2019,주간,목,안겹침,이상없음,6,0,A,평일,0
125,4,2371.0,11/3/2019 10:08,11/3/2019 19:06,32280,652.4,1253.3,5,76770,19350,ALLOY,1,0,0,152760,55,2,30700,15350,2,26720,13360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,50050,19350,2,26720,13360,0,강종누락,32040,11/4/2019,주간,일,안겹침,이상없음,8,0,AC,주말,0
126,3,653.6,11/2/2019 20:37,11/3/2019 3:05,23280,448.4,662.9,5,45550,15350,CARBON,0,1,0,75480,58,1,15350,15350,4,30200,7550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15350,15350,4,30200,7550,0,누락없음,10080,11/4/2019,야간,토,안겹침,이상없음,8,0,AC,주말,0
127,2,324.0,11/2/2019 19:28,11/2/2019 22:22,10440,446.2,577.0,7,80310,13360,ALLOY,1,0,0,79560,63,5,53590,12390,2,26720,13360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,53590,12390,2,26720,13360,0,누락없음,2400,11/4/2019,주간,토,안겹침,이상없음,11,0,AC,주말,0
128,3,3270.2,11/3/2019 18:58,11/4/2019 7:10,43920,645.9,1257.2,5,45550,15350,CARBON,0,1,0,57180,58,1,15350,15350,4,30200,7550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15350,15350,4,30200,7550,0,누락없음,30720,11/4/2019,야간,일,겹침,이상없음,5,5,AC,주말,0
129,2,2720.1,11/3/2019 10:42,11/3/2019 22:26,42240,578.8,1106.4,7,80310,13360,ALLOY,1,0,0,44400,63,5,53590,12390,2,26720,13360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,53590,12390,2,26720,13360,0,누락없음,34200,11/4/2019,주간,일,겹침,이상없음,7,7,AC,주말,0
130,6,2290.3,11/5/2019 5:28,11/5/2019 9:25,14220,510.2,1183.6,8,82060,10580,CARBON,0,1,0,1920,17,0,0,0,8,82060,10580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,82060,10580,0,누락없음,14100,11/5/2019,야간,화,안겹침,이상없음,6,0,C,평일,0
131,2,257.4,11/5/2019 0:12,11/5/2019 1:01,2940,909.2,1272.1,7,103950,14850,ALLOY,1,0,0,15720,64,7,103950,14850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,103950,14850,0,0,0,0,누락없음,2880,11/5/2019,야간,화,안겹침,이상없음,4,0,A,평일,0
132,2,247.0,11/6/2019 1:28,11/6/2019 2:21,3180,783.1,1267.9,9,99350,11100,ALLOY,1,0,0,780,65,8,88800,11100,1,10550,10550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,88800,11100,1,10550,10550,0,누락없음,3120,11/6/2019,야간,수,안겹침,이상없음,7,0,AC,평일,0
