,쉰시간포함_MLP_5_5_에너지,쉰시간포함_KNN_5_5_에너지,쉰시간포함_DTREE_5_5_에너지,쉰시간포함_MLP_5_5_시간(총),쉰시간포함_KNN_5_5_시간(총),쉰시간포함_DTREE_5_5_시간(총),쉰시간포함_MLP_5_5_시간(0제외),쉰시간포함_KNN_5_5_시간(0제외),쉰시간포함_DTREE_5_5_시간(0제외),쉰시간제외_MLP_5_5_에너지,쉰시간제외_KNN_5_5_에너지,쉰시간제외_DTREE_5_5_에너지,쉰시간제외_MLP_5_5_시간(총),쉰시간제외_KNN_5_5_시간(총),쉰시간제외_DTREE_5_5_시간(총),쉰시간제외_MLP_5_5_시간(0제외),쉰시간제외_KNN_5_5_시간(0제외),쉰시간제외_DTREE_5_5_시간(0제외)
0,58.07194137573242,166.47204918649956,395.04261468021053,68.41854095458984,265.31707045416135,445.28555929928564,172.5999755859375,285.7495715688729,595.6060465468533,103.6187515258789,212.22744606155138,467.52700796919163,79.0907211303711,290.05661511076,586.9062060767828,143.60057067871094,348.29117135244803,659.9503789474562
1,123.93637084960938,191.11720051209193,685.6208533185695,72.28578186035156,208.58763272340286,297.16456029409926,84.66149139404297,111.25098255022658,245.49255538714436,165.29090881347656,213.65142184285833,532.2164988364808,75.9707260131836,246.53669543577257,310.69186731006073,86.5880126953125,131.42573484605023,247.95049828674308
2,85.2689208984375,57.53396165904011,250.54744067951543,70.88867950439453,85.54898110640204,399.8847413442344,76.31645202636719,129.6686831997973,341.92993066479556,52.2672119140625,73.25514439027666,244.8692378571081,75.9574203491211,99.57077530086113,309.19663639516244,90.11518859863281,111.12626167018004,390.70888740681374
3,50.750511169433594,56.994119134720755,373.41682040187607,61.51736068725586,92.52446553062934,487.19884520095025,84.62698364257812,85.57846614227846,426.3131816103418,57.80927658081055,90.97802701301359,194.48853525971447,67.23648834228516,128.71976712736304,284.626839465153,79.58020782470703,117.16112902245892,245.27978702953627
4,42.714149475097656,78.6373466863693,294.6616790457399,60.86403274536133,170.99261901807023,520.2121459729079,80.21546936035156,87.14087614015239,391.41060323339724,58.731658935546875,139.38159028963483,360.5422047640464,62.1984748840332,264.7720021397954,644.8721692923577,84.5975570678711,170.47744239530215,432.01026941866905
5,231.1686553955078,486.70881863597015,984.649768626858,423.0994873046875,806.1517386245363,1006.2334036963291,289.25286865234375,468.241931733838,890.2502361492669,277.9599609375,506.09723097997403,721.9682790490696,283.83563232421875,811.8281079179928,754.8699089365646,206.55416870117188,469.07434764944117,984.7115927420137
6,156.73056030273438,449.17876962709056,572.6582567202868,125.42620086669922,616.1736960917677,1112.0374828850652,158.919921875,194.94391113411956,682.9267375759142,240.26783752441406,555.7757672015748,660.0027717160456,128.97972106933594,780.7698202687337,1040.8459631310513,63.52333068847656,259.0290749189375,650.5853785249226
7,174.24496459960938,124.22249718414106,468.83652283972265,73.9572525024414,220.60580073069252,405.6594647463568,85.15841674804688,169.3002614840956,397.1202461828492,74.1861572265625,127.26647340639752,306.4857272433131,66.14862823486328,235.20297205868735,329.0078031279079,77.33411407470703,154.89687232519955,371.6667289781931
8,128.09178161621094,349.61670675864997,580.7891313027469,93.42269134521484,438.0433381516947,388.88283495678866,94.3086929321289,132.77056948535224,327.1386239940493,401.0971984863281,373.83824174045185,617.6341318723191,67.88516998291016,469.61819074537374,378.2859775106588,90.13623809814453,158.67904787746906,424.8394640692399
9,72.56958770751953,80.8692426152005,338.0205233525429,63.00297927856445,144.41943791396002,486.75446377520234,159.97869873046875,298.0999580770901,462.53630653252645,86.57465362548828,80.76915395256273,437.88797972639514,64.53096771240234,105.92358334895657,633.4399313547638,127.6123046875,276.6319017156319,547.5925200803641
average,112.35474433898926,204.1350711999774,494.4243610968068,111.28830070495606,304.8364780345317,554.9313502171219,128.60389709472656,196.27452115158232,476.07244678771383,151.78036155700684,237.32404968782959,454.36223742936846,97.18339500427246,343.2998529454296,527.2743302600463,104.96416931152343,219.6792983773118,495.52955054839515
