,시작온도,종료온도,시간(총),velocity,constant,prediction,error,mape
0,346.6,1252.5,39000.0,0.02322820512820513,0.025943190836063067,34918.60371858068,4081.396281419322,10.465118670305953
1,348.1,1248.6,37380.0,0.0240904226859283,0.025943190836063067,34710.45661616282,2669.543383837183,7.141635590789681
2,351.6,1245.8,32520.0,0.02749692496924969,0.025943190836063067,34467.618330008656,1947.618330008656,5.988986254639164
3,360.3,1250.9,32700.0,0.02723547400611621,0.025943190836063067,34328.853595063425,1628.853595063425,4.981203654628211
4,360.6,1247.5,36120.0,0.024554263565891472,0.025943190836063067,34186.23428414748,1933.765715852518,5.3537256806548115
5,362.7,1254.7,32460.0,0.027479975354282194,0.025943190836063067,34382.817658653235,1922.8176586532354,5.923652676072813
6,364.1,1250.7,32220.0,0.02751707014276847,0.025943190836063067,34174.67055623538,1954.6705562353818,6.066637356410247
7,374.2,951.3,4020.0,0.14355721393034823,0.14355721393034823,4020.0,0.0,0.0
8,414.6,1247.9,30360.0,0.027447299077733862,0.027447299077733862,30360.0,0.0,0.0
9,514.1,1254.0,15540.0,0.04761261261261261,0.038936792924021094,19002.59226392364,3462.5922639236414,22.281803500152133
10,534.1,1242.8,26040.0,0.027215821812596002,0.038936792924021094,18201.293603787923,7838.706396212077,30.102559125238393
11,551.9,1253.6,29460.0,0.023818737270875762,0.038936792924021094,18021.51505824465,11438.484941755349,38.82717223949541
12,568.6,1253.8,12000.0,0.05709999999999999,0.038936792924021094,17597.751343749802,5597.751343749802,46.64792786458168
13,601.6,1248.1,3720.0,0.17379032258064514,0.09704162593678722,6662.089528684619,2942.089528684619,79.08842819044675
14,647.5,1250.2,29700.0,0.020292929292929293,0.09704162593678722,6210.73682743731,23489.26317256269,79.08842819044676
15,679.9,1228.4,1080.0,0.5078703703703705,0.26644924833569444,2058.553377148038,978.5533771480382,90.60679418037391
16,684.3,1253.1,3120.0,0.18230769230769228,0.26644924833569444,2134.7404939321855,985.2595060678145,31.578830322686365
17,687.4,1240.3,8100.0,0.06825925925925926,0.26644924833569444,2075.066840884503,6024.933159115497,74.38189085327774
18,702.5,1249.8,1080.0,0.5067592592592592,0.26644924833569444,2054.0497052199107,974.0497052199107,90.1897875203621
19,704.2,1240.6,3300.0,0.1625454545454545,0.26644924833569444,2013.141351872757,1286.858648127243,38.99571660991646
20,709.0,1237.7,1020.0,0.5183333333333334,0.26644924833569444,1984.242790333943,964.242790333943,94.53360689548461
21,719.2,1248.3,1380.0,0.38340579710144923,0.26644924833569444,1985.7440143099848,605.7440143099848,43.89449379057861
22,729.6,1248.8,3480.0,0.14919540229885056,0.26644924833569444,1948.5887209029372,1531.4112790970628,44.00607123842135
23,732.6,1250.9,3900.0,0.1328974358974359,0.26644924833569444,1945.2109669568426,1954.7890330431574,50.12279571905531
24,736.0,1247.3,2340.0,0.21850427350427348,0.26644924833569444,1918.9395473761015,421.0604526238985,17.99403643691874
25,750.9,1253.2,4980.0,0.10086345381526106,0.39898755966202276,1258.9364952267983,3721.0635047732017,74.72015069825706
26,761.4,1169.3,1800.0,0.2266111111111111,0.2266111111111111,1800.0,0.0,0.0
27,764.0,1255.9,1020.0,0.4822549019607844,0.39898755966202276,1232.8705196139003,212.87051961390034,20.869658785676503
28,766.9,1223.6,1920.0,0.2378645833333333,0.39898755966202276,1144.6472175394758,775.3527824605242,40.382957419818965
29,776.5,1252.9,1020.0,0.46705882352941186,0.39898755966202276,1194.0221905754465,174.02219057544653,17.06099907602417
30,782.3,1248.3,1140.0,0.4087719298245614,0.39898755966202276,1167.9562149625483,27.9562149625483,2.452299558118272
31,783.5,1170.5,1680.0,0.23035714285714284,0.23035714285714284,1680.0,0.0,0.0
32,792.5,1250.4,1020.0,0.4489215686274511,0.39898755966202276,1147.6548301101952,127.65483011019523,12.51517942256816
33,794.4,1247.8,2640.0,0.17174242424242422,0.39898755966202276,1136.3762829699986,1503.6237170300014,56.95544382689399
34,795.3,1263.0,17100.0,0.02735087719298246,0.39898755966202276,1172.2169994377336,15927.783000562267,93.14492982784952
35,798.1,1249.1,16560.0,0.027234299516908207,0.39898755966202276,1130.3610578285604,15429.63894217144,93.17414820151836
36,798.1,1251.0,1020.0,0.4440196078431372,0.39898755966202276,1135.1231110655324,115.12311106553238,11.286579516228665
37,798.5,1248.3,2100.0,0.21419047619047618,0.39898755966202276,1127.3534452578415,972.6465547421585,46.316502606769454
38,800.3,1246.7,16980.0,0.026289752650176683,0.39898755966202276,1118.8318763074712,15861.168123692529,93.41088412068626
