,시작온도,종료온도,constant,count
0,97.38000000000001,1255.4600000000003,0.06094237977491932,5.0
1,156.45,1260.55,0.05594369084959333,2.0
2,289.5,1247.3,0.056809015421115064,1.0
3,361.2,1270.5,0.05874031007751938,1.0
4,477.7,1254.9,0.06853615520282187,1.0
5,646.1705882352942,1256.5117647058823,0.07332275780045591,17.0
6,756.060606060606,1253.8121212121214,0.0951043729719956,33.0
7,855.4863636363635,1257.631818181818,0.13266348761678265,22.0
8,935.2166666666667,1251.05,0.1328195749074718,6.0
9,1006.525,1255.85,0.1515850389863548,4.0
10,1081.8,1251.25,0.020268776499091465,2.0
