,시작온도,종료온도,constant,count
0,118.95,1261.35,0.07816519603010286,2.0
1,173.3,1259.4,0.08873366013071897,1.0
2,266.6,1261.8000000000002,0.10749832130266913,2.0
3,418.7833333333333,1258.4666666666665,0.12512272840241537,6.0
4,564.2555555555556,1259.9407407407407,0.11522049125376375,27.0
5,653.221875,1259.51875,0.12191928446957791,32.0
6,770.4237037066666,1259.5333333333333,0.14845298305025217,15.0
7,852.5800000000002,1259.65,0.1928243510432776,10.0
8,923.1,1260.4,0.21214268755935428,2.0
9,1015.25,1257.0,0.1372645784081954,2.0
