,시작온도,종료온도,constant,count
0,56.3,1249.9,0.025086170659941155,1.0
1,200.4,1245.0,0.05492113564668769,1.0
2,273.0,1174.6,0.060348058902275764,1.0
3,299.175,1250.85,0.08298010361811647,4.0
4,353.47,1249.6200000000001,0.025385262288519183,10.0
5,415.1666666666667,1247.4333333333334,0.05490611688686737,3.0
6,436.65,1172.35,0.1534704353476283,2.0
7,445.3333333333333,1238.1666666666667,0.04801511708344395,3.0
8,455.6,1173.0,0.06871647509578543,1.0
9,512.6999999999999,1237.6470588235295,0.07219240482072513,17.0
10,577.9,1248.825,0.054904117712506445,4.0
11,595.5,1178.5,0.05309653916211293,1.0
12,664.6052631578947,1246.847368421053,0.06548198482915926,19.0
13,770.6,1245.3374737058823,0.10484506481036993,17.0
14,851.0333333333333,1243.0333333333333,0.0681672808603347,3.0
15,959.0666666666666,1248.0166666666667,0.18664297321036452,6.0
16,1018.85,1251.4,0.1265852130325814,2.0
17,1080.1,1250.1,0.07456140350877193,1.0
