,시작온도,종료온도,시간(총),velocity,constant,prediction,error,mape
0,63.1,1257.4,12420.0,0.0961594202898551,0.06094237977491932,19597.199919185157,7177.199919185157,57.78743896284345
1,78.7,1254.2,13320.0,0.08825075075075076,0.06094237977491932,19288.711801894122,5968.711801894122,44.810148662868784
2,87.2,1256.7,40800.0,0.02866421568627451,0.06094237977491932,19190.258147439537,21609.741852560463,52.96505356019722
3,122.6,1253.9,20580.0,0.05497084548104957,0.06094237977491932,18563.436547412017,2016.5634525879832,9.798656232205943
4,135.3,1255.1,30540.0,0.03666666666666667,0.05594369084959333,20016.555629313472,10523.444370686528,34.45790560146211
5,154.4,1257.1,30060.0,0.03668330006653359,0.05594369084959333,19710.891134527563,10349.108865472437,34.42817320516446
6,158.5,1264.0,14700.0,0.07520408163265306,0.05594369084959333,19760.941461159175,5060.941461159175,34.428173205164455
7,289.5,1247.3,16860.0,0.056809015421115064,0.056809015421115064,16860.0,0.0,0.0
8,361.2,1270.5,15480.0,0.05874031007751938,0.05874031007751938,15480.0,0.0,0.0
9,477.7,1254.9,11340.0,0.06853615520282187,0.06853615520282187,11340.0,0.0,0.0
10,595.3,1255.6,12060.0,0.05475124378109452,0.07332275780045591,9005.389592641513,3054.6104073584866,25.328444505460084
11,603.5,1254.5,10200.0,0.06382352941176471,0.07332275780045591,8878.553119505717,1321.4468804942826,12.95536157347336
12,608.0,1255.4,9840.0,0.06579268292682927,0.07332275780045591,8829.455129904765,1010.5448700952347,10.269764939992223
13,619.2,1253.5,9900.0,0.06407070707070707,0.07332275780045591,8650.793001079071,1249.2069989209285,12.618252514352813
14,637.2,1255.7,6360.0,0.09724842767295598,0.07332275780045591,8435.307380052667,2075.307380052667,32.63061918321804
15,637.7,1256.5,9120.0,0.06785087719298245,0.07332275780045591,8439.39887918608,680.6011208139207,7.462731587871938
16,641.2,1256.8,10380.0,0.05930635838150288,0.07332275780045591,8395.75622176301,1984.2437782369907,19.1160286920712
17,643.5,1252.1,7740.0,0.07863049095607234,0.07332275780045591,8300.287908650043,560.2879086500434,7.2388618688636095
18,643.9,1251.9,12480.0,0.048717948717948725,0.07332275780045591,8292.104910383221,4187.895089616779,33.55685167962162
19,649.5,1259.6,12720.0,0.047963836477987416,0.07332275780045591,8320.745404317107,4399.254595682893,34.58533487172085
20,654.9,1257.2,8880.0,0.06782657657657658,0.07332275780045591,8214.366426848377,665.6335731516228,7.495873571527284
21,662.9,1277.9,11940.0,0.05150753768844222,0.07332275780045591,8387.573223496185,3552.426776503815,29.75231806117098
22,665.4,1252.7,5820.0,0.10091065292096221,0.07332275780045591,8009.791470177739,2189.791470177739,37.62528299274466
23,670.6,1257.2,4800.0,0.12220833333333334,0.07332275780045591,8000.244638866442,3200.244638866442,66.67176330971755
24,681.4,1248.6,6420.0,0.08834890965732087,0.07332275780045591,7735.661028239082,1315.661028239082,20.49316243363056
25,684.5,1256.7,8400.0,0.06811904761904762,0.07332275780045591,7803.85268046263,596.1473195373701,7.096991899254405
26,686.2,1258.8,5760.0,0.0994097222222222,0.07332275780045591,7809.308012640511,2049.308012640511,35.5782641083422
27,696.8,1250.3,12420.0,0.04456521739130435,0.07332275780045591,7548.815901146566,4871.184098853434,39.22048388770881
