,시작온도,종료온도,constant,count
0,80.7,1260.6,0.039888438133874236,1.0
1,188.0,1260.7,0.04898173515981735,1.0
2,243.05,1250.15,0.08289940101468908,2.0
3,369.5,1255.3833333333334,0.06350677368015212,6.0
4,494.00000000000006,1255.8714285714284,0.12282897866374295,7.0
5,557.48,1261.46,0.21645451566951568,5.0
6,655.7478260869566,1252.1173913043476,0.2558051072149122,23.0
7,760.8588235294118,1258.8,0.28974370706559405,17.0
8,846.4727272727273,1255.5318181818182,0.25359675333917475,22.0
9,940.6800000000002,1254.3466666666666,0.23942651523619737,15.0
10,1032.2375,1256.0375000000001,0.1586361597271579,8.0
11,1118.3333333333333,1255.8999999999999,0.10387896825396825,3.0
