,장장입중량총합_시작온도_MLP_0_0_시간(총),장장입중량총합_시작온도_MLP_1_1_시간(총),장장입중량총합_시작온도_MLP_2_2_시간(총),장장입중량총합_시작온도_MLP_3_3_시간(총),장장입중량총합_시작온도_MLP_4_4_시간(총),장장입중량총합_시작온도_MLP_5_5_시간(총)
0,70.62945556640625,71.72010040283203,71.52210235595703,72.29666900634766,71.01786804199219,70.69007873535156
average,70.62945556640625,71.72010040283203,71.52210235595703,72.29666900634766,71.01786804199219,70.69007873535156
