,장입중량총합_시작온도_종료온도_MLP_0_0_시간(총),장입중량총합_시작온도_종료온도_MLP_1_1_시간(총),장입중량총합_시작온도_종료온도_MLP_2_2_시간(총),장입중량총합_시작온도_종료온도_MLP_3_3_시간(총),장입중량총합_시작온도_종료온도_MLP_4_4_시간(총),장입중량총합_시작온도_종료온도_MLP_5_5_시간(총)
0,38.25972366333008,40.9755744934082,56.94499588012695,66.42683410644531,70.63651275634766,69.71537780761719
average,38.25972366333008,40.9755744934082,56.94499588012695,66.42683410644531,70.63651275634766,69.71537780761719
