,장입중량총합_장입소재개수_시작온도_MLP_0_0_시간(총),장입중량총합_장입소재개수_시작온도_MLP_1_1_시간(총),장입중량총합_장입소재개수_시작온도_MLP_2_2_시간(총),장입중량총합_장입소재개수_시작온도_MLP_3_3_시간(총),장입중량총합_장입소재개수_시작온도_MLP_4_4_시간(총),장입중량총합_장입소재개수_시작온도_MLP_5_5_시간(총)
0,59.56354588099888,57.57613743373326,54.58313555036273,53.92925251552037,53.56849714006697,55.824240112304686
average,59.56354588099888,57.57613743373326,54.58313555036273,53.92925251552037,53.56849714006697,55.824240112304686
