,시작온도_종료온도_MLP_0_0_시간(총),시작온도_종료온도_MLP_1_1_시간(총),시작온도_종료온도_MLP_2_2_시간(총),시작온도_종료온도_MLP_3_3_시간(총),시작온도_종료온도_MLP_4_4_시간(총),시작온도_종료온도_MLP_5_5_시간(총)
0,62.558841705322266,62.5479621887207,68.39859008789062,67.8524169921875,66.48126220703125,64.25882720947266
average,62.558841705322266,62.5479621887207,68.39859008789062,67.8524169921875,66.48126220703125,64.25882720947266
