,시간(총)_MLP_5_5_에너지,시간(총)_MLP_2_2_에너지,시간(총)_KNN_에너지
0,17.561864852905273,21.43723487854004,24.473745797742772
1,16.82238006591797,14.378305435180664,20.422945639880098
2,15.450186729431152,15.89779281616211,16.192303039476897
3,16.665634155273438,18.709789276123047,15.564728738754383
4,19.931062698364258,11.962189674377441,23.764178226874105
5,22.75872039794922,35.452388763427734,43.93514348720142
6,14.252577781677246,13.88783073425293,16.086900170605684
7,16.862085342407227,13.095017433166504,14.514661885402539
8,12.827536582946777,13.975066184997559,15.54202104679855
9,8.442691802978516,9.48598861694336,15.8171835971862
average,16.157474040985107,16.82816038131714,20.631381162992263
