,시간(총)_MLP_5_5_에너지,시간(총)_MLP_7_7_에너지,시간(총)_KNN_에너지
0,16.750625610351562,17.02983283996582,14.932904826927285
1,20.3091983795166,22.011825561523438,22.95014824823171
2,15.334572792053223,14.629290580749512,14.20894596571014
3,15.873567581176758,14.806692123413086,15.916956501608576
4,12.812216758728027,13.40638542175293,12.173961067486772
5,15.203746795654297,17.383211135864258,16.708683213980613
6,14.072219848632812,14.59375,20.670395373129118
7,16.711811065673828,16.433956146240234,13.733586624135985
8,11.923242568969727,11.7638521194458,12.858839307422873
9,13.506879806518555,13.457734107971191,17.588573003463015
average,15.24980812072754,15.551653003692627,16.174299413209607
