,시간(총)_MLP_5_5_에너지,시간(총)_MLP_5_3_에너지,시간(총)_KNN_에너지
0,7.528280735015869,7.428292274475098,7.192038254526992
1,7.457274913787842,7.377344131469727,7.97581429324172
2,5.013168811798096,5.237430095672607,7.43020370124558
3,12.396528244018555,10.610323905944824,26.000489346441775
4,12.853425979614258,10.66048812866211,44.540400875326675
5,8.702213287353516,8.144405364990234,15.246681318899178
6,13.93384075164795,13.981130599975586,25.495799328606594
7,10.132335662841797,9.246193885803223,29.87795091334446
8,8.565378189086914,8.225049018859863,9.024540582225594
9,9.219600677490234,8.80868911743164,45.7002704215942
average,9.580204725265503,8.97193465232849,21.84841890354528
