,forward,f_All_MLP_5_5_에너지,backward,b_All_MLP_5_5_에너지
0,"[('장입중량총합',), ('시작온도',), ('시간(총)',)]",30.92386245727539,"[('장입중량총합',), ('장입소재개수',), ('시작온도',), ('시간(총)',)]",45.87908172607422
1,"[('시작온도',), ('시간(총)',)]",12.560650825500488,"[('장입소재개수',), ('시작온도',), ('시간(총)',)]",17.09645652770996
2,"[('시작온도',), ('시간(총)',)]",18.61423683166504,"[('시작온도',), ('시간(총)',)]",20.180919647216797
3,"[('시작온도',), ('시간(총)',)]",14.188916206359863,"[('시작온도',), ('시간(총)',)]",14.075983047485352
4,"[('시작온도',), ('시간(총)',)]",14.363760948181152,"[('시작온도',), ('시간(총)',)]",15.503653526306152
average,,18.130285453796386,,22.547218894958498
