,종료온도_시간(총)_MLP_5_5_에너지,종료온도_시간(총)_MLP_7_7_에너지,종료온도_시간(총)_KNN_에너지
0,9.52287483215332,9.11879825592041,8.391955484753728
1,8.218810081481934,7.713267803192139,11.186560143211977
2,7.040360450744629,7.192379951477051,8.005249906310862
3,15.060257911682129,13.776592254638672,11.303940789149419
4,8.364691734313965,7.320377349853516,21.206737970782484
5,10.826924324035645,10.354825973510742,12.293359150913357
6,8.906816482543945,8.804922103881836,15.761707500163435
7,20.896583557128906,11.446329116821289,17.013165382988348
8,7.991612911224365,7.802482604980469,11.445449216161352
9,9.58360481262207,10.196194648742676,11.634832377894593
average,10.64125370979309,9.37261700630188,12.824295792232956
