,forward,f_All_MLP_5_5_에너지,backward,b_All_MLP_5_5_에너지
0,"[('장입최대중량',), ('시작온도',), ('종료온도',), ('시간(총)',)]",32.96663284301758,"[('시작온도',)]",96.60613250732422
1,"[('장입최대중량',), ('시작온도',), ('시간(총)',)]",14.094756126403809,"[('시작온도',), ('시간(총)',)]",12.772871971130371
2,"[('시간(총)',)]",15.05215072631836,"[('시작온도',), ('시간(총)',)]",16.32036018371582
3,"[('시작온도',), ('시간(총)',)]",13.743066787719727,"[('시간(총)',)]",14.750088691711426
4,"[('시작온도',), ('종료온도',), ('시간(총)',)]",19.653520584106445,"[('시간(총)',)]",9.597743034362793
average,,19.102025413513182,,30.009439277648926
