,forward,f_All_MLP_5_5_에너지,backward,b_All_MLP_5_5_에너지
0,"[('장입중량총합',), ('장입소재개수',), ('시작온도',), ('시간(총)',)]",24.78756332397461,"[('시작온도',), ('시간(총)',)]",17.690473556518555
1,"[('시작온도',), ('시간(총)',)]",15.60290813446045,"[('장입최대중량',), ('장입소재개수',), ('시작온도',), ('시간(총)',)]",26.617658615112305
2,"[('시작온도',), ('시간(총)',)]",14.578972816467285,"[('장입중량총합',), ('장입소재개수',), ('시작온도',), ('종료온도',), ('시간(총)',)]",39.030208587646484
3,"[('시작온도',), ('시간(총)',)]",16.27812957763672,"[('장입최대중량',), ('장입소재개수',), ('시작온도',), ('시간(총)',)]",23.62813949584961
4,"[('시작온도',), ('시간(총)',)]",12.071166038513184,"[('시작온도',), ('시간(총)',)]",15.869585037231445
average,,16.66374797821045,,24.56721305847168
