,forward,f_All_MLP_5_5_에너지,backward,b_All_MLP_5_5_에너지
0,"[('장입소재개수',), ('시작온도',), ('종료온도',), ('시간(총)',)]",21.69667625427246,"[('시작온도',), ('시간(총)',)]",18.62449073791504
1,"[('장입최대중량',), ('장입소재개수',), ('시작온도',), ('시간(총)',)]",23.483823776245117,"[('장입소재개수',), ('시작온도',), ('시간(총)',)]",16.520187377929688
2,"[('장입최대중량',), ('장입소재개수',), ('시작온도',), ('시간(총)',)]",26.11890411376953,"[('장입소재개수',), ('시작온도',), ('시간(총)',)]",13.4761323928833
3,"[('장입소재개수',), ('시작온도',), ('종료온도',), ('시간(총)',)]",18.13211441040039,"[('장입최대중량',), ('장입소재개수',), ('시작온도',), ('시간(총)',)]",25.8489933013916
4,"[('시작온도',), ('시간(총)',)]",13.774941444396973,"[('시작온도',), ('시간(총)',)]",17.167512893676758
average,,20.641291999816893,,18.327463340759277
