,사내재질
0,TW F316L
1,TW 350LF2
2,TW S45SU
3,SKT4
4,TW SCM435
5,SFCM830R
6,TW42CrMo4M
7,TW S17MoS
8,TW 350LF3
9,TW F304L
10,TW SNCM439
11,TW B50A584B
12,TW S35C
13,TW F321H
14,TW SF590
15,TW 20rc
16,B50A584B
17,TW F6A
18,TW F11
19,TWCrMo825
20,TW F22
21,TW F91
22,WTG-113
23,TW F347H
24,SCM440
25,TW F11 BLOCK
26,TW SCM420
27,TW F5
28,S35C
29,TW F22V
30,30CrNiMo8V
31,TW 38X2H3M
32,"WTG-113
(INGOT)"
33,"TWCrMo825
(INGOT)"
34,TW 42CrMo4M
35,TW 266MGr2
36,TW 42CrMo4
37,"TW 42CRMO4
(TWCrMo825)"
38,TW 508Gr3
39,"SKT4
(KO411)"
