수주재질,사내재질,열처리민감소재여부,열처리비고,Crack민감재질,Crack매우민감재질,11
A533GRBCL2,TW 508GR3,,,O,,
A537CL2,TW S355,,,,,해당없음
A572Gr42,TW 350LF2,,,,,해당없음
A572Gr50,TW S355,,,,,해당없음
A576 GR1035,TW S35C,,,O,,
A668 CL K,42CRMO4(STW),주의 재질,,O,,
A668CL.D,TW 350LF2,,,,,해당없음
A668CL.E,TW A668CL.E,,,O,,
A668CL.G,TW S45SU,,,O,,
A668CL.J,TW 4130 M2,,,O,,
A668CL.M,TW SNCM439,주의 재질,,O,,
A668CL.N,SNCM439 M2,주의 재질,,O,,
A694F52,TW S355,,,,,해당없음
A694F56,A694F70,,,O,,
A694F60,TW 694 F70 M1,,,O,,
A694F65,TW 694 F70 M1,,,O,,
A694F70,A860WPHY70,,,O,,
A694MF60,TW 694 F70 M1,,,O,,
"A705, Type 630 (17-4)",TW 17-4,주의 재질,,,,
A765Gr2,TW 350LF2,,,,,해당없음
A860WPHY60,A694F70,,,O,,
A860WPHY65,A860WPHY70,,,O,,
A965F304,SA336F304/F304H,,,,,해당없음
A965F304L,SA182F304L,,,,,해당없음
A965F316,TW F316L,,,O,,
A965F316L,TW F316L,,,O,,
A965F321,TW F321H,,,O,,
ABS Gr.2,TW 350LF2,,,,,해당없음
ABS GRADE3,34CrNiMo6TWNiCrMo850,주의 재질,,O,,
AH36,TW S355,,,,,해당없음
AISI 1018,TW AISI 1018,,,,,
AISI 1035,TW S35C,,,O,,
AISI 1045,TW S45SU,,,O,,
AISI 410,TW F6A,주의 재질,NT 시 큰 문제 없음,,O,
AISI 4130,TW 4130 M2,,,O,,
AISI 4130 H,TW 4130 M2,,,O,,
AISI 4130 M2,TW 4130 M2,,,O,,
AISI 4330MOD,34CrNiMo6TWNiCrMo850,주의 재질,,O,,
AISI 4330V,SNCM431M,주의 재질,,O,,
AISI 8620,TW 8620,,,O,,
AISI1040,S40C,,,O,,
AISI4140,TW SCM440,주의 재질,,O,,
AISI4140H,42CRMO4(STW),주의 재질,,O,,
AISI4150H,AISI4150H,주의 재질,,O,,
AISI4320,TW SNCM420,,,O,,
AISI4340,AISI4340 MOD,주의 재질,,O,,
AISI4340 MOD,AISI4340 MOD,주의 재질,,O,,
AISI8630,TW 8630 M,,,O,,
AISI8630 Mod,TW 8630 M,,,O,,
ALLOY STEEL,TW SCM435,,,O,,
ASTM A36,S355NL,,,,,해당없음
ASTM/SA965F316/316L,TW F316L,,,O,,
B4A5D,TW S25C,,,,,해당없음
B4C1B,TW S45SU,,,O,,
B50A164B,TW K11B59A,,,O,,
B50A164B2,TW K11B59A,,,O,,
B50A179B,TW F22,,,O,,
B50A265A1,TW F11,,,O,,
B50A357A,TW B50 A517,,,O,,
B50A517B2,TW B50 A517,,,O,,
B50A584A,TW K11B64A,,,O,,
B50A584B,TW B50A584B,,,O,,
B50A643A,TW B50 A517,,,O,,
B50A902A,SF440,,,,,해당없음
B50A974A,TW B50A974A,,,,,해당없음
C and C-Mn STEEL,TW SF490V M3,,,,,해당없음
C20,TW S25C,,,,,해당없음
C35,TW S35C,,,O,,
C35E,TW S35C,,,O,,
C45,TW S45SU,,,O,,
C45E,TW S45SU,,,O,,
C45E+N,TW S45SU,,,O,,
C60E,S55C,,,O,,
CK35,TW S35C,,,O,,
CK60.6,TW SSW R-1,,,O,,
Cu-Ni Gr.CW352H,Cu-Ni Gr.CW352H,뭔지 모르겠음,,,,
DH36,TW S355,,,,,해당없음
DIN 1.4462,TW F51,,,,O,
EH36,TW S355,,,,,해당없음
F11,TW F11,,,O,,
F22,TW F22,,,O,,
F22MOD1,TW F22,,,O,,
F304,TW F304L,,,,,해당없음
F304L,TW F304L,,,,,해당없음
FORGED STEEL,TW SF490V,,,,,해당없음
HF502,TW S30MN,,,,,해당없음
HF600,TW S45SU,,,O,,
HF640,TW S45SU,,,O,,
HFCM6,TW S17MoS,,,O,,
HP4MA(D2),TW-P4M,,,O,,
HRFS480,TW SF490,,,,,해당없음
H-S36S,TW S35C,,,O,,
HSCM440,TW SCM440,주의 재질,,O,,
HSCM-511,34CrNiMo6TWNiCrMo850,주의 재질,,O,,
K1045,TW S45SU,,,O,,
K11B59A,TW K11B59A,,,O,,
KA-SFVAF28,TW F91,주의 재질,NT 시 큰 문제 없음,,O,
KSF45,TW 350LF2,,,,,해당없음
KSF45W,TW 350LF2,,,,,해당없음
KSF48W,TW 350LF2,,,,,해당없음
KSF50,TW 350LF2,,,,,해당없음
KSF50W,TW 350LF2,,,,,해당없음
KSF55,TW S35C,,,O,,
KSF55W,TW SF490V,,,,,해당없음
KSF60,TW S45SU,,,O,,
KSF65,TW S45SU,,,O,,
KSF65W,TW SCM420,,,O,,
KSFA60,TW SCM420,,,O,,
KSFA60W,TW SCM420,,,O,,
KSFA65W,TW SCM420,,,O,,
KSFA65W-S,TW SCM420,,,O,,
KSFA70,TW SCM435,,,O,,
KSFA70W,TW SCM420,,,O,,
KSFA75,TW SCM435,,,O,,
KSFA80,TW SCM435,,,O,,
KSFA82,TW SCM435,,,O,,
KSFA90,42CRMO4(STW),주의 재질,,O,,
MDF A105,TW 350LF2,,,,,해당없음
Mild 235,TW 266M Gr2,,,,,해당없음
NVE36,EH36,,,,,해당없음
P245GH,TW 266M Gr2,,,,,해당없음
P250GH,TW B50 A517,,,O,,
