수주재질,사내재질,열처리민감소재여부,열처리비고,Crack민감재질,Crack매우민감재질,11
SSW Q3R,TW SSW R-1,,,O,,
SSWR1,TW SSW R-1,,,O,,
ST330,TW S35C,,,O,,
ST330S,TW 350LF2,,,,,해당없음
ST44-2,TW S355,,,,,해당없음
ST52,TW S355,,,,,해당없음
ST52.3,TW S355,,,,,해당없음
ST52-3,TW S355,,,,,해당없음
Stainless steel 15-5,TW 17-4,주의 재질,,,,
STD61,STD61,주의 재질,,O,,
STEEL FORGING,TW S355,,,,,해당없음
STS304,TW F304H,,,,,해당없음
STS310S,A182F310,,,,,
SUS304,TW F304L,,,,,해당없음
SUS316,SUS316,,,O,,
SUS316L,TW SUS F316L,,,O,,
SUS403,TW F6A,,,,O,
SUS403(A),TW F6A,주의 재질,NT 시 큰 문제 없음,,O,
SUS403FB,TW F6A,주의 재질,NT 시 큰 문제 없음,,O,
SUS403Q,SUS403Q,주의 재질,,,,
SUS403Q HT,TW F6A,주의 재질,NT 시 큰 문제 없음,,O,
SUS410,TW F6A,주의 재질,NT 시 큰 문제 없음,,O,
SUS410Q,TW F6A,주의 재질,,,O,
SUS420J2,SUS420J2,뭔지 모르겠음,,,,
SUS630,SUS630,주의 재질,,,O,
SUSF304,TW F304L,,,,,해당없음
SUSF304H,TW F304H,,,,,해당없음
SUSF304L,TW SUS F304L,,,,,해당없음
SUSF316,TW F316L,,,O,,
SUSF316L,TW SUS F316L,,,O,,
SUSF321,TW F321H,,,O,,
SUSF347,TW F347H,,,O,,
SUSF410,TW F6A,주의 재질,NT 시 큰 문제 없음,,O,
SUSF410-B,TW F6A,주의 재질,NT 시 큰 문제 없음,,O,
SUSF410-C,TW F6A,주의 재질,NT 시 큰 문제 없음,,O,
TW 266M Gr2,TW 266M Gr2,,,,,해당없음
TW F6NM,TW F6NM,주의 재질,NT 시 큰 문제 없음,,O,
TW P1,TW-P1,,,O,,
TW P4,TW-P4,,,O,,
TW P4M,TW-P4M(200~400T),,,O,,
TW P4M,TW-P4M(410~650T),,,O,,
TW S355Mn,TW S355Mn,,,,,해당없음
TW SCM435,TW SCM435,주의 재질,,O,,
TW SF490V M3,TW SF490V M3,,,,,해당없음
TW SF590,TW S45SU,,,O,,
TW SNCM420,TW SNCM420,,,O,,
TW SNCM439,TW SNCM439,주의 재질,,O,,
TWCrMo825,TWCrMo825,주의 재질,,O,,
TW-P1,TW-P1,,,O,,
TW-P4M,TW-P4M,,,O,,
TWS355,TW S355,,,,,해당없음
TWSF490,TW S355,,,,,해당없음
TWSF520,TW S355,,,,,해당없음
TWSF520N-Z25,TWSF520N-Z25,,,,,해당없음
TWSF520-Z25,S355NL,,,,,해당없음
UNS S32750,TW F53,,,,O,
WTG-113,WTG-113,주의 재질,,O,,
X10CrMoVNbN9-1,TW F91,주의 재질,NT 시 큰 문제 없음,,O,
X11CrMo12,,,,,,
X11CrMo12-1,,,,,,
ZAN10911,S355NL,,,,,해당없음
火SFVAF28,TW F91,주의 재질,NT 시 큰 문제 없음,,O,
,F11,,,O,,
,A694F70M2,,,O,,
,42CrMo4,,,O,,
,B50A584A2,,,O,,
,SF490V,,,,,
,TW3355,,,,,
,B50A584B,,,O,,
,S355NL,,,,,
,F347,,,O,,
,F304H,,,,,
,"FORGED
STEEL",,,,,
,TW8620,,,O,,
,F22V,,,O,,
,A765Gr4M2,,,O,,
,A350LF3CL1,,,,O,
,A35LF2,,,,,
,SF490VM3,,,,,
,38X2H3M,,,O,,
,A266MGr2,,,,,
,S45C,,,O,,
,SCM430,,,O,,
,"SA765GR4
M2",,,O,,
,A266MG2,,,,,
,A765Gr4,,,,,
,SF490VM1,,,,,
,SF590,,,O,,
,S25C,,,,,
,42CrMo4M,,,O,,
,TWS355Mn,,,,,
,F12,,,O,,
,TWS360,,,,,
,A350LF2,,,,,
,S355Mn,,,,,
,A350LF6,,,O,,
,F321H,,,O,,
,A106,,,,,
,SNCM431M1,,,O,,
,A350LF3,,,,O,
,AISI4130M2,,,O,,
,F347H,,,O,,
,WTG113,,,O,,
,TWS355,,,,,
,SCM420,,,O,,
,A694F65,,,,,
,F22,,,O,,
,SF490A,,,,,
,F316L,,,O,,
,S35C,,,O,,
,S508Gr3,,,O,,
,A508Gr3,,,O,,
,F304L,,,,,
,S17Mo6,,,O,,
,4130M2,,,O,,
,SKT4,,,O,,
,30CrNiMo8V,,,,O,
,SF490N,,,,,
,TW F316L,,,O,,
,C-STEEL,,,O,,
,TW 350LF2,,,,,
,"WTG-113
(INGOT)",,,O,,
,TW S45SU,,,O,,
,SFCM830,,,O,,
,TW SCM435,,,O,,
,SFCM830R,,,O,,
,"TWCrMo825
(INGOT)",,,O,,
,A266Gr2,,,,,
,TW42CrMo4M,,,O,,
,TW S17MoS,,,O,,
,TW 350LF3,,,,O,
,TW F304L,,,,,
,TW SF490VM3,,,,,
,"SKT4
(KO411)",,,O,,
,TW SNCM439,,,O,,
,TW SF490V,,,,,
,TW SFCM830,,,O,,
,TW B50A584B,,,O,,
,TW S35C,,,O,,
,TW 42CrMo4M,,,O,,
,TW F321H,,,O,,
,TW SF590,,,O,,
,TW 20rc,,,O,,
,TW F6A,,,,O,
,TW 266Gr2,,,,,
,TW F11,,,O,,
,TWCrMo825,,,O,,
,TW F22,,,O,,
,TW S355Mn,,,,,
,TW 694 F70 M2,,,O,,
,TW F91,,,,O,
,TW F304H,,,,,
,TW SF490 N,,,,,
,TW S25C,,,,,
,TW SF490V M3,,,,,
,WTG-113,,,O,,
,TW X11 CrMo12-1,,,,O,
,TW F347H,,,O,,
,"TWS355
(300T)",,,,,
,TW A266MGr2,,,,,
,SCM440,,,O,,
,TW 42CrMo4,,,O,,
,"TW 42CRMO4
(TWCrMo825)",,,O,,
,TW 765Gr.4 M2,,,O,,
,TW F11 BLOCK,,,O,,
,TW 508Gr3,,,O,,
,TW SCM420,,,O,,
,TW F5,,,O,,
,A694F70 M2,,,O,,
,"A350LF2
(300T)",,,,,
,TW 266MGr2,,,,,
,"TW 350LF2
BLOCK",,,,,
,TW S360,,,,,
,TW SF490V M1,,,,,
,TW F22V,,,O,,
,A336F12 MOD1,,,O,,
,TW X11CrMo12-1,,,O,,
,TW 38X2H3M,,,O,,
