순번,프레스명,작업일자,주/야간,가열로명,소재개수,중량(kg),최대중량(kg),최소홀딩시간,최대홀딩시간,시작온도,가열시작일시,가열종료일시,종료온도,소요시간(분),총가스사용량,단위가스사용량(사용량/중량)
1,프레스(P5000),2020-03-02,야간,가열로1호기,7,60550,8650,12,13,-,2020-02-29 08:20,2020-03-03 08:40,-,4340,6968.2,115.1
2,프레스(P5000),2020-03-02,주간,가열로2호기,6,54140,9410,12,13,-,2020-02-29 08:15,2020-03-02 22:41,-,3746,7654.9,141.4
3,프레스(P5000),2020-03-02,야간,가열로3호기,8,84750,13970,12,13,-,2020-02-29 08:18,2020-03-03 04:25,-,4087,7493.5,88.4
4,프레스(P5000),2020-03-02,주간,가열로5호기,8,76432,9554,12,13,-,2020-02-29 08:21,2020-03-02 19:48,-,3567,8408.5,110
5,프레스(P15000),2020-03-02,야간,가열로6호기,6,94340,36200,12,0,-,2020-02-29 07:04,2020-03-03 03:27,-,4103,11808.6,125.2
6,링밀(R/M 9500),2020-03-02,주간,가열로7호기,6,58000,9830,4,10,-,2020-03-01 07:13,2020-03-02 18:23,-,2110,3115.6,53.7
7,링밀(R/M 9500),2020-03-02,야간,가열로7호기,17,74510,5070,4,10,-,2020-03-02 18:30,2020-03-03 04:05,-,575,1251.8,16.8
8,링밀(R/M 9500),2020-03-02,주간,가열로8호기,2,43820,21910,4,10,-,2020-03-01 05:35,2020-03-02 18:46,-,2231,3735.7,85.3
9,링밀(R/M 9500),2020-03-02,주간,가열로9호기,16,59520,6150,4,10,-,2020-03-01 04:30,2020-03-02 10:12,-,1782,4774,80.2
10,링밀(R/M 9500),2020-03-02,야간,가열로9호기,19,63310,5470,4,10,-,2020-03-02 10:16,2020-03-02 22:36,-,740,2112.8,33.4
11,링밀(R/M 9500),2020-03-02,주간,가열로10호기,4,51560,13930,4,10,-,2020-03-01 00:00,2020-03-03 00:00,-,2880,-,0
12,링밀(R/M 9500),2020-03-02,야간,가열로10호기,8,77360,10670,4,10,-,2020-03-01 00:00,2020-03-03 00:00,-,2880,-,0
13,링밀(R/M 9500),2020-03-02,주간,가열로11호기,18,68080,4800,4,10,-,2020-03-01 00:00,2020-03-03 00:00,-,2880,-,0
14,링밀(R/M 9500),2020-03-02,야간,가열로11호기,2,25258,12629,4,10,-,2020-03-01 00:00,2020-03-03 00:00,-,2880,-,0
15,프레스(P8000),2020-03-02,주간,가열로12호기,20,65975.5,5119,7.5,7.5,-,2020-02-29 07:42,2020-03-02 11:40,-,3118,5253.1,79.6
16,프레스(P15000),2020-03-02,주간,가열로13호기,2,57850,31900,8,0,-,2020-02-29 07:00,2020-03-02 18:53,-,3593,10507.8,181.6
17,프레스(P15000),2020-03-02,야간,가열로13호기,2,57850,31900,6,0,-,2020-03-02 18:53,2020-03-03 07:31,-,758,4189.5,72.4
18,링밀(R/M 9500),2020-03-02,야간,가열로13호기,5,67160,32300,4,10,-,2020-03-01 00:00,2020-03-03 00:00,-,2880,-,0
19,프레스(P8000),2020-03-02,야간,가열로14호기,16,60172,4775,7.5,7.5,-,2020-03-01 18:00,2020-03-03 06:31,-,2191,5530.7,91.9
20,프레스(P8000),2020-03-02,주간,가열로15호기,18,75245.2,4775,7.5,7.5,-,2020-02-29 07:41,2020-03-02 19:14,-,3573,4896.3,65.1
21,프레스(P8000),2020-03-02,야간,가열로16호기,24,68345.6,2764,7.5,7.5,-,2020-03-01 03:49,2020-03-03 00:57,-,2708,4844.7,70.9
22,프레스(P15000),2020-03-02,주간,가열로17호기,5,183250,67500,20,0,-,2020-02-29 07:00,2020-03-02 14:20,-,3320,11202.6,61.1
23,프레스(P15000),2020-03-02,야간,가열로17호기,3,140500,67500,18,0,-,2020-03-02 14:20,2020-03-03 05:53,-,933,4463.1,31.8
24,프레스(P15000),2020-03-02,주간,가열로18호기,8,116940,26500,15,0,-,2020-02-29 07:00,2020-03-02 16:57,-,3477,10975.9,93.9
