,에너지,시간(총),시간(0제외),시작온도,A_num,A_sum,A_max,C_num,C_sum,C_max,S_num,S_sum,S_max,H_A_num,H_A_sum,H_A_max,H_C_num,H_C_sum,H_C_max,H_S_num,H_S_sum,H_S_max,장입소재개수,장입중량총합,장입최대중량,열괴장입소재개수,열괴장입중량총합,열괴장입최대중량,민감소재장입개수,민감소재중량총합,민감소재최대중량,비민감소재장입개수,비민감소재중량총합,비민감소재최대중량,쉰시간,문열림횟수,drop,가열로번호,작업일자,주/야간,가열시작시간,요일,겹침여부,민감여부,직전 사이클 소재 수량,겹치는 소재 수량,강종종류,주말여부,에러발생
20,124.8,2220,2160,1112.2,8,118920,16100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,118920,16100,0,0,0,8,118920,16100,0,0,0,1860,0,누락없음,2,2019-09-18,주간,2019-09-17 12:04,화,안겹침,0,8,0,A,평일,0
21,1345.5,9660,9480,454.0,6,89100,14850,0,0,0,0,0,0,1,18850,18850,0,0,0,0,0,0,7,107950,18850,1,18850,18850,7,107950,18850,0,0,0,45120,0,누락없음,2,2019-09-19,야간,2019-09-19 4:09,목,안겹침,0,8,0,A,평일,0
22,1468.1,10020,9660,612.3,8,88000,11000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,88000,11000,0,0,0,8,88000,11000,0,0,0,5220,0,누락없음,2,2019-09-20,야간,2019-09-20 3:46,금,안겹침,0,7,0,A,평일,0
23,4154.7,73320,60540,549.8,2,23400,11700,8,69000,11970,0,0,0,0,0,0,0,0,0,0,0,0,10,92400,11970,0,0,0,2,23400,11700,8,69000,11970,58380,0,누락없음,2,2019-09-23,주간,2019-09-21 21:29,토,안겹침,0,8,0,AC,주말,0
24,1957.1,17340,15540,763.4,0,0,0,0,0,0,3,51300,17600,0,0,0,0,0,0,0,0,0,4,60900,17600,0,0,0,3,51300,17600,1,9600,9600,2400,8,강종누락,2,2019-09-24,주간,2019-09-23 19:17,월,안겹침,0,10,0,S,평일,0
25,3440.2,23160,22380,452.2,2,30510,19350,0,0,0,0,0,0,4,63400,19350,0,0,0,0,0,0,7,113510,19600,4,63400,19350,7,113510,19600,0,0,0,8220,1,강종누락,2,2019-09-25,주간,2019-09-24 15:20,화,안겹침,0,4,0,A,평일,0
26,112.7,1200,1140,786.0,1,11160,11160,0,0,0,0,0,0,2,31070,18850,0,0,0,0,0,0,3,42230,18850,2,31070,18850,3,42230,18850,0,0,0,540,0,누락없음,2,2019-09-26,주간,2019-09-25 18:07,수,겹침,0,7,1,A,평일,0
27,869.8,5880,5820,621.0,0,0,0,4,22520,6260,2,15570,8560,0,0,0,0,0,0,0,0,0,7,47690,9600,0,0,0,2,15570,8560,5,32120,9600,1680,0,강종누락,2,2019-09-27,주간,2019-09-26 18:33,목,안겹침,0,3,0,CS,평일,0
28,3900.5,122820,86760,356.8,0,0,0,8,59690,7620,0,0,0,0,0,0,0,0,0,0,0,0,9,69290,9600,0,0,0,0,0,0,9,69290,9600,19740,0,강종누락,2,2019-09-30,주간,2019-09-28 7:35,토,겹침,0,7,1,C,주말,0
29,1097.9,10020,7980,776.7,7,103950,14850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,103950,14850,0,0,0,7,103950,14850,0,0,0,900,2,누락없음,2,2019-10-01,주간,2019-09-30 16:26,월,안겹침,0,9,0,A,평일,0
30,693.5,6180,5040,722.3,0,0,0,1,15200,15200,3,25680,8560,0,0,0,0,0,0,0,0,0,6,80080,19600,0,0,0,6,80080,19600,0,0,0,840,1,강종누락,2,2019-10-02,주간,2019-10-01 15:02,화,안겹침,0,7,0,CS,평일,0
31,926.9,6420,6360,554.4,0,0,0,6,40530,7030,0,0,0,0,0,0,0,0,0,0,0,0,6,40530,7030,0,0,0,0,0,0,6,40530,7030,1860,0,누락없음,2,2019-10-03,주간,2019-10-02 19:29,수,안겹침,0,6,0,C,평일,0
32,1450.9,10080,9780,462.6,6,49060,12390,6,43620,7750,0,0,0,0,0,0,0,0,0,0,0,0,12,92680,12390,0,0,0,6,49060,12390,6,43620,7750,3720,0,누락없음,2,2019-10-04,주간,2019-10-03 19:01,목,안겹침,0,6,0,AC,평일,0
33,3185.3,81660,67440,555.3,1,15350,15350,4,48960,12380,0,0,0,0,0,0,0,0,0,0,0,0,5,64310,15350,0,0,0,1,15350,15350,4,48960,12380,92400,0,누락없음,2,2019-10-07,주간,2019-10-05 21:03,토,안겹침,0,12,0,AC,주말,0
34,1729.6,11940,11820,397.6,7,103950,14850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,113550,14850,0,0,0,7,103950,14850,1,9600,9600,16200,1,강종누락,2,2019-10-08,주간,2019-10-07 17:29,월,안겹침,0,5,0,A,평일,0
35,792.1,5340,5160,481.2,7,94360,13480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,94360,13480,0,0,0,7,94360,13480,0,0,0,7260,0,누락없음,2,2019-10-09,주간,2019-10-08 15:53,화,겹침,0,8,7,A,평일,0
36,451.5,3300,3240,557.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,65150,18100,4,65150,18100,4,65150,18100,0,0,0,4,65150,18100,3840,0,누락없음,2,2019-10-10,주간,2019-10-09 15:36,수,안겹침,0,7,0,S,평일,0
37,984.8,8160,6840,716.7,6,89100,14850,1,10700,10700,0,0,0,0,0,0,0,0,0,0,0,0,7,99800,14850,0,0,0,7,99800,14850,0,0,0,9540,1,누락없음,2,2019-10-11,주간,2019-10-10 16:53,목,안겹침,0,4,0,AC,평일,0
38,5065.2,126060,101280,420.6,0,0,0,12,88440,8580,0,0,0,0,0,0,0,0,0,0,0,0,12,88440,8580,0,0,0,0,0,0,12,88440,8580,60240,0,누락없음,2,2019-10-14,주간,2019-10-12 8:04,토,안겹침,0,7,0,C,주말,0
39,420.6,3480,3240,749.5,0,0,0,5,28660,7620,0,0,0,0,0,0,0,0,0,0,0,0,5,28660,7620,0,0,0,4,21040,5260,1,7620,7620,840,0,누락없음,2,2019-10-15,주간,2019-10-14 19:09,월,안겹침,0,12,0,C,평일,0
40,167.5,1860,1800,1020.5,7,103950,14850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,123550,19600,0,0,0,8,123550,19600,0,0,0,8100,0,강종누락,2,2019-10-16,주간,2019-10-15 13:34,화,안겹침,0,5,0,A,평일,0
41,62.4,900,840,980.5,7,103950,14850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,124150,14850,0,0,0,7,103950,14850,2,20200,10100,360,0,강종누락,2,2019-10-17,주간,2019-10-16 14:40,수,안겹침,1,8,0,A,평일,0
42,1152.0,8760,7920,614.6,0,0,0,6,48540,8580,0,0,0,0,0,0,0,0,0,0,0,0,8,79240,15350,0,0,0,8,79240,15350,0,0,0,1980,2,강종누락,2,2019-10-18,주간,2019-10-17 15:24,목,안겹침,0,9,0,C,평일,0
43,7442.1,181800,158580,353.6,0,0,0,9,60120,6730,0,0,0,0,0,0,0,0,0,0,0,0,10,69720,9600,0,0,0,0,0,0,10,69720,9600,59220,1,강종누락,2,2019-10-21,주간,2019-10-19 8:02,토,안겹침,0,8,0,C,주말,0
44,568.9,3960,3900,491.1,0,0,0,0,0,0,0,0,0,0,0,0,3,51300,22100,0,0,0,3,51300,22100,3,51300,22100,3,51300,22100,0,0,0,4440,0,누락없음,2,2019-10-22,주간,2019-10-21 16:19,월,안겹침,0,10,0,C,평일,0
45,1169.8,13020,8640,584.4,7,94360,13480,2,18990,9970,0,0,0,0,0,0,0,0,0,0,0,0,9,113350,13480,0,0,0,7,94360,13480,2,18990,9970,2400,4,누락없음,2,2019-10-23,주간,2019-10-22 19:29,화,안겹침,0,3,0,AC,평일,0
46,1056.7,7620,7200,739.5,7,50060,8100,0,0,0,1,7010,7010,0,0,0,1,18600,18600,0,0,0,9,75670,18600,1,18600,18600,8,57070,8100,1,18600,18600,21420,0,누락없음,2,2019-10-24,주간,2019-10-24 0:55,목,안겹침,0,9,0,ACS,평일,0
47,698.1,5520,5280,776.6,8,76432,9554,0,0,0,0,0,0,0,0,0,1,18600,18600,0,0,0,9,95032,18600,1,18600,18600,8,76432,9554,1,18600,18600,1740,1,누락없음,2,2019-10-25,주간,2019-10-24 18:41,목,안겹침,0,9,0,AC,평일,0
48,4052.7,83820,82500,422.7,5,46720,11700,6,46530,8860,0,0,0,0,0,0,0,0,0,0,0,0,11,93250,11700,0,0,0,7,57810,11700,4,35440,8860,76080,0,누락없음,2,2019-10-28,주간,2019-10-26 16:31,토,안겹침,0,9,0,AC,주말,0
49,140.9,1980,1920,1074.3,7,103950,14850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,103950,14850,0,0,0,7,103950,14850,0,0,0,2340,0,누락없음,2,2019-10-29,주간,2019-10-28 12:12,월,안겹침,0,11,0,A,평일,0
50,1409.8,9900,9540,428.3,6,89100,14850,2,24000,13260,0,0,0,0,0,0,0,0,0,0,0,0,8,113100,14850,0,0,0,6,89100,14850,2,24000,13260,31380,0,누락없음,2,2019-10-30,야간,2019-10-30 3:54,수,안겹침,0,7,0,AC,평일,0
51,239.2,1740,1680,877.1,0,0,0,5,33650,6730,0,0,0,0,0,0,0,0,0,0,0,0,7,72850,19600,0,0,0,2,39200,19600,5,33650,6730,1500,0,강종누락,2,2019-10-31,야간,2019-10-31 2:59,목,안겹침,0,8,0,C,평일,0
52,229.8,2700,2400,891.7,0,0,0,0,0,0,0,0,0,3,46050,15350,0,0,0,0,0,0,4,65400,19350,3,46050,15350,4,65400,19350,0,0,0,40020,1,강종누락,2,2019-11-01,야간,2019-11-01 8:55,금,안겹침,0,7,0,A,평일,0
53,5014.5,115680,107640,446.2,5,53590,12390,2,26720,13360,0,0,0,0,0,0,0,0,0,0,0,0,7,80310,13360,0,0,0,7,80310,13360,0,0,0,79200,0,누락없음,2,2019-11-04,주간,2019-11-02 19:28,토,안겹침,0,4,0,AC,주말,0
54,257.4,2940,2880,909.2,7,103950,14850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,103950,14850,0,0,0,7,103950,14850,0,0,0,15720,0,누락없음,2,2019-11-05,야간,2019-11-05 0:12,화,안겹침,0,7,0,A,평일,0
55,247.0,3180,3120,783.1,8,88800,11100,1,10550,10550,0,0,0,0,0,0,0,0,0,0,0,0,9,99350,11100,0,0,0,9,99350,11100,0,0,0,660,0,누락없음,2,2019-11-06,야간,2019-11-06 1:28,수,안겹침,0,7,0,AC,평일,0
56,356.3,3240,3180,739.0,0,0,0,5,35400,7080,0,0,0,1,14600,14600,0,0,0,0,0,0,8,89200,19600,1,14600,14600,3,53800,19600,5,35400,7080,900,0,강종누락,2,2019-11-07,야간,2019-11-07 1:43,목,안겹침,0,9,0,AC,평일,0
