,가열로 번호,cycle,시작시간,종료시간,가스사용량,Type,소재 list,작업일자,주/야간,평일/주말,in,out,STATUS,drop_flag,gradient,part_types,temp diff,time diff,가열완료 온도,가열중 마지막 문닫힌 시간,가열중 문열림 횟수,뺄시간,시작온도,실제 시작시간,원래시작점온도,이전 종료시간,종료온도,최종 가열시작 온도,평균온도
13,4,11.0,2020-03-17 13:20:00,2020-03-17 13:47:00,158.80000000074506,heat,"['200204-19180-631', '200204-19180-630', '200204-19180-629', '200204-19180-628', '200204-19180-627', '200204-19180-626', '200212-15045-017']",,,,,,OK,0.0,1036.0,increasing 0,466.2000000000001,0.45,1259.0,0,0.0,1.0,792.8,2020-03-17 13:20:00,792.8,2020-03-17 12:58:00,1259.0,0.0,
14,4,12.0,2020-03-18 14:37:00,2020-03-18 16:09:00,814.7999999988824,heat,"['200105-19180-414', '200105-19180-415', '200105-19180-416', '200105-19180-417', '200105-19180-418', '200105-19180-419', '200105-19180-420', '200105-19180-421']",,,,,,DOOR OPENED WHILE HEATING,0.0,299.80434782608694,increasing 0,459.7000000000001,1.5333333333333334,1252.0,2020-03-18 15:02:00,1.0,11.0,792.3,2020-03-18 14:19:00,907.4,2020-03-18 14:08:00,1252.0,812.8,
15,4,13.0,2020-03-19 18:23:00,2020-03-19 19:47:00,831.2000000011176,heat,"['200105-19180-419', '200105-19180-418', '200105-19180-417', '200105-19180-420', '200105-19180-415', '200105-19180-414', '200105-19180-416', '200105-19180-421']",,,,,,OK,0.0,352.71428571428584,increasing 0,493.80000000000007,1.4,1259.4,2020-03-19 18:23:00,0.0,3.0,765.6,2020-03-19 18:23:00,765.6,2020-03-19 15:04:00,1259.4,765.6,
16,4,14.0,2020-03-22 20:15:00,2020-03-23 12:38:00,2600.300000000745,heat,"['200204-19180-639', '200204-19180-638', '200204-19180-641', '200204-19180-640', '200204-19180-644', '200204-19180-643', '200204-19180-642']",,,,,,DOOR OPENED WHILE HEATING,0.0,52.33367243133266,increasing 0,857.4000000000002,16.383333333333333,1260.4,2020-03-23 09:51:00,3.0,263.0,403.0,2020-03-21 07:30:00,622.1,2020-03-20 13:28:00,1260.4,586.7,
17,4,15.0,2020-03-24 06:03:00,2020-03-24 07:32:00,762.5999999996276,heat,"['200204-19180-638', '200204-19180-640', '200204-19180-641', '200204-19180-642', '200204-19180-643', '200204-19180-644', '200204-19180-639']",,,,,,DOOR OPENED WHILE HEATING,0.0,286.58426966292143,increasing 0,425.10000000000014,1.4833333333333334,1257.9,2020-03-24 07:01:00,2.0,11.0,832.8,2020-03-24 06:05:00,876.7,2020-03-24 05:39:00,1257.9,942.1,
18,4,16.0,2020-03-25 01:20:00,2020-03-25 01:51:00,163.5,heat,"['200204-19180-663', '200204-19180-662', '200204-19180-661', '200204-19180-658', '200204-19180-659', '200204-19180-660']",,,,,,OK,0.0,446.1290322580645,increasing 0,230.5,0.5166666666666667,1253.2,2020-03-25 01:20:00,0.0,2.0,1022.7,2020-03-25 01:20:00,1022.7,2020-03-24 23:00:00,1253.2,1022.7,
19,4,17.0,2020-03-26 06:51:00,2020-03-26 07:59:00,676.7999999988824,heat,"['200204-19180-662', '200204-19180-658', '200204-19180-659', '200204-19180-660', '200204-19180-661', '200204-19180-663']",,,,,,OK,0.0,461.3823529411765,increasing 0,522.9,1.1333333333333333,1259.0,0,0.0,2.0,736.1,2020-03-26 06:54:00,875.9,2020-03-26 06:21:00,1259.0,0.0,
20,4,18.0,2020-03-27 05:17:00,2020-03-27 07:10:00,1177.9000000003725,heat,"['191031-19581-004', '200219-19234-004', '200219-19234-004', '200219-19234-004', '200221-19234-030', '200221-19234-030', '200221-19234-030', '200221-19234-030', '200221-19234-030', '200312-11091-001']",,,,,,OK,0.0,244.35398230088498,increasing 0,460.2000000000001,1.8833333333333333,1256.9,0,0.0,0.0,796.7,2020-03-27 05:18:00,812.2,2020-03-27 04:33:00,1256.9,0.0,
21,4,19.0,2020-03-29 10:22:00,2020-03-29 16:21:00,1703.5999999996275,heat,"['191031-19581-004', '200214-15226-012', '200221-19234-030']",,,,,,GAS OFF/TEMP OFF,1.0,97.42061281337048,increasing 0,582.9000000000002,5.9833333333333325,1252.2,0,0.0,7.0,669.3,2020-03-28 08:45:00,722.6,2020-03-28 05:20:00,1252.2,0.0,
22,4,20.0,2020-03-30 20:52:00,2020-03-30 22:21:00,875.8000000007451,heat,"['200316-19234-026', '200219-19234-005', '200219-19234-005', '200219-19234-005', '200224-19151-019']",,,,,,GAS OFF/TEMP OFF,1.0,353.6629213483145,increasing 0,524.5999999999998,1.4833333333333334,1271.8,0,0.0,7.0,747.2,2020-03-30 20:52:00,747.2,2020-03-30 20:19:00,1271.8,0.0,
