,가열로 번호,cycle,시작시간,종료시간,가스사용량,Type,소재 list,작업일자,주/야간,평일/주말,in,out,drop_flag,gradient,part_types,temp diff,time diff,가열완료 온도,가열중 마지막 문닫힌 시간,가열중 문열림 횟수,뺄시간,시작온도,실제 시작시간,원래시작점온도,이전 종료시간,종료온도,최종 가열시작 온도,평균온도,겹침수량,직전 사이클 소재 수량,겹침여부
355,18,83,2020-07-02 05:03:00,2020-07-02 05:18:00,99.8,heat,['200423-99010-007'],2020-07-02,주간,평일,,,0,1533.2,increasing 0,383.3,0.25,1248.5,0,0,1,865.2,2020-07-02 05:02:00,825.6,2020-07-02 05:00:00,1248.5,0,,1,4,겹침
356,18,85,2020-07-06 20:42:00,2020-07-06 21:07:00,323,heat,"['200624-15200-009', '200622-01207-001', '200622-01207-002']",2020-07-07,주간,주말,,,0,551.52,increasing 0,229.8,0.416666667,1253.4,0,0,1,1023.6,2020-07-06 08:30:00,1248.511223,2020-07-03 18:00:00,1253.4,0,,0,4,안겹침
357,18,86,2020-07-07 13:33:00,2020-07-07 14:07:00,223.4,heat,"['200615-19151-001', '200622-01207-001', '200622-01207-002']",2020-07-07,야간,평일,,,0,254.6470588,increasing 0,144.3,0.566666667,1249.4,2020-07-07 13:50:00,1,5,1105.1,2020-07-07 13:29:00,872.4,2020-07-07 13:25:00,1249.4,760.3,,2,3,겹침
358,18,87,2020-07-08 01:46:00,2020-07-08 02:02:00,159.2,heat,"['190910-99010-001', '200414-12161-004', '200624-15200-009', '200414-12161-002', '200212-15045-012']",2020-07-08,야간,평일,,,0,911.625,increasing 0,243.1,0.266666667,1250.4,0,0,1,1007.3,2020-07-08 01:46:00,1007.3,2020-07-07 23:14:00,1250.4,0,,0,3,안겹침
359,18,88,2020-07-09 05:53:00,2020-07-09 06:28:00,259.3,heat,"['200414-12161-002', '200212-15045-012', '200624-15200-009', '200415-70190-004']",2020-07-09,주간,평일,,,0,771.0857143,increasing 0,449.8,0.583333333,1248.3,2020-07-09 06:10:00,1,9,798.5,2020-07-09 05:50:00,845.4,2020-07-09 05:46:00,1248.3,745.1,,3,5,겹침
360,18,89,2020-07-09 16:12:00,2020-07-09 16:28:00,146.6,heat,"['200415-70190-004', '200624-15200-009']",2020-07-09,야간,평일,,,0,1297.5,increasing 0,346,0.266666667,1248.7,0,0,1,902.7,2020-07-09 16:12:00,902.7,2020-07-09 15:52:00,1248.7,0,,2,4,겹침
361,18,90,2020-07-10 04:58:00,2020-07-10 05:16:00,87.5,heat,['200624-15200-009'],2020-07-10,주간,평일,,,0,558,increasing 0,167.4,0.3,1250.5,0,0,1,1083.1,2020-07-10 04:56:00,899,2020-07-10 04:52:00,1250.5,0,,1,2,겹침
362,18,91,2020-07-12 01:55:00,2020-07-12 04:16:00,379,heat,"['200701-19955-003', '200701-19955-004', '200415-70190-003', '200624-15200-007']",2020-07-13,주간,주말,,,0,97.61702128,increasing 0,229.4,2.35,648.5,0,0,29,419.1,2020-07-11 07:00:00,490,2020-07-10 08:21:00,648.5,0,,0,4,안겹침
363,19,1,2020-03-11 08:47:00,2020-03-11 09:29:00,480.6,heat,"['200116-17035-001', '200121-19151-001', '191227-17035-001']",2020-03-11,야간,평일,,,0,885.4285714,increasing 0,619.8,0.7,1247.8,0,0,3,628,2020-03-11 08:47:00,628,2020-03-11 03:37:00,1247.8,0,,0,1,안겹침
364,19,2,2020-03-12 04:40:00,2020-03-12 05:27:00,333.2,heat,"['191227-17035-001', '200116-17035-001', '200121-19151-001']",2020-03-12,주간,평일,,,0,370.5957447,increasing 0,290.3,0.783333333,1257.2,2020-03-12 05:04:00,1,7,966.9,2020-03-12 04:37:00,995.9,2020-03-12 04:36:00,1257.2,879.4,,3,3,겹침
