,°¡¿­·Î ¹øÈ£,cycle,½ÃÀÛ½Ã°£,Á¾·á½Ã°£,°¡½º»ç¿ë·®,Type,¼ÒÀç list,ÀÛ¾÷ÀÏÀÚ,ÁÖ/¾ß°£,ÆòÀÏ/ÁÖ¸»,in,out,drop_flag,gradient,part_types,temp diff,time diff,°¡¿­¿Ï·á ¿Âµµ,°¡¿­Áß ¸¶Áö¸· ¹®´ÝÈù ½Ã°£,°¡¿­Áß ¹®¿­¸² È½¼ö,»¬½Ã°£,½ÃÀÛ¿Âµµ,½ÇÁ¦ ½ÃÀÛ½Ã°£,¿ø·¡½ÃÀÛÁ¡¿Âµµ,ÀÌÀü Á¾·á½Ã°£,Á¾·á¿Âµµ,ÃÖÁ¾ °¡¿­½ÃÀÛ ¿Âµµ,Æò±Õ¿Âµµ,°ãÄ§¼ö·®,Á÷Àü »çÀÌÅ¬ ¼ÒÀç ¼ö·®,°ãÄ§¿©ºÎ
0,1,0.0,2020-03-02 07:35:00,2020-03-02 10:44:00,708.6999999992549,hold,[],,,,,,0.0,,,,,,,,,1254.1,,,,1254.5,,1252.9715789473685,0,0.0,¾È°ãÄ§
1,1,0.0,2020-03-02 10:59:00,2020-03-03 04:48:00,1805.7999999998135,hold,[],,,,,,0.0,,,,,,,,,1253.5,,,,1258.5,,1255.84,2,2.0,°ãÄ§
2,1,0.0,2020-03-03 05:01:00,2020-03-03 06:14:00,123.6000000005588,hold,[],,,,,,0.0,,,,,,,,,1263.6,,,,1287.4,,1275.7918918918915,2,2.0,°ãÄ§
3,1,0.0,2020-03-03 06:24:00,2020-03-03 06:26:00,3.599999999627471,hold,[],,,,,,0.0,,,,,,,,,1282.8,,,,1284.2,,1277.6,2,2.0,°ãÄ§
4,1,0.0,2020-03-03 06:44:00,2020-03-03 06:46:00,5.400000000372528,hold,[],,,,,,0.0,,,,,,,,,1287.5,,,,1284.4,,1282.5666666666666,2,2.0,°ãÄ§
5,1,0.0,2020-03-03 07:02:00,2020-03-03 07:08:00,12.5,hold,[],,,,,,0.0,,,,,,,,,1287.0,,,,1282.4,,1275.6857142857139,2,2.0,°ãÄ§
6,1,0.0,2020-03-03 07:27:00,2020-03-03 07:32:00,9.0,hold,[],,,,,,0.0,,,,,,,,,1278.2,,,,1284.0,,1278.3333333333333,2,2.0,°ãÄ§
7,1,0.0,2020-03-03 08:10:00,2020-03-03 08:26:00,28.699999999254945,hold,[],,,,,,0.0,,,,,,,,,1268.4,,,,1269.3,,1255.9176470588236,2,2.0,°ãÄ§
8,1,1.0,2020-03-04 07:32:00,2020-03-04 20:11:00,1841.0,hold,"['200204-19411-029', '200204-19411-029', '200204-19411-029', '200204-19411-029']",2020-03-04,¾ß°£,,,,0.0,,,,,,,,,1258.9,,,,1265.0,,1257.5400657894736,2,2.0,°ãÄ§
9,1,1.0,2020-03-04 20:25:00,2020-03-05 04:35:00,874.7000000001863,hold,"['200204-19411-029', '200204-19411-029', '200204-19411-029', '200204-19411-029']",2020-03-04,¾ß°£,,,,0.0,,,,,,,,,1264.7,,,,1284.8,,1278.923421588595,80,80.0,°ãÄ§
