,가열로명,가열시작일시,가열종료일시,단위가스사용량(사용량/중량),소요시간(분),소재개수,순번,시작온도,작업일자,종료온도,주/야간,중량(kg),총가스사용량,최대중량(kg),최대홀딩시간,최소홀딩시간,프레스명,DETECTED,STATUS
0,가열로1호기,2020-02-29 08:20,2020-03-03 08:40,115.1,4340.0,7.0,1.0,-,2020-03-02,-,야간,60550.0,6968.2,8650.0,13.0,12.0,프레스(P5000),NOT FOUND,
1,가열로1호기,2020-03-04 02:30,2020-03-05 06:36,134.4,1686.0,4.0,47.0,-,2020-03-04,-,야간,32960.0,4429.5,8240.0,13.0,12.0,프레스(P5000),FOUND,DOOR OPENED WHILE HEATING
2,가열로1호기,2020-03-05 06:50,2020-03-06 06:40,61.3,1430.0,7.0,68.0,-,2020-03-05,-,야간,56330.0,3451.5,8240.0,13.0,12.0,프레스(P5000),FOUND,DOOR OPENED WHILE HEATING
3,가열로1호기,2020-03-06 06:45,2020-03-07 05:54,166.4,1389.0,1.0,88.0,-,2020-03-06,-,야간,13970.0,2324.1,13970.0,12.0,12.0,프레스(P5000),FOUND,DOOR OPENED WHILE HEATING
4,가열로1호기,2020-03-07 07:00,2020-03-10 06:34,91.1,4294.0,7.0,112.0,-,2020-03-09,-,야간,57050.0,5196,8250.0,12.0,12.0,프레스(P5000),FOUND,OK
5,가열로1호기,2020-03-10 06:40,2020-03-11 05:36,76.3,1376.0,6.0,135.0,-,2020-03-10,-,야간,39795.0,3036.6,8611.0,13.0,12.0,프레스(P5000),FOUND,DOOR OPENED WHILE HEATING
6,가열로1호기,2020-03-12 18:00,2020-03-13 17:59,0.0,1439.0,1.0,202.0,-,2020-03-13,-,주간,9554.0,0,9554.0,12.0,12.0,프레스(P5000),NOT FOUND,
7,가열로1호기,2020-03-14 07:00,2020-03-17 06:45,171.4,4305.0,9.0,223.0,-,2020-03-16,-,야간,50130.0,8590.1,5570.0,13.0,12.0,프레스(P5000),FOUND,DOOR OPENED WHILE HEATING
8,가열로1호기,2020-03-17 06:50,2020-03-18 06:30,105.6,1420.0,3.0,247.0,-,2020-03-17,-,야간,23630.0,2494.8,13930.0,13.0,12.0,프레스(P5000),FOUND,OK
9,가열로1호기,2020-03-19 03:33,2020-03-20 06:49,72.4,1636.0,8.0,281.0,-,2020-03-19,-,야간,59690.0,4324.3,9760.0,13.0,12.0,프레스(P5000),FOUND,DOOR OPENED WHILE HEATING
10,가열로1호기,2020-03-20 07:09,2020-03-21 05:34,96.2,1345.0,3.0,299.0,-,2020-03-20,-,야간,29060.0,2794.6,10530.0,13.0,12.0,프레스(P5000),FOUND,DOOR OPENED WHILE HEATING
11,가열로1호기,2020-03-21 07:30,2020-03-23 22:39,96.7,3789.0,4.0,320.0,-,2020-03-23,-,야간,43730.0,4228.1,13930.0,13.0,12.0,프레스(P5000),FOUND,DOOR OPENED WHILE HEATING
12,가열로1호기,2020-03-24 02:37,2020-03-25 06:07,63.7,1650.0,8.0,340.0,-,2020-03-24,-,야간,62880.0,4005.4,8030.0,13.0,12.0,프레스(P5000),FOUND,OK
13,가열로1호기,2020-03-25 06:56,2020-03-25 23:42,78.4,1006.0,4.0,360.0,-,2020-03-25,-,야간,31150.0,2441.7,9310.0,13.0,12.0,프레스(P5000),FOUND,DOOR OPENED WHILE HEATING
14,가열로1호기,2020-03-26 03:44,2020-03-27 00:36,101.8,1252.0,4.0,380.0,-,2020-03-26,-,야간,26700.0,2716.8,8500.0,13.0,12.0,프레스(P5000),FOUND,DOOR OPENED WHILE HEATING
15,가열로1호기,2020-03-27 02:42,2020-03-27 19:59,38.0,1037.0,10.0,396.0,-,2020-03-27,-,야간,80700.0,3066.6,8070.0,13.0,12.0,프레스(P5000),FOUND,DOOR OPENED WHILE HEATING
16,가열로1호기,2020-03-28 09:06,2020-03-31 06:41,127.1,4175.0,5.0,416.0,-,2020-03-30,-,야간,45550.0,5787.5,10300.0,13.0,12.0,프레스(P5000),FOUND,DOOR OPENED WHILE HEATING
17,가열로1호기,2020-03-31 06:55,2020-04-01 07:13,57.4,1458.0,5.0,434.0,-,2020-03-31,-,야간,58640.0,3364.2,14100.0,13.0,12.0,프레스(P5000),FOUND,DOOR OPENED WHILE HEATING
18,가열로1호기,2020-04-01 08:56,2020-04-02 06:40,110.1,1304.0,2.0,450.0,-,2020-04-01,-,야간,19430.0,2138.5,10300.0,12.0,12.0,프레스(P5000),FOUND,OK
19,가열로1호기,2020-04-05 07:20,2020-04-07 07:21,118.5,2881.0,4.0,537.0,-,2020-04-06,-,주간,41200.0,4883.1,10300.0,13.0,12.0,프레스(P5000),FOUND,DOOR OPENED WHILE HEATING
20,가열로1호기,2020-04-14 06:30,2020-04-15 06:25,72.8,1435.0,5.0,666.0,-,2020-04-14,-,야간,43130.0,3140,12410.0,13.0,12.0,프레스(P5000),FOUND,OK
21,가열로1호기,2020-04-15 06:49,2020-04-16 01:40,42.9,1131.0,6.0,687.0,-,2020-04-15,-,야간,58630.0,2515.4,12410.0,13.0,12.0,프레스(P5000),FOUND,OK
22,가열로1호기,2020-04-16 02:45,2020-04-17 02:00,61.8,1395.0,8.0,708.0,-,2020-04-16,-,야간,47160.0,2913.3,7220.0,13.0,12.0,프레스(P5000),FOUND,OK
23,가열로1호기,2020-04-17 07:00,2020-04-18 06:30,51.0,1410.0,10.0,726.0,-,2020-04-17,-,야간,76350.0,3895.5,7950.0,13.0,12.0,프레스(P5000),FOUND,OK
24,가열로1호기,2020-04-19 07:30,2020-04-20 15:56,101.7,1946.0,7.0,742.0,-,2020-04-20,-,주간,43580.0,4434.1,7800.0,13.0,12.0,프레스(P5000),FOUND,GAS OFF/TEMP OFF
25,가열로1호기,2020-04-21 07:01,2020-04-21 23:36,131.4,995.0,3.0,769.0,-,2020-04-21,-,야간,24590.0,3231.5,8590.0,12.0,12.0,프레스(P5000),FOUND,DOOR OPENED WHILE HEATING
26,가열로1호기,2020-04-23 01:35,2020-04-24 06:52,85.2,1757.0,8.0,803.0,-,2020-04-23,-,야간,48580.0,4136.6,8000.0,13.0,12.0,프레스(P5000),FOUND,OK
27,가열로1호기,2020-04-24 07:00,2020-04-24 23:21,73.3,981.0,5.0,824.0,-,2020-04-24,-,야간,28290.0,2073.1,7250.0,12.0,12.0,프레스(P5000),FOUND,OK
28,가열로1호기,2020-04-25 05:21,2020-04-26 06:05,62.4,1484.0,8.0,850.0,-,2020-04-25,-,야간,51600.0,3218.2,6450.0,12.0,12.0,프레스(P5000),FOUND,OK
29,가열로1호기,2020-04-26 07:56,2020-04-27 08:44,60.6,1488.0,9.0,875.0,-,2020-04-27,-,주간,50580.0,3063.8,5620.0,12.0,12.0,프레스(P5000),FOUND,OK
