,½®½Ã°£Æ÷ÇÔ_MLP_5_5_½Ã°£(ÃÑ),½®½Ã°£Æ÷ÇÔ_KNN_5_5_½Ã°£(ÃÑ),½®½Ã°£Á¦¿Ü_MLP_5_5_½Ã°£(ÃÑ),½®½Ã°£Á¦¿Ü_KNN_5_5_½Ã°£(ÃÑ)
0,4.681397914886475,11.121270050713399,4.183157920837402,10.604660898266935
1,1.8028044700622559,11.748536220662036,1.7068710327148438,11.931178129208748
2,3.2860612869262695,10.750786694732357,2.4165663719177246,10.425147274398233
3,3.3343605995178223,9.732308409676287,3.1723263263702393,8.974610693808655
4,3.662949562072754,12.151711725370301,4.842362403869629,11.986869798543148
5,3.0866832733154297,9.29594843388899,1.359161138534546,8.521126765450447
6,3.1776366233825684,14.150160020466284,3.569589376449585,14.479084069526515
7,3.9529175758361816,11.298485303005508,4.117093563079834,10.613603538696
8,1.615523338317871,8.881810411949367,2.2284131050109863,9.816812564356153
9,1.8598905801773071,9.2466233525946,2.726208448410034,8.592902579061175
average,3.0460225224494932,10.837764062305911,3.0321749687194823,10.5945996311316
