,가열로번호,cycle,에너지,가열시작시간,가열종료시간,시간(총),eps,시작온도,종료온도,장입소재개수,장입중량총합,장입최대중량,gradient,temp_diff,time_diff,강종,강종_ALLOY,강종_CARBON,강종_SUS,쉰시간,A_num,A_sum,A_max,C_num,C_sum,C_max,S_num,S_sum,S_max,H_A_num,H_A_sum,H_A_max,H_C_num,H_C_sum,H_C_max,H_S_num,H_S_sum,H_S_max,열괴장입소재개수,열괴장입중량총합,열괴장입최대중량,민감소재장입개수,민감소재중량총합,민감소재최대중량,비민감소재장입개수,비민감소재중량총합,비민감소재최대중량,문열림횟수,drop,시간(0제외),작업일자,주/야간,요일,겹침여부,민감비고,직전 사이클 소재 수량,겹치는 소재 수량,강종종류,주말여부,에러발생
0,13,103,226.9,2020-05-13 09:21:00,2020-05-13 09:50:00,1740,0.130402299,828.1,1252.9,1,88000,88000,878.8965517000001,424.8,0.483333333,CARBON,0,1,0,600,0,0,0,1,88000,88000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,88000,88000,0,누락없음,1680,5/14/2020,주간,수,겹침,이상없음,1,1,C,평일,0
1,13,121,4432.6,2020-06-23 14:20:00,2020-06-23 23:45:00,33900,0.13075516199999998,749.3,1250.9,1,56280,56280,53.26725664,501.6,9.416666667000001,ALLOY,1,0,0,1980,1,56280,56280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,56280,56280,0,0,0,0,누락없음,33000,6/25/2020,주간,화,겹침,이상없음,1,1,A,평일,0
2,13,147,2213.4,2020-08-31 13:09:00,2020-08-31 17:50:00,16860,0.131281139,46.8,1257.7,3,112800,49100,258.55516009999997,1210.9,4.683333333,ALLOY,1,0,0,326880,3,112800,49100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,112800,49100,0,0,0,0,누락없음,14160,9/1/2020,주간,월,안겹침,이상없음,6,0,A,주말,0
3,13,31,5124.9,2020-02-11 00:57:00,2020-02-11 11:42:00,38700,0.132426357,359.7,1242.4,3,219200,120000,82.11162791,882.7,10.75,CARBON,0,1,0,19800,0,0,0,2,99200,49600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,120000,120000,2,99200,49600,1,강종누락,36600,2/11/2020,주간,화,겹침,이상없음,3,3,C,평일,0
4,13,11,177.2,2020-01-13 13:20:00,2020-01-13 13:42:00,1320,0.134242424,871.1,1258.0,2,93780,50445,1055.181818,386.9,0.36666666700000006,CARBON,0,1,0,480,0,0,0,2,93780,50445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,93780,50445,0,0,0,0,누락없음,1260,1/13/2020,주간,월,겹침,이상없음,2,2,C,평일,0
5,13,26,739.8,2020-02-03 10:21:00,2020-02-03 11:52:00,5460,0.135494505,1000.8,1254.6,7,217600,44600,167.3406593,253.8,1.516666667,CARBON,0,1,0,420,0,0,0,4,142600,44600,2,50000,25000,0,0,0,0,0,0,0,0,0,0,0,0,1,44600,44600,6,173000,36000,3,강종누락,4920,2/3/2020,야간,월,겹침,이상없음,6,4,CS,평일,0
6,13,50,2366.7,2020-03-06 05:09:00,2020-03-06 09:59:00,17400,0.13601724099999998,480.5,1258.6,6,111850,19920,160.9862069,778.1,4.833333333,CARBON,0,1,0,2580,0,0,0,6,111850,19920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,111850,19920,1,누락없음,12360,3/6/2020,야간,금,안겹침,이상없음,1,0,C,평일,0
7,13,144,1751.5,2020-08-17 09:15:00,2020-08-17 12:48:00,12780,0.13705007800000002,358.8,1254.9,1,56280,56280,252.4225352,896.1,3.55,ALLOY,1,0,0,30420,1,56280,56280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,56280,56280,0,0,0,1,누락없음,9420,8/17/2020,야간,월,겹침,이상없음,1,1,A,평일,0
8,13,43,242.5,2020-02-28 14:20:00,2020-02-28 14:49:00,1740,0.139367816,985.4,1252.7,2,51900,25950,553.0344828,267.3,0.483333333,CARBON,0,1,0,2880,0,0,0,2,51900,25950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,51900,25950,0,누락없음,1620,2/28/2020,주간,금,겹침,이상없음,2,2,C,평일,0
9,13,95,1680.1,2020-04-27 11:56:00,2020-04-27 15:16:00,12000,0.140008333,1002.9,1258.4,1,50000,50000,76.65,255.5,3.333333333,CARBON,0,1,0,44280,0,0,0,1,50000,50000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,50000,50000,3,누락없음,-8280,4/28/2020,야간,월,겹침,이상없음,1,1,C,평일,0
10,13,67,3030.8,2020-03-20 03:14:00,2020-03-20 09:09:00,21300,0.14229108,656.4,1256.4,3,169414,76964,101.4084507,600.0,5.916666667,ALLOY,1,0,0,50160,1,76964,76964,0,0,0,2,92450,58600,0,0,0,0,0,0,0,0,0,0,0,0,1,76964,76964,2,92450,58600,0,누락없음,21120,3/20/2020,야간,금,안겹침,이상없음,2,0,AS,평일,0
11,13,14,214.0,2020-01-15 01:14:00,2020-01-15 01:39:00,1500,0.142666667,747.2,1251.3,2,51900,25950,1209.84,504.1,0.41666666700000005,CARBON,0,1,0,960,0,0,0,2,51900,25950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,51900,25950,0,누락없음,1440,1/14/2020,야간,수,겹침,이상없음,2,2,C,평일,0
12,13,35,4445.0,2020-02-17 16:17:00,2020-02-18 00:56:00,31140,0.14274245300000002,178.7,1259.2,5,159500,38100,124.91329479999999,1080.5,8.65,ALLOY,1,0,0,224040,5,159500,38100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,159500,38100,0,0,0,3,누락없음,24840,2/18/2020,야간,월,안겹침,이상없음,6,0,A,주말,0
13,13,20,228.0,2020-01-29 13:46:00,2020-01-29 14:12:00,1560,0.146153846,852.7,1252.1,2,51900,25950,921.6923077,399.4,0.433333333,CARBON,0,1,0,720,0,0,0,2,51900,25950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,51900,25950,0,누락없음,1500,1/29/2020,야간,수,안겹침,이상없음,3,0,C,평일,0
14,13,2,272.2,2020-01-06 10:49:00,2020-01-06 11:20:00,1860,0.14634408599999998,701.5,1253.9,6,65592,25950,1069.16129,552.4,0.5166666670000001,CARBON,0,1,0,101940,0,0,0,6,65592,25950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,65592,25950,0,누락없음,1740,1/6/2020,주간,월,안겹침,이상없음,4,0,C,주말,0
15,13,102,544.9,2020-05-12 13:58:00,2020-05-12 15:00:00,3720,0.146478495,644.4,1252.0,1,88000,88000,588.0,607.6,1.033333333,CARBON,0,1,0,1800,0,0,0,1,88000,88000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,88000,88000,1,누락없음,3480,5/13/2020,주간,화,안겹침,이상없음,3,0,C,평일,0
16,13,101,2347.4,2020-05-12 04:09:00,2020-05-12 08:36:00,16020,0.146529338,716.4,1252.3,3,178315,86615,120.42696629999999,535.9,4.45,CARBON,0,1,0,660,0,0,0,3,178315,86615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,178315,86615,3,누락없음,14340,5/12/2020,주간,화,안겹침,이상없음,1,0,C,평일,0
17,13,90,321.4,2020-04-17 01:11:00,2020-04-17 01:47:00,2160,0.148796296,683.0,1251.6,2,48200,24100,947.6666667000002,568.6,0.6,CARBON,0,1,0,540,0,0,0,2,48200,24100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,48200,24100,0,누락없음,1980,4/16/2020,야간,금,겹침,이상없음,2,2,C,평일,0
18,13,21,492.0,2020-01-29 22:53:00,2020-01-29 23:48:00,3300,0.149090909,606.5,1251.8,2,51900,25950,703.9636364,645.3,0.916666667,CARBON,0,1,0,1140,0,0,0,2,51900,25950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,51900,25950,1,누락없음,3060,1/30/2020,주간,수,겹침,이상없음,2,2,C,평일,0
19,13,151,377.5,2020-09-04 15:08:00,2020-09-04 15:50:00,2520,0.14980158699999999,708.1,1237.7,4,95050,28350,756.5714286,529.6,0.7,SUS,0,0,1,480,0,0,0,0,0,0,3,85050,28350,0,0,0,0,0,0,0,0,0,0,0,0,3,85050,28350,1,10000,10000,1,강종누락,2340,9/4/2020,야간,금,겹침,이상없음,5,4,S,평일,0
20,13,37,207.6,2020-02-19 23:07:00,2020-02-19 23:30:00,1380,0.15043478300000002,766.6,1257.4,2,71000,35500,1280.347826,490.8,0.38333333299999994,CARBON,0,1,0,900,0,0,0,2,71000,35500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,71000,35500,0,누락없음,1320,2/20/2020,주간,수,겹침,이상없음,4,2,C,평일,0
21,13,64,842.6,2020-03-17 13:38:00,2020-03-17 15:11:00,5580,0.151003584,891.6,1251.3,2,139564,76964,232.0645161,359.7,1.55,CARBON,0,1,0,23400,1,76964,76964,1,62600,62600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,139564,76964,0,0,0,1,누락없음,4620,3/18/2020,주간,화,안겹침,이상없음,1,0,AC,평일,0
22,13,15,2003.3,2020-01-20 10:37:00,2020-01-20 14:13:00,12960,0.154575617,35.4,1001.8,2,60960,30480,268.44444439999995,966.4,3.6,ALLOY,1,0,0,189480,2,60960,30480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,60960,30480,4,누락없음,11820,1/20/2020,야간,월,안겹침,이상없음,2,0,A,주말,0
23,13,80,308.3,2020-04-03 05:39:00,2020-04-03 06:12:00,1980,0.155707071,848.7,1251.5,1,25950,25950,732.3636364,402.8,0.55,CARBON,0,1,0,720,0,0,0,1,25950,25950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,25950,25950,0,누락없음,1920,4/3/2020,주간,금,겹침,이상없음,1,1,C,평일,0
24,13,27,224.4,2020-02-03 23:07:00,2020-02-03 23:31:00,1440,0.15583333300000002,854.2,1253.1,3,98000,36000,997.25,398.9,0.4,CARBON,0,1,0,420,0,0,0,3,98000,36000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,98000,36000,0,누락없음,1380,2/4/2020,주간,월,겹침,이상없음,7,3,C,주말,0
25,13,49,318.6,2020-03-04 21:44:00,2020-03-04 22:18:00,2040,0.15617647099999998,760.1,1252.6,1,67500,67500,869.1176471000001,492.5,0.566666667,CARBON,0,1,0,660,0,0,0,1,67500,67500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,67500,67500,0,누락없음,1980,3/5/2020,야간,수,겹침,이상없음,1,1,C,평일,0
26,13,153,516.0,2020-09-08 02:32:00,2020-09-08 03:27:00,3300,0.156363636,753.1,1258.2,4,144200,44500,551.0181818,505.1,0.916666667,CARBON,0,1,0,600,2,89000,44500,2,55200,27600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,144200,44500,0,0,0,1,누락없음,3000,9/8/2020,주간,화,겹침,이상없음,6,4,AC,평일,0
27,13,152,2808.0,2020-09-07 11:23:00,2020-09-07 16:21:00,17880,0.15704698,61.3,1257.7,6,199400,44500,240.885906,1196.4,4.966666667,CARBON,0,1,0,194040,2,89000,44500,4,110400,27600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,199400,44500,0,0,0,2,누락없음,17100,9/7/2020,야간,월,안겹침,이상없음,4,0,AC,주말,0
28,13,78,465.9,2020-04-02 20:13:00,2020-04-02 21:02:00,2940,0.15846938800000002,444.9,1007.4,1,25950,25950,688.7755102000001,562.5,0.816666667,CARBON,0,1,0,49380,0,0,0,1,25950,25950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,25950,25950,0,누락없음,2760,4/2/2020,야간,목,안겹침,이상없음,1,0,C,평일,0
29,13,23,191.2,2020-01-31 01:45:00,2020-01-31 02:05:00,1200,0.159333333,761.2,1256.6,6,59168,25950,1486.2,495.4,0.333333333,CARBON,0,1,0,660,0,0,0,6,59168,25950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,59168,25950,0,누락없음,1140,1/30/2020,야간,금,겹침,이상없음,6,6,C,평일,0
30,13,57,211.8,2020-03-11 23:50:00,2020-03-12 00:12:00,1320,0.160454545,757.2,1207.0,11,102140,12810,1226.727273,449.8,0.36666666700000006,CARBON,0,1,0,1080,0,0,0,11,102140,12810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,102140,12810,0,누락없음,1260,3/11/2020,야간,수,겹침,이상없음,11,11,C,평일,0
31,13,45,511.6,2020-03-02 19:13:00,2020-03-02 20:06:00,3180,0.160880503,575.7,1260.3,2,57850,31900,775.0188678999999,684.6,0.8833333329999999,CARBON,0,1,0,1740,1,31900,31900,1,25950,25950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,57850,31900,1,누락없음,2880,3/2/2020,야간,월,겹침,이상없음,2,2,AC,평일,0
32,13,87,1963.5,2020-04-08 20:51:00,2020-04-09 00:14:00,12180,0.161206897,667.5,1259.1,5,167500,35600,174.8571429,591.6,3.383333333,ALLOY,1,0,0,780,3,98800,35600,2,68700,34350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,98800,35600,2,68700,34350,2,누락없음,10620,4/9/2020,야간,수,안겹침,이상없음,1,0,AC,평일,0
33,13,98,396.8,2020-04-30 04:09:00,2020-04-30 04:50:00,2460,0.16130081300000002,711.5,1252.0,1,32700,32700,790.9756097999999,540.5,0.683333333,ALLOY,1,0,0,540,1,32700,32700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,32700,32700,0,0,0,0,누락없음,2400,4/29/2020,야간,목,겹침,이상없음,1,1,A,평일,0
34,13,22,428.4,2020-01-30 18:43:00,2020-01-30 19:27:00,2640,0.162272727,571.5,1252.2,6,59168,25950,928.2272727,680.7,0.7333333329999999,CARBON,0,1,0,1740,0,0,0,6,59168,25950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,59168,25950,0,누락없음,2460,1/30/2020,야간,목,겹침,이상없음,2,2,C,평일,0
35,13,77,263.1,2020-04-02 01:13:00,2020-04-02 01:40:00,1620,0.162407407,725.7,1255.2,1,30480,30480,1176.666667,529.5,0.45,ALLOY,1,0,0,360,1,30480,30480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,30480,30480,0,누락없음,1560,4/1/2020,야간,목,겹침,이상없음,1,1,A,평일,0
