,가열로번호,cycle,에너지,가열시작시간,가열종료시간,시간(총),eps,시작온도,종료온도,장입소재개수,장입중량총합,장입최대중량,gradient,temp_diff,time_diff,강종,강종_ALLOY,강종_CARBON,강종_SUS,쉰시간,A_num,A_sum,A_max,C_num,C_sum,C_max,S_num,S_sum,S_max,H_A_num,H_A_sum,H_A_max,H_C_num,H_C_sum,H_C_max,H_S_num,H_S_sum,H_S_max,열괴장입소재개수,열괴장입중량총합,열괴장입최대중량,민감소재장입개수,민감소재중량총합,민감소재최대중량,비민감소재장입개수,비민감소재중량총합,비민감소재최대중량,문열림횟수,drop,시간(0제외),작업일자,주/야간,요일,겹침여부,민감비고,직전 사이클 소재 수량,겹치는 소재 수량,강종종류,주말여부,에러발생
0,20,76,296.8,2020-04-13 18:36:00,2020-04-13 19:17:00,2460,0.12065040699999999,1014.1,1250.5,4,112550,31500,345.9512195,236.4,0.683333333,ALLOY,1,0,0,720,2,51700,27900,2,60850,31500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,51700,27900,2,60850,31500,1,누락없음,2220,4/13/2020,야간,월,겹침,이상없음,6,4,AC,평일,0
1,20,17,305.7,2020-01-21 16:38:00,2020-01-21 17:20:00,2520,0.121309524,855.6,1256.9,2,160209,101109,573.2857142999999,401.3,0.7,ALLOY,1,0,0,420,2,160209,101109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,160209,101109,1,누락없음,2220,1/22/2020,주간,화,겹침,이상없음,3,2,A,평일,0
2,20,119,177.3,2020-06-09 21:26:00,2020-06-09 21:50:00,1440,0.123125,929.5,1257.2,4,209950,70100,819.25,327.7,0.4,CARBON,0,1,0,720,0,0,0,4,209950,70100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,209950,70100,0,누락없음,1380,6/10/2020,야간,화,안겹침,이상없음,2,0,C,평일,0
3,20,13,289.0,2020-01-16 02:45:00,2020-01-16 03:24:00,2340,0.123504274,869.1,1253.2,3,160959,101109,590.9230769,384.1,0.65,ALLOY,1,0,0,300,2,125209,101109,1,35750,35750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,24100,24100,2,136859,101109,1,누락없음,1980,1/16/2020,주간,목,겹침,이상없음,4,3,AC,평일,0
4,20,148,111.4,2020-07-16 11:24:00,2020-07-16 11:39:00,900,0.123777778,888.4,1253.9,3,109740,39800,1462.0,365.5,0.25,ALLOY,1,0,0,480,1,30140,30140,2,79600,39800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,30140,30140,2,79600,39800,0,누락없음,840,7/16/2020,야간,목,겹침,이상없음,4,2,AC,평일,0
5,20,162,89.2,2020-08-12 15:46:00,2020-08-12 15:58:00,720,0.123888889,1147.2,1252.1,4,107790,42600,524.5,104.9,0.2,CARBON,0,1,0,780,0,0,0,4,107790,42600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,107790,42600,0,누락없음,720,8/12/2020,야간,수,겹침,이상없음,3,2,C,평일,0
6,20,172,171.3,2020-08-21 13:47:00,2020-08-21 14:10:00,1380,0.124130435,896.0,1251.7,2,89200,44600,927.9130435000001,355.7,0.38333333299999994,CARBON,0,1,0,840,0,0,0,2,89200,44600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,89200,44600,0,누락없음,1320,8/21/2020,야간,금,겹침,이상없음,4,2,C,평일,0
7,20,136,104.7,2020-07-03 05:03:00,2020-07-03 05:17:00,840,0.124642857,918.1,1255.2,3,91900,41000,1444.714286,337.1,0.233333333,CARBON,0,1,0,300,0,0,0,3,91900,41000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,91900,41000,0,누락없음,780,7/3/2020,야간,금,안겹침,이상없음,3,0,C,평일,0
8,20,145,104.7,2020-07-14 04:10:00,2020-07-14 04:24:00,840,0.124642857,1016.7,1253.6,3,117490,86000,1015.2857140000001,236.9,0.233333333,SUS,0,0,1,480,0,0,0,1,86000,86000,2,31490,15990,0,0,0,0,0,0,0,0,0,0,0,0,2,31490,15990,1,86000,86000,0,누락없음,780,7/14/2020,주간,화,겹침,이상없음,2,1,CS,평일,0
9,20,180,337.6,2020-08-31 21:55:00,2020-08-31 22:40:00,2700,0.125037037,830.3,1255.0,4,138900,36600,566.2666667000001,424.7,0.75,CARBON,0,1,0,360,0,0,0,4,138900,36600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,36600,36600,3,102300,34100,1,누락없음,2340,9/1/2020,주간,월,겹침,이상없음,4,4,C,평일,0
10,20,127,3885.8,2020-06-21 04:19:00,2020-06-21 12:55:00,30960,0.125510336,437.5,1250.6,6,142180,50000,94.54651163,813.1,8.6,ALLOY,1,0,0,83520,2,80140,50000,3,51810,31500,1,10230,10230,0,0,0,0,0,0,0,0,0,0,0,0,2,80140,50000,4,62040,31500,0,누락없음,30120,6/22/2020,주간,일,안겹침,이상없음,8,0,ACS,주말,0
11,20,57,166.4,2020-03-24 18:13:00,2020-03-24 18:35:00,1320,0.126060606,1006.9,1240.6,1,9130,9130,637.3636364,233.7,0.36666666700000006,SUS,0,0,1,360,0,0,0,0,0,0,1,9130,9130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9130,9130,1,누락없음,1140,3/24/2020,야간,화,겹침,이상없음,6,1,S,평일,0
12,20,70,343.4,2020-04-07 16:28:00,2020-04-07 17:13:00,2700,0.127185185,949.0,1247.7,3,112300,38600,398.2666667,298.7,0.75,CARBON,0,1,0,420,0,0,0,3,112300,38600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,112300,38600,0,0,0,1,누락없음,2520,4/7/2020,야간,화,겹침,이상없음,5,3,C,평일,0
13,20,64,194.7,2020-04-01 16:39:00,2020-04-01 17:04:00,1500,0.1298,672.6,1259.2,3,180800,61600,1407.84,586.6,0.41666666700000005,CARBON,0,1,0,660,1,59100,59100,2,121700,61600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,120700,61600,1,60100,60100,0,누락없음,1440,4/2/2020,주간,수,안겹침,이상없음,8,0,AC,평일,0
14,20,87,4034.9,2020-04-27 10:18:00,2020-04-27 18:55:00,31020,0.130074146,145.1,1222.2,6,130260,22930,125.0019342,1077.1,8.616666667,ALLOY,1,0,0,155460,3,63300,21100,2,45860,22930,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,84400,21100,2,45860,22930,2,강종누락,28980,4/28/2020,주간,월,안겹침,이상없음,3,0,AC,주말,0
15,20,34,320.7,2020-02-17 15:55:00,2020-02-17 16:36:00,2460,0.130365854,880.4,1258.5,5,138650,48000,553.3170732000001,378.1,0.683333333,ALLOY,1,0,0,480,4,90650,27500,1,48000,48000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,90650,27500,1,48000,48000,1,누락없음,2160,2/17/2020,야간,월,겹침,이상없음,5,5,AC,평일,0
16,20,62,117.4,2020-03-30 16:42:00,2020-03-30 16:57:00,900,0.130444444,863.4,1238.4,4,92490,27500,1500.0,375.0,0.25,CARBON,0,1,0,360,0,0,0,4,92490,27500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,92490,27500,0,누락없음,840,3/31/2020,주간,월,겹침,이상없음,4,1,C,평일,0
17,20,68,3439.4,2020-04-05 10:46:00,2020-04-05 18:04:00,26280,0.13087519,555.2,1251.5,5,125150,50000,95.38356164,696.3,7.3,CARBON,0,1,0,43440,2,29650,19700,3,95500,50000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,29650,19700,3,95500,50000,0,누락없음,25980,4/6/2020,주간,일,안겹침,이상없음,6,0,AC,주말,0
18,20,59,111.0,2020-03-25 18:03:00,2020-03-25 18:17:00,840,0.132142857,1041.0,1257.7,3,114450,60500,928.7142857000001,216.7,0.233333333,CARBON,0,1,0,420,1,31850,31850,1,60500,60500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,53950,31850,1,60500,60500,0,강종누락,780,3/26/2020,주간,수,겹침,이상없음,2,1,AC,평일,0
19,20,28,214.3,2020-02-11 05:01:00,2020-02-11 05:28:00,1620,0.13228395099999998,688.3,1257.3,2,101400,57550,1264.444444,569.0,0.45,CARBON,0,1,0,600,0,0,0,2,101400,57550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,101400,57550,0,누락없음,1560,2/11/2020,야간,화,겹침,이상없음,4,2,C,평일,0
20,20,86,119.2,2020-04-24 13:07:00,2020-04-24 13:22:00,900,0.132444444,1032.8,1250.4,3,116450,58600,870.4,217.6,0.25,SUS,0,0,1,7260,0,0,0,1,24000,24000,2,92450,58600,0,0,0,0,0,0,0,0,0,0,0,0,1,24000,24000,2,92450,58600,0,누락없음,840,4/25/2020,주간,금,겹침,이상없음,2,1,CS,평일,0
21,20,94,1483.7,2020-05-10 06:44:00,2020-05-10 09:50:00,11160,0.132948029,734.8,1249.7,3,108500,63100,166.0967742,514.9,3.1,CARBON,0,1,0,58860,0,0,0,3,108500,63100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,108500,63100,0,누락없음,10860,5/11/2020,주간,일,겹침,이상없음,3,1,C,주말,0
22,20,158,194.2,2020-07-29 22:36:00,2020-07-29 23:00:00,1440,0.134861111,706.2,1251.4,6,119250,36600,1363.0,545.2,0.4,CARBON,0,1,0,540,2,22950,12950,4,96300,36600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,22950,12950,4,96300,36600,0,누락없음,1380,7/30/2020,야간,수,겹침,이상없음,4,1,AC,평일,0
23,20,112,3029.8,2020-05-31 09:57:00,2020-05-31 16:07:00,22200,0.13647747699999999,662.9,1248.3,5,149720,43500,94.92972973,585.4,6.166666667,SUS,0,0,1,13860,0,0,0,2,70900,37800,3,78820,43500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,149720,43500,0,누락없음,21540,6/1/2020,주간,일,겹침,이상없음,5,5,CS,주말,0
24,20,9,123.0,2020-01-11 07:05:00,2020-01-11 07:20:00,900,0.136666667,784.8,1255.4,1,173703,173703,1882.4,470.6,0.25,CARBON,0,1,0,540,0,0,0,1,173703,173703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,173703,173703,0,누락없음,840,1/13/2020,주간,토,겹침,이상없음,1,1,C,주말,0
25,20,19,4617.0,2020-01-27 20:23:00,2020-01-28 05:38:00,33300,0.138648649,380.7,1251.7,3,189335,91370,94.16216216,871.0,9.25,CARBON,0,1,0,43140,1,27365,27365,2,161970,91370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,27365,27365,2,161970,91370,0,누락없음,17580,1/29/2020,주간,월,겹침,이상없음,3,3,AC,주말,0
26,20,193,418.4,2020-09-21 14:13:00,2020-09-21 15:03:00,3000,0.139466667,868.2,1253.4,1,183407,183407,462.24,385.2,0.833333333,CARBON,0,1,0,360,0,0,0,1,183407,183407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,183407,183407,1,누락없음,2340,9/22/2020,주간,월,겹침,이상없음,1,1,C,평일,0
27,20,183,2758.1,2020-09-08 00:52:00,2020-09-08 06:19:00,19620,0.140575943,404.8,1249.5,6,58620,10700,154.9908257,844.7,5.45,ALLOY,1,0,0,22200,4,37490,10700,2,21130,10565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,37490,10700,2,21130,10565,3,누락없음,11520,9/8/2020,야간,화,겹침,이상없음,6,6,AC,평일,0
