순번,프레스명,작업일자,주/야간,수주번호,시리얼번호,할당가열로,장입가열로,수주치수,사내재질,단조작업내역,비고,강종,수량,투입중량,투입수량,원단위가스량
4745,P15,2020-06-23,야간,200529-19302-032,"1,2","06,17,18",가열로6호기,"5300.00 X 4600.00 X 160.00
",S355NL,380T  작업 2회 실시 단조비 충분히 줄 것,6호기,CARBON,2,9845,2,43.12
4746,P15,2020-06-23,야간,200529-19302-032,"3,4,5,6","06,17,18",가열로6호기,"5300.00 X 4600.00 X 160.00
",S355NL,380T  1차작업,6호기,CARBON,4,9845,4,43.12
4747,P15,2020-06-23,야간,200204-19411-097,"1,2,3,4","06,17,18",가열로6호기,"4185.00 X 3778.00 X 600.00
",TWS355,700T  1차작업,6호기,CARBON,4,16085,4,70.45
4748,P15,2020-06-23,야간,"200619-99010-001
V-DIE",1,"06,17,18",가열로17호기,"SQ2500 X 800 X 908
",42CrMo4,3차작업 시방서 참고,,,1,20500,1,13.63
4749,P5,2020-06-24,주간,"200620-19711-004
2/2차작업",001,"02,05",가열로5호기,"939.80 X 768.35 X 1238.25
",TW F22,"60/60/80 S/N:001
841*450*1360   PIPE작업=황지","6/23 P5야
1차작업분",ALLOY,1,4480,1,67.35
4750,P5,2020-06-24,주간,"200620-19711-005
2/2차작업",001,"02,05",가열로5호기,"939.80 X 768.35 X 1238.25
",TW F22,"60/60/80 S/N:001
841*450*1360   PIPE작업=황지","6/23 P5야
1차작업분",ALLOY,1,4480,1,67.35
4751,P5,2020-06-24,주간,"200620-19711-006
2/2차작업",001,"02,05",가열로5호기,"939.80 X 768.35 X 1238.25
",TW F22,"60/60/80 S/N:001
841*450*1360   PIPE작업=황지","6/23 P5야
1차작업분",ALLOY,1,4480,1,67.35
4752,P5,2020-06-24,주간,200520-15007-004,001,"02,05",가열로5호기,"1940.00 X 0.00 X 158.00
",TW 266MGr2,"20/24 S/N:001  단조수정
1960 X 182","단조수정
제품투입",CARBON,1,4404,1,66.2
4753,P5,2020-06-24,주간,200616-19234-003,"001,002,003,004,005","02,05",가열로5호기,"5528.00 X 5068.00 X 150.00
",TWS355,"40/40/35 S/N:001-005
1462*450*550   UT불량주의.","6/22 P5주
미작업분",CARBON,5,6950,5,104.48
4754,P5,2020-06-24,주간,200603-12005-001,001,"02,05",가열로2호기,"1320.00 X 639.00 X 1110.00
",TW SF490V,"65/239/70 S/N:001  700T사용.
1385 X 400 X 1180  1차,2차작업","6/23 P5주
미작업분",CARBON,1,13350,1,59.99
4755,P5,2020-06-24,주간,200603-12005-009,001,"02,05",가열로2호기,"1320.00 X 639.00 X 1110.00
",TW SF490V,"65/239/70 S/N:001  700T사용.
1385 X 400 X 1180  1차,2차작업","6/23 P5주
미작업분",CARBON,1,13350,1,59.99
4756,P5,2020-06-24,주간,200204-19411-112,"001,002,003,004","02,05",가열로2호기,"6000.00 X 5500.00 X 147.00
",TWS355,"40/40/35 S/N:001-004  800 R/B사용.
1528*500*590   단조비 확보.","6/23 P5주
미작업분",CARBON,4,8030,4,36.09
4757,P5,2020-06-24,주간,200520-19478-002,"001,002","02,05",가열로2호기,"6000.00 X 5500.00 X 142.00
",TWS355,"40/40/35 S/N:001-002  400T SLAB사용.
1515*500*585","6/23 P5주
미작업분",CARBON,2,7810,2,35.1
4758,P5,2020-06-24,주간,200520-19478-003,"001,002","02,05",가열로2호기,"6000.00 X 5500.00 X 142.00
",TWS355,"40/40/35 S/N:001-002  400T SLAB사용.
1515*500*585","6/23 P5주
미작업분",CARBON,2,7810,2,35.1
4759,P5,2020-06-24,야간,"200620-19711-007
2/2차작업",001,"01,03",가열로3호기,"939.80 X 768.35 X 1238.25
",TW F22,"60/60/80 S/N:001
841*450*1360  PIPE작업=황지","6/23 P5야
1차작업분",ALLOY,1,4480,1,44.23
4760,P5,2020-06-24,야간,"200620-19711-008
2/2차작업",001,"01,03",가열로3호기,"939.80 X 768.35 X 1238.25
",TW F22,"60/60/80 S/N:001
841*450*1360  PIPE작업=황지","6/23 P5야
1차작업분",ALLOY,1,4480,1,44.23
4761,P5,2020-06-24,야간,"200620-19711-009
2/2차작업",001,"01,03",가열로3호기,"939.80 X 768.35 X 1231.90
",TW F22,"60/60/80 S/N:001
840*450*1355  PIPE작업=황지","6/23 P5야
1차작업분",ALLOY,1,4460,1,44.03
4762,P5,2020-06-24,야간,200520-19478-010,"001,002,003,004","01,03",가열로1호기,"6000.00 X 5500.00 X 142.00
",TWS355,"40/40/35 S/N:001-004
1515*500*585","400T
SLAB",CARBON,4,7810,4,50.06
4763,P5,2020-06-24,야간,200520-19478-011,"001,002,003,004","01,03",가열로1호기,"6000.00 X 5500.00 X 142.00
",TWS355,"40/40/35 S/N:001-004
1515*500*585","400T
SLAB",CARBON,4,7810,4,50.06
