,순번,프레스명,작업일자,주/야간,수주번호,시리얼번호,할당가열로,장입가열로,수주치수,사내재질,단조작업내역,비고,강종,수량,투입중량,투입수량,원단위가스량,시작시간
0,18,P5,2020-03-02,야간,200211-19240-001,"001,002,003","01,03",가열로1호기,"2956.00 X 2610.00 X 550.00
",TWS355,"30/30/30 S/N:001-003
1459*500*705","400T
SLAB",CARBON,3,8650,3,115.08,2020-02-29 08:20
1,19,P5,2020-03-02,야간,200211-19240-002,"001,002,003","01,03",가열로1호기,"2956.00 X 2610.00 X 550.00
",TWS355,"30/30/30 S/N:001-003
1459*500*705","400T
SLAB",CARBON,3,8650,3,115.08,2020-02-29 08:20
2,20,P5,2020-03-02,야간,200211-19240-003,001,"01,03",가열로1호기,"2956.00 X 2610.00 X 550.00
",TWS355,"30/30/30 S/N:001
1459*500*705","400T
SLAB",CARBON,1,8650,1,115.08,2020-02-29 08:20
3,176,P5,2020-03-04,야간,200204-19411-029,"001,002,003,004","01,02,03",가열로1호기,"6000.00 X 5500.00 X 147.00
",TWS355,"40/40/40 S/N:001-004
1540*500*595","400T
SLAB",CARBON,4,8240,4,134.39,2020-03-04 02:30
4,229,P5,2020-03-05,야간,200204-19411-034,"001,002,003,004","01,02,03",가열로1호기,"6000.00 X 5500.00 X 147.00
",TWS355,"40/40/40 S/N:001-004
1540*500*595","400T
SLAB",CARBON,4,8240,4,62.74,2020-03-05 06:50
5,230,P5,2020-03-05,야간,200212-19042-008,"005,003,004","01,02,03",가열로1호기,"3395.00 X 3055.00 X 410.00
",S355NL,"35/35/35 S/N:001-005
1501*500*595   600T->1800T쌓기->황지","R/BLOOM
￠800",CARBON,5,7790,5,59.31,2020-03-05 06:50
6,285,P5,2020-03-06,야간,180904-12339-055,001,"01,02,03",가열로1호기,"478.00 X 0.00 X 7417.00
",TW 350LF2,S/N:001 시방서참고 R/STOCK,"1000 R/B
CEQ초과소재",CARBON,1,13970,1,166.36,2020-03-06 06:45
7,342,P5,2020-03-09,야간,가열로다이,"002,003","01,04,19",가열로1호기,"SQ(450 X 450 X 4700)
",C-STEEL,P8사용 (15호기),"R/B 테일부
및 압탕",,2,7900,2,88.28,2020-03-07 07:00
8,341,P5,2020-03-09,야간,200221-19234-009,"001,002,003,004,005","01,04,19",가열로1호기,"4996.50 X 4472.50 X 187.00
",TWS355,"35/35/35 S/N:001-005
1570*500*570","400T
SLAB",CARBON,5,8250,5,92.2,2020-03-07 07:00
9,404,P5,2020-03-10,야간,200205-19922-001,"001,002,003","01,04",가열로1호기,"1797.05 X 0.00 X 228.60
",TW F304L,"50/45 S/N:001-003
1847.05 X 273.6   1차작업 후 가우징","톱절단
300T",SUS 304,3,6050,3,69.6,2020-03-10 06:40
10,403,P5,2020-03-10,야간,200212-19004-002,001,"01,04",가열로1호기,"1460.00 X 452.00 X 358.00
",TW S25C,"30/152/30 S/N:001  UT불량 단조수정
1490 X 300 X 388  도면참고","단조수정
불량품투입",CARBON,1,5214,1,59.99,2020-03-10 06:40
11,402,P5,2020-03-10,야간,200212-19004-001,001,"01,04",가열로1호기,"1630.00 X 452.00 X 492.40
",TW S25C,"25/152/25 S/N:001 UT불량 단조수정
1655 X 300 X 517.4  도면참고","단조수정
불량품투입",CARBON,1,8611,1,99.07,2020-03-10 06:40
12,401,P5,2020-03-10,야간,200116-19334-002,001,"01,04",가열로1호기,"1183.00 X 517.00 X 776.00
",S35C,"60/217/60 S/N:001
1243 X 300 X 836","열처리예열
400T",CARBON,1,7820,1,89.97,2020-03-10 06:40
13,612,P5,2020-03-13,주간,200105-19180-365,001,"01,02,03",가열로1호기,"1350.00 X 0.00 X 2555.00
","WTG-113
(INGOT)","GE 1.5MW M/SHAFT 단조수정
재금형작업  1050도 가열.","가공처
입고완료",ALLOY,1,9554,1,0,2020-03-12 18:00
14,680,P5,2020-03-16,야간,200212-19042-006,"004,005,006,007,008,009,010,011,012","01,03",가열로1호기,"4675.00 X 4125.00 X 125.00
",S355NL,"35/35/30 S/N:001-012
1381*450*500","R/BLOOM
Φ800",CARBON,12,5570,12,171.36,2020-03-14 07:00
