,1,2,3,4,5,6,13,17,18,19,20
¿ø·¡,65,91,72,62,84,50,55,63,72,76,58
¿­±«,0,17,7,10,6,1,23,25,26,34,32
¹®¿­¸²,19,30,22,22,23,23,19,17,20,20,18
¹Î°¨(?),3,8,2,5,4,5,2,0,1,1,1
Á¦°Å,21,44,27,31,27,23,35,32,42,44,37
¹Î°¨,40,74,58,54,68,17,22,29,42,35,25
³²Àº°Å,44,47,45,31,57,27,20,31,30,32,21
1h,7,14,14,9,4,3,8,19,20,13,11
¹Î°¨¸¸,25,35,33,26,48,7,3,9,15,14,8
1h,5,12,13,9,3,0,1,4,10,4,3
¹Î°¨Á¦¿Ü,19,12,12,5,9,20,17,22,15,18,13
1h,2,2,1,0,1,3,7,15,10,9,8
