,가열로번호,에너지,가열시작시간,가열종료시간,시간(총),시작온도,종료온도,장입소재개수,장입중량총합,장입최대중량,강종,강종_ALLOY,강종_CARBON,강종_SUS,쉰시간,cycle,A_num,A_sum,A_max,C_num,C_sum,C_max,S_num,S_sum,S_max,H_A_num,H_A_sum,H_A_max,H_C_num,H_C_sum,H_C_max,H_S_num,H_S_sum,H_S_max,열괴장입소재개수,열괴장입중량총합,열괴장입최대중량,민감소재장입개수,민감소재중량총합,민감소재최대중량,비민감소재장입개수,비민감소재중량총합,비민감소재최대중량,문열림횟수,drop,시간(0제외),작업일자,주/야간,요일,겹침여부,민감비고,직전 사이클 소재 수량,겹치는 소재 수량,강종종류,주말여부,에러발생
17,4,1264.0,8/29/2019 3:35,8/29/2019 5:37,7320,647.4,1248.1,10,75240,7750,CARBON,0,1,0,4200,32,0,0,0,10,75240,7750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,75240,7750,0,누락없음,7080,8/29/2019,야간,목,안겹침,이상없음,6,0,C,평일,0
18,2,3287.6,9/3/2019 8:34,9/3/2019 15:35,25260,80.1,1253.8,5,61550,12310,CARBON,0,1,0,324600,20,0,0,0,5,61550,12310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,61550,12310,0,누락없음,25080,9/4/2019,주간,화,안겹침,이상없음,2,0,C,평일,0
19,1,496.1,9/5/2019 6:41,9/5/2019 8:25,6240,780.8,1262.1,4,29040,7260,CARBON,0,1,0,780,36,0,0,0,4,29040,7260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,29040,7260,0,누락없음,6180,9/5/2019,야간,목,안겹침,이상없음,5,0,C,평일,0
20,1,418.4,9/6/2019 7:01,9/6/2019 8:28,5220,851.8,1255.9,4,29040,7260,CARBON,0,1,0,720,37,0,0,0,4,29040,7260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,29040,7260,0,누락없음,5160,9/6/2019,야간,금,안겹침,이상없음,4,0,C,평일,0
21,3,306.1,9/7/2019 11:24,9/7/2019 11:58,2040,628.1,1228.6,5,79500,17600,SUS,0,0,1,1140,22,0,0,0,0,0,0,5,79500,17600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,79500,17600,0,누락없음,1980,9/7/2019,야간,토,안겹침,이상없음,10,0,S,주말,0
22,5,698.2,9/7/2019 18:41,9/7/2019 20:30,6540,830.6,1258.5,4,34640,12750,CARBON,0,1,0,900,29,0,0,0,4,34640,12750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,34640,12750,0,누락없음,6420,9/8/2019,주간,토,겹침,이상없음,7,1,C,주말,0
23,1,2129.5,9/7/2019 19:27,9/8/2019 3:22,28500,488.3,1258.7,8,67360,8420,CARBON,0,1,0,49200,38,0,0,0,8,67360,8420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,67360,8420,0,누락없음,28080,9/8/2019,주간,토,안겹침,이상없음,4,0,C,주말,0
24,3,782.4,9/9/2019 3:25,9/9/2019 4:45,4800,580.8,1259.4,7,52710,7530,CARBON,0,1,0,14460,24,0,0,0,7,52710,7530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,52710,7530,0,누락없음,4620,9/9/2019,야간,월,안겹침,이상없음,8,0,C,평일,0
25,5,284.4,9/9/2019 9:18,9/9/2019 10:06,2880,823.0,1282.1,8,58840,7750,CARBON,0,1,0,480,31,0,0,0,8,58840,7750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,58840,7750,0,누락없음,2760,9/9/2019,주간,월,안겹침,이상없음,1,0,C,평일,0
26,2,153.7,9/9/2019 6:34,9/9/2019 6:57,1380,831.4,1256.5,5,65890,22850,CARBON,0,1,0,900,25,0,0,0,5,65890,22850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,65890,22850,0,누락없음,1380,9/9/2019,야간,월,안겹침,이상없음,6,0,C,평일,0
27,1,1175.6,9/8/2019 16:32,9/8/2019 20:36,14640,635.4,1260.5,7,64330,9190,CARBON,0,1,0,2100,39,0,0,0,7,64330,9190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,64330,9190,0,누락없음,14520,9/9/2019,주간,일,안겹침,이상없음,8,0,C,주말,0
28,5,1100.5,9/9/2019 18:51,9/9/2019 21:53,10920,779.4,1260.1,4,30720,10530,CARBON,0,1,0,660,32,0,0,0,4,30720,10530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,30720,10530,0,누락없음,10860,9/10/2019,주간,월,안겹침,이상없음,8,0,C,주말,0
29,1,487.1,9/9/2019 14:45,9/9/2019 16:28,6180,737.4,1261.9,4,26920,6730,CARBON,0,1,0,6720,40,0,0,0,4,26920,6730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,26920,6730,0,누락없음,6060,9/10/2019,주간,월,안겹침,이상없음,7,0,C,평일,0
30,3,558.7,9/11/2019 0:52,9/11/2019 1:49,3420,665.0,1241.0,8,46400,5800,CARBON,0,1,0,6360,26,0,0,0,8,46400,5800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,46400,5800,0,누락없음,3360,9/11/2019,야간,수,안겹침,이상없음,10,0,C,평일,0
31,1,2460.6,9/15/2019 7:27,9/15/2019 16:57,34200,127.4,1259.9,7,39830,5690,CARBON,0,1,0,315480,42,0,0,0,7,39830,5690,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,39830,5690,0,누락없음,33900,9/16/2019,야간,일,안겹침,이상없음,7,0,C,주말,0
32,3,3954.7,9/15/2019 7:25,9/15/2019 15:51,30360,162.1,1247.6,8,57530,7620,CARBON,0,1,0,292680,27,0,0,0,8,57530,7620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,57530,7620,0,누락없음,30120,9/16/2019,주간,일,안겹침,이상없음,8,0,C,주말,0
33,3,625.7,9/16/2019 18:38,9/16/2019 19:42,3840,631.4,1252.0,8,54280,7750,CARBON,0,1,0,1320,28,0,0,0,8,54280,7750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,54280,7750,0,누락없음,3780,9/17/2019,주간,월,안겹침,이상없음,8,0,C,평일,0
34,3,245.6,9/17/2019 17:59,9/17/2019 18:26,1620,607.1,1242.8,2,14630,8560,SUS,0,0,1,5100,29,0,0,0,0,0,0,2,14630,8560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,14630,8560,0,누락없음,1620,9/18/2019,주간,화,안겹침,이상없음,8,0,S,평일,0
35,1,82.8,9/18/2019 6:31,9/18/2019 6:50,1140,848.0,1240.4,1,10100,10100,SUS,0,0,1,900,44,0,0,0,0,0,0,1,10100,10100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10100,10100,0,누락없음,1020,9/18/2019,야간,수,안겹침,이상없음,6,0,S,평일,0
36,3,702.1,9/19/2019 19:12,9/19/2019 20:22,4200,527.5,1258.5,10,71670,7620,CARBON,0,1,0,1680,31,0,0,0,10,71670,7620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,71670,7620,0,누락없음,4080,9/20/2019,주간,목,안겹침,이상없음,3,0,C,평일,0
37,4,1040.9,9/22/2019 3:07,9/22/2019 11:37,30600,408.0,636.4,3,51300,17600,SUS,0,0,1,137100,39,0,0,0,0,0,0,3,51300,17600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,51300,17600,0,누락없음,22800,9/23/2019,야간,일,안겹침,이상없음,6,0,S,주말,0
38,3,2479.3,9/22/2019 22:28,9/23/2019 7:44,33360,650.8,1235.6,5,38190,10100,SUS,0,0,1,24420,32,0,0,0,2,13460,6730,3,24730,10100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,38190,10100,0,누락없음,28320,9/23/2019,야간,일,겹침,이상없음,5,5,CS,주말,0
39,3,656.3,9/22/2019 9:53,9/22/2019 15:41,20880,380.4,660.9,5,38190,10100,SUS,0,0,1,141900,32,0,0,0,2,13460,6730,3,24730,10100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,38190,10100,0,누락없음,15840,9/23/2019,야간,일,안겹침,이상없음,5,0,CS,주말,0
40,4,3243.2,9/22/2019 19:35,9/23/2019 7:44,43740,650.5,1230.0,3,51300,17600,SUS,0,0,1,28680,39,0,0,0,0,0,0,3,51300,17600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,51300,17600,0,누락없음,35940,9/23/2019,야간,일,겹침,이상없음,3,3,S,주말,0
41,1,22.6,9/21/2019 7:39,9/21/2019 7:52,780,237.6,359.3,4,34240,8560,SUS,0,0,1,176100,45,0,0,0,0,0,0,4,34240,8560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,34240,8560,0,누락없음,-81420,9/23/2019,야간,토,안겹침,이상없음,1,0,S,주말,0
42,1,486.8,9/22/2019 9:33,9/22/2019 15:47,22440,362.7,661.6,4,34240,8560,SUS,0,0,1,92460,45,0,0,0,0,0,0,4,34240,8560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,34240,8560,0,누락없음,-59760,9/23/2019,야간,일,겹침,이상없음,4,4,S,주말,0
43,1,1472.5,9/22/2019 22:33,9/23/2019 7:44,33060,662.2,1232.6,4,34240,8560,SUS,0,0,1,24360,45,0,0,0,0,0,0,4,34240,8560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,34240,8560,0,누락없음,-49140,9/23/2019,야간,일,겹침,이상없음,4,4,S,주말,0
44,1,385.2,9/26/2019 7:24,9/26/2019 8:42,4680,551.7,1243.6,3,25680,8560,SUS,0,0,1,2160,48,0,0,0,0,0,0,3,25680,8560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,25680,8560,0,누락없음,4500,9/26/2019,야간,목,안겹침,이상없음,3,0,S,평일,0
45,20,515.5,9/27/2019 18:45,9/27/2019 19:46,3660,937.8,1252.1,2,34200,17900,CARBON,0,1,0,780,4,0,0,0,2,34200,17900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,34200,17900,0,누락없음,3600,9/27/2019,야간,금,겹침,이상없음,6,1,C,평일,0
46,4,953.6,9/27/2019 5:43,9/27/2019 7:14,5460,756.0,1237.0,11,79520,8560,CARBON,0,1,0,1500,43,0,0,0,8,53840,6730,3,25680,8560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,79520,8560,0,누락없음,5340,9/27/2019,야간,금,안겹침,이상없음,7,0,CS,평일,0
47,19,4448.6,9/29/2019 6:05,9/29/2019 15:06,32460,356.2,1252.9,5,148180,48000,CARBON,0,1,0,130260,5,0,0,0,5,148180,48000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,148180,48000,0,누락없음,32160,9/30/2019,주간,일,안겹침,이상없음,4,0,C,주말,0
48,17,123.4,9/30/2019 16:46,9/30/2019 16:59,780,824.8,1228.0,3,115200,51600,CARBON,0,1,0,780,4,0,0,0,2,63600,32500,1,51600,51600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,115200,51600,0,누락없음,720,9/30/2019,야간,월,겹침,이상없음,4,1,CS,평일,0
49,5,2690.2,9/29/2019 8:27,9/29/2019 18:39,36720,661.7,1250.0,7,46500,15930,CARBON,0,1,0,82860,42,0,0,0,7,46500,15930,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,46500,15930,0,누락없음,-21960,9/30/2019,주간,일,겹침,이상없음,7,7,C,주말,0
50,17,158.3,10/1/2019 6:10,10/1/2019 6:29,1140,944.0,1230.0,1,51600,51600,SUS,0,0,1,840,5,0,0,0,0,0,0,1,51600,51600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,51600,51600,0,누락없음,1080,10/1/2019,주간,화,겹침,이상없음,3,1,S,평일,0
