,가열로번호,cycle,에너지,가열시작시간,가열종료시간,시간(총),시작온도,종료온도,이전 종료온도,쉰시간,장입소재개수,장입중량총합,장입최대중량,강종,강종_ALLOY,강종_CARBON,강종_SUS,A_num,A_sum,A_max,C_num,C_sum,C_max,S_num,S_sum,S_max,H_A_num,H_A_sum,H_A_max,H_C_num,H_C_sum,H_C_max,H_S_num,H_S_sum,H_S_max,열괴장입소재개수,열괴장입중량총합,열괴장입최대중량,민감소재장입개수,민감소재중량총합,민감소재최대중량,비민감소재장입개수,비민감소재중량총합,비민감소재최대중량,문열림횟수,drop,시간(0제외),작업일자,주/야간,요일,겹침여부,민감비고,직전 사이클 소재 수량,겹치는 소재 수량,강종종류,주말여부,에러발생
15,20,2,1819.7,2020-01-03 17:22:00,2020-01-03 19:47:00,8700,515,1251,1249.7,4140,7,122300,25950,CARBON,0,1,0,0,0,0,7,122300,25950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,122300,25950,0,누락없음,8460,1/4/2020,주간,금,안겹침,이상없음,6,0,C,평일,0
16,1,2,1259.4,2020-01-04 07:49:00,2020-01-04 11:38:00,13740,549.1,1255.1,1256.1,1080,7,46110,7960,CARBON,0,1,0,0,0,0,5,36110,7960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10000,5000,5,36110,7960,1,강종누락,13740,1/4/2020,야간,토,겹침,이상없음,8,2,C,주말,0
17,2,2,117.1,2020-01-06 13:28:00,2020-01-06 13:45:00,1020,838.6,1265.5,1255.3,420,7,94100,14850,ALLOY,1,0,0,6,89100,14850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5000,5000,6,89100,14850,0,강종누락,960,1/6/2020,야간,월,안겹침,이상없음,6,0,A,평일,0
18,17,5,146.7,2020-01-06 18:45:00,2020-01-06 18:59:00,840,924.6,1252.7,1256.6,660,5,112200,26800,SUS,0,0,1,0,0,0,0,0,0,5,112200,26800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,112200,26800,0,누락없음,780,1/6/2020,야간,월,안겹침,이상없음,4,0,S,평일,0
19,13,3,515.6,2020-01-06 11:53:00,2020-01-06 12:35:00,2520,650.4,1256.9,1253.9,900,2,51900,25950,CARBON,0,1,0,0,0,0,2,51900,25950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,51900,25950,0,누락없음,2460,1/6/2020,야간,월,안겹침,이상없음,6,0,C,주말,0
20,2,3,1087.5,2020-01-07 03:31:00,2020-01-07 05:20:00,6540,434.3,1252.7,1265.5,17220,8,92800,11600,ALLOY,1,0,0,8,92800,11600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,92800,11600,0,누락없음,6480,1/7/2020,야간,화,안겹침,이상없음,7,0,A,평일,0
21,19,5,418.6,2020-01-06 15:09:00,2020-01-06 15:40:00,1860,882.9,1248.6,1245,1500,6,151250,61100,SUS,0,0,1,0,0,0,4,135070,61100,2,16180,8330,0,0,0,0,0,0,0,0,0,0,0,0,2,113700,61100,4,37550,11150,0,누락없음,1800,1/7/2020,주간,월,안겹침,이상없음,4,0,CS,평일,0
22,20,4,390.1,2020-01-06 16:45:00,2020-01-06 17:16:00,1860,688.4,1252.4,1250.6,1500,5,161380,130000,CARBON,0,1,0,0,0,0,4,31380,7845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,130000,130000,4,31380,7845,0,강종누락,1800,1/7/2020,주간,월,안겹침,이상없음,7,0,C,주말,0
23,18,5,2033.6,2020-01-07 01:36:00,2020-01-07 04:10:00,9240,525.6,1254.6,1249.6,2040,7,128150,25000,CARBON,0,1,0,0,0,0,6,110150,25000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,128150,25000,0,강종누락,9120,1/7/2020,야간,화,안겹침,민감누락,10,0,C,평일,0
24,17,6,1299,2020-01-07 06:35:00,2020-01-07 08:03:00,5280,512.1,1254.4,1252.7,1380,7,70460,11045,SUS,0,0,1,4,44180,11045,2,17900,8950,1,8380,8380,0,0,0,0,0,0,0,0,0,0,0,0,4,44180,11045,3,26280,8950,0,누락없음,5220,1/7/2020,야간,화,안겹침,이상없음,5,0,ACS,평일,0
25,13,4,308.5,2020-01-07 02:54:00,2020-01-07 03:21:00,1620,630.1,1259.7,1256.9,540,6,59820,25950,CARBON,0,1,0,0,0,0,6,59820,25950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,59820,25950,0,누락없음,1560,1/7/2020,주간,화,겹침,이상없음,2,2,C,평일,0
26,13,5,188.8,2020-01-07 11:41:00,2020-01-07 12:00:00,1140,729.5,1257.8,1259.7,780,6,59820,25950,CARBON,0,1,0,0,0,0,6,59820,25950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,59820,25950,0,누락없음,1080,1/7/2020,주간,화,겹침,이상없음,6,6,C,평일,0
27,2,4,482.6,2020-01-08 02:29:00,2020-01-08 03:24:00,3300,850.7,1248.9,1252.7,12000,7,90980,21600,ALLOY,1,0,0,7,90980,21600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,33430,8960,3,57550,21600,0,누락없음,3300,1/8/2020,야간,수,안겹침,이상없음,8,0,A,평일,0
28,3,3,727.9,2020-01-07 16:11:00,2020-01-07 17:29:00,4680,788.6,1257.6,1256.1,300,8,88800,11100,ALLOY,1,0,0,8,88800,11100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,88800,11100,0,누락없음,3060,1/8/2020,주간,화,안겹침,이상없음,5,0,A,평일,0
29,18,6,797.4,2020-01-08 05:59:00,2020-01-08 07:03:00,3840,688.4,1194.3,1254.6,1140,5,139315,50445,CARBON,0,1,0,0,0,0,5,139315,50445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,93780,50445,3,45535,17235,0,누락없음,3720,1/8/2020,야간,수,안겹침,이상없음,7,0,C,평일,0
30,4,3,398.7,2020-01-07 20:31:00,2020-01-07 21:11:00,2400,758.2,1258.6,1264,1080,4,67650,21600,ALLOY,1,0,0,3,57550,21600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,67650,21600,0,강종누락,2160,1/8/2020,주간,화,안겹침,이상없음,6,0,A,평일,0
31,13,7,161.4,2020-01-08 14:52:00,2020-01-08 15:13:00,1260,1051.1,1249.8,1251.5,720,8,190600,38100,ALLOY,1,0,0,4,119400,38100,2,51200,25600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,21600,21600,7,169000,38100,0,강종누락,1260,1/8/2020,야간,수,겹침,민감누락,6,6,AC,평일,0
